city_id	households_2020	households_2030	households_2040
1.0	1115.0	1167.0	1179.0
2.0	6925.0	7553.0	10328.0
3.0	27231.0	30423.0	35436.0
4.0	10732.0	11684.0	12340.0
5.0	111.0	115.0	115.0
6.0	61698.0	69742.0	78006.0
7.0	2596.0	3771.0	7384.0
8.0	7587.0	8946.0	9681.0
9.0	7345.0	7864.0	8955.0
10.0	19714.0	21042.0	22614.0
11.0	2469.0	2706.0	2886.0
12.0	1678.0	1903.0	2154.0
13.0	21873.0	22718.0	23529.0
14.0	274.0	341.0	410.0
15.0	699.0	743.0	843.0
16.0	1103.0	1111.0	1122.0
17.0	5744.0	6267.0	6683.0
18.0	533.0	632.0	813.0
19.0	13283.0	14890.0	17398.0
20.0	3043.0	3148.0	3560.0
21.0	2311.0	2544.0	3060.0
22.0	765.0	885.0	1131.0
23.0	4273.0	4657.0	4850.0
24.0	19047.0	19518.0	20228.0
25.0	5210.0	5754.0	6739.0
26.0	47554.0	52113.0	61172.0
27.0	36808.0	39071.0	44488.0
28.0	3788.0	3923.0	4292.0
29.0	2880.0	2909.0	2926.0
30.0	3654.0	4271.0	5526.0
31.0	864.0	940.0	1107.0
32.0	1391.0	1560.0	2023.0
33.0	247.0	254.0	254.0
34.0	85.0	89.0	92.0
35.0	13425.0	14257.0	16048.0
36.0	10420.0	11559.0	15533.0
37.0	50031.0	53862.0	60840.0
38.0	48463.0	53450.0	58581.0
39.0	39282.0	41121.0	45078.0
40.0	40440.0	44793.0	49641.0
41.0	5917.0	6092.0	6315.0
42.0	11019.0	12563.0	14310.0
43.0	26420.0	27131.0	27970.0
44.0	15319.0	15840.0	17447.0
45.0	7789.0	8374.0	9094.0
46.0	24505.0	28098.0	35564.0
47.0	1250.0	1269.0	1282.0
48.0	9458.0	9615.0	9562.0
49.0	7242.0	7520.0	9154.0
50.0	466.0	632.0	744.0
51.0	5815.0	6381.0	7047.0
52.0	9047.0	10451.0	11991.0
53.0	8303.0	8498.0	9223.0
54.0	4502.0	5008.0	5460.0
55.0	2888.0	2949.0	3018.0
56.0	2548.0	2774.0	3311.0
57.0	2061.0	2264.0	2757.0
58.0	2676.0	2943.0	3068.0
59.0	61793.0	68114.0	77355.0
60.0	7666.0	8681.0	10525.0
61.0	4659.0	5587.0	7715.0
62.0	18004.0	19791.0	22118.0
63.0	27443.0	31234.0	36344.0
64.0	40323.0	43750.0	49233.0
65.0	335.0	359.0	449.0
66.0	365.0	436.0	561.0
67.0	17017.0	18984.0	21576.0
68.0	10936.0	11683.0	13637.0
69.0	309991.0	323205.0	343777.0
70.0	25380.0	29608.0	40826.0
71.0	10497.0	13069.0	15927.0
72.0	177.0	253.0	345.0
73.0	4403.0	4867.0	5784.0
74.0	48702.0	55463.0	66536.0
75.0	3316.0	3441.0	3900.0
76.0	302.0	413.0	556.0
77.0	2569.0	2782.0	3382.0
78.0	2848.0	3026.0	3116.0
79.0	1668.0	2009.0	2497.0
80.0	4488.0	4880.0	5490.0
81.0	85482.0	92024.0	104459.0
82.0	9473.0	10183.0	11709.0
83.0	13754.0	14357.0	15175.0
84.0	216.0	247.0	268.0
85.0	5986.0	6969.0	8418.0
86.0	475.0	514.0	508.0
87.0	446.0	447.0	450.0
88.0	54616.0	60004.0	66670.0
89.0	28883.0	35401.0	41400.0
90.0	87225.0	103940.0	124750.0
91.0	79849.0	87011.0	104743.0
92.0	2791.0	3239.0	3767.0
93.0	7065.0	7973.0	9460.0
94.0	2541.0	2717.0	3090.0
95.0	52.0	45.0	35.0
