faz_id	jobs_2020	jobs_2030	jobs_2040
2225.0	6682.0	7074.0	7829.0
3426.0	3142.0	3511.0	4119.0
3427.0	6150.0	6329.0	7360.0
3045.0	4577.0	4833.0	5312.0
3310.0	4117.0	5720.0	7533.0
3030.0	10000.0	11564.0	13122.0
3130.0	24396.0	26880.0	31736.0
3010.0	10922.0	11328.0	12775.0
3020.0	22614.0	23226.0	26723.0
3425.0	3303.0	3489.0	3988.0
2100.0	2459.0	2668.0	3092.0
1606.0	2972.0	3754.0	4349.0
2215.0	7090.0	7205.0	8176.0
1720.0	7284.0	7555.0	8559.0
3120.0	17043.0	18236.0	21083.0
1900.0	14676.0	16868.0	20196.0
3110.0	3122.0	3397.0	3951.0
3200.0	8698.0	9361.0	10359.0
1605.0	7423.0	7738.0	8553.0
2000.0	14677.0	15316.0	16582.0
1820.0	23873.0	28239.0	34570.0
1200.0	5498.0	6028.0	7405.0
1710.0	12204.0	13095.0	15364.0
1810.0	13682.0	16240.0	21419.0
900.0	11551.0	12145.0	13990.0
806.0	4249.0	4849.0	5544.0
1506.0	4059.0	4432.0	5186.0
1410.0	15084.0	16020.0	17956.0
1505.0	6129.0	7231.0	8062.0
1330.0	5713.0	5867.0	6647.0
1000.0	2275.0	2372.0	2782.0
1320.0	5000.0	5145.0	6177.0
1420.0	14228.0	15774.0	22219.0
1130.0	3382.0	4250.0	5679.0
1116.0	8252.0	8612.0	10070.0
1310.0	6563.0	6849.0	7985.0
805.0	5175.0	5520.0	6195.0
1115.0	4782.0	5181.0	6027.0
205.0	13762.0	14083.0	15348.0
136.0	4720.0	4736.0	5322.0
1120.0	12855.0	14008.0	18714.0
705.0	2884.0	3798.0	5845.0
120.0	1430.0	1528.0	1815.0
325.0	6130.0	6504.0	7818.0
135.0	3263.0	3417.0	4004.0
706.0	3671.0	3774.0	4284.0
206.0	8144.0	8546.0	10055.0
2910.0	917.0	1070.0	1298.0
315.0	7645.0	8412.0	8951.0
2935.0	20545.0	22474.0	24361.0
605.0	4028.0	4252.0	4872.0
606.0	4618.0	5090.0	6846.0
506.0	5918.0	7896.0	11764.0
110.0	1138.0	1223.0	1566.0
505.0	9761.0	12312.0	19112.0
2936.0	3094.0	3081.0	3756.0
405.0	3935.0	4360.0	5420.0
2926.0	2597.0	3049.0	3967.0
2925.0	2489.0	2985.0	3650.0
2927.0	1667.0	1816.0	2232.0
