faz_id	population_2020	population_2030	population_2040
2225.0	15438.0	18585.0	23805.0
3426.0	23037.0	26070.0	27586.0
3427.0	24204.0	26172.0	27607.0
3045.0	28791.0	30682.0	32512.0
3310.0	20650.0	25099.0	34499.0
3030.0	42025.0	50966.0	54740.0
3130.0	16449.0	17301.0	18405.0
3010.0	43555.0	46211.0	48594.0
3020.0	24260.0	25264.0	29541.0
3425.0	20516.0	23637.0	24993.0
2100.0	20670.0	21632.0	22664.0
1606.0	12844.0	13305.0	13732.0
2215.0	18076.0	19433.0	20277.0
1720.0	26313.0	27590.0	29399.0
3120.0	25178.0	27029.0	32780.0
1900.0	879.0	915.0	891.0
3110.0	9651.0	10195.0	10071.0
3200.0	20930.0	23532.0	26137.0
1605.0	17115.0	17549.0	17667.0
2000.0	12323.0	14259.0	15769.0
1820.0	7064.0	9519.0	11988.0
1200.0	17938.0	19930.0	20785.0
1710.0	21520.0	22930.0	26698.0
1810.0	3680.0	6096.0	9795.0
900.0	10786.0	11639.0	12216.0
806.0	31802.0	38597.0	44246.0
1506.0	22652.0	23801.0	24747.0
1410.0	11896.0	12183.0	13191.0
1505.0	21560.0	22537.0	23262.0
1330.0	23010.0	24367.0	24434.0
1000.0	9808.0	10373.0	10469.0
1320.0	18342.0	18429.0	18083.0
1420.0	12603.0	13737.0	17351.0
1130.0	5540.0	6667.0	7197.0
1116.0	18059.0	19525.0	20317.0
1310.0	27977.0	28571.0	28165.0
805.0	22351.0	25526.0	25924.0
1115.0	14196.0	17897.0	18872.0
205.0	13318.0	13485.0	13558.0
136.0	11383.0	11661.0	11723.0
1120.0	34470.0	39051.0	43216.0
705.0	19630.0	23415.0	35204.0
120.0	11743.0	12749.0	13215.0
325.0	24674.0	26740.0	27305.0
135.0	17006.0	17888.0	17945.0
706.0	13180.0	15408.0	17621.0
206.0	13647.0	13911.0	13749.0
2910.0	3615.0	4169.0	5381.0
315.0	14980.0	15541.0	15952.0
2935.0	19361.0	19349.0	18444.0
605.0	23535.0	27615.0	30202.0
606.0	23370.0	29781.0	34492.0
506.0	26875.0	31477.0	39325.0
110.0	5005.0	5132.0	5451.0
505.0	48545.0	59264.0	66191.0
2936.0	7937.0	8335.0	9007.0
405.0	26375.0	31965.0	35780.0
2926.0	25819.0	27503.0	29838.0
2925.0	16112.0	18432.0	23041.0
2927.0	7101.0	10143.0	15248.0
