faz_id	households_2020	households_2030	households_2040
8935.0	4805.0	5363.0	6728.0
8927.0	2155.0	2381.0	2841.0
8926.0	5546.0	6584.0	8190.0
8936.0	6592.0	7226.0	8030.0
8500.0	7267.0	7974.0	10895.0
8406.0	684.0	901.0	1287.0
8320.0	4843.0	5270.0	5799.0
8925.0	5488.0	6475.0	8551.0
8937.0	5339.0	7261.0	10735.0
8405.0	5829.0	7035.0	8877.0
8310.0	12528.0	13560.0	17203.0
8910.0	6009.0	7179.0	9017.0
7905.0	8869.0	10345.0	12876.0
7606.0	1686.0	2095.0	2295.0
7805.0	7659.0	8971.0	10288.0
8220.0	8551.0	9522.0	12224.0
8000.0	5707.0	6085.0	6735.0
8906.0	3221.0	3502.0	3838.0
8210.0	4664.0	5593.0	6448.0
9020.0	7427.0	8636.0	9919.0
8125.0	7722.0	8111.0	8973.0
8126.0	5311.0	6006.0	7548.0
8905.0	3650.0	3953.0	4381.0
7806.0	2450.0	3312.0	4320.0
7700.0	3686.0	3718.0	3779.0
7526.0	6152.0	6283.0	7119.0
7340.0	9875.0	10726.0	12624.0
7605.0	732.0	756.0	788.0
7537.0	11560.0	12468.0	13857.0
8115.0	13666.0	14743.0	17584.0
7335.0	14447.0	15166.0	18443.0
8600.0	6764.0	7649.0	8739.0
7425.0	10447.0	11326.0	12552.0
7535.0	12570.0	13585.0	16011.0
7525.0	6041.0	6548.0	8470.0
7436.0	2228.0	2301.0	2353.0
9019.0	6852.0	7894.0	9452.0
7026.0	4317.0	4405.0	4476.0
7205.0	5501.0	5750.0	6402.0
7515.0	2083.0	2211.0	2552.0
7320.0	11260.0	11844.0	15240.0
7206.0	7767.0	7943.0	8785.0
7315.0	6662.0	7184.0	8281.0
7435.0	3025.0	3248.0	3490.0
7316.0	7980.0	8459.0	8908.0
7025.0	10048.0	10401.0	10827.0
7415.0	4513.0	5094.0	6346.0
7100.0	9252.0	10674.0	12236.0
7015.0	7698.0	7895.0	8354.0
9908.0	1168.0	1158.0	1149.0
6410.0	16948.0	19902.0	25971.0
6420.0	14822.0	16288.0	21770.0
5535.0	12287.0	13610.0	17695.0
5600.0	6426.0	6824.0	7726.0
5546.0	7080.0	7701.0	8574.0
4706.0	5292.0	5438.0	5661.0
6605.0	4354.0	4959.0	5992.0
6910.0	2924.0	3582.0	4506.0
6606.0	2135.0	2543.0	3339.0
9909.0	2123.0	2590.0	3554.0
9011.0	4195.0	4789.0	6131.0
5525.0	5842.0	6437.0	7195.0
5515.0	10707.0	11380.0	12065.0
6326.0	12240.0	12601.0	12765.0
9914.0	7223.0	8118.0	8700.0
5545.0	5789.0	6391.0	6933.0
6223.0	13098.0	13492.0	14256.0
5306.0	11015.0	11438.0	12988.0
6325.0	16578.0	16814.0	17030.0
9009.0	2144.0	2339.0	2617.0
9006.0	4317.0	5367.0	6237.0
6225.0	10108.0	10971.0	12854.0
9018.0	7863.0	9217.0	10331.0
5425.0	19857.0	21695.0	24479.0
5305.0	12676.0	13115.0	14581.0
5426.0	8366.0	8934.0	9808.0
6226.0	14458.0	14650.0	14927.0
6126.0	5659.0	5726.0	5946.0
6224.0	10227.0	10716.0	11186.0
6216.0	6796.0	6913.0	6998.0
6316.0	16046.0	16286.0	16804.0
6215.0	12823.0	13259.0	13700.0
5100.0	3440.0	3478.0	3522.0
6213.0	9961.0	10105.0	10178.0
9005.0	2345.0	2716.0	3414.0
6124.0	15054.0	15293.0	15306.0
6125.0	5273.0	5370.0	5416.0
6214.0	237.0	238.0	238.0
5415.0	6660.0	8217.0	9733.0
5205.0	6611.0	9521.0	11976.0
9916.0	5333.0	6328.0	7192.0
9913.0	3509.0	3566.0	3640.0
9915.0	8321.0	10092.0	11006.0
4606.0	8992.0	10042.0	11303.0
6115.0	11660.0	11916.0	12151.0
4820.0	3021.0	3106.0	3165.0
9017.0	1781.0	2050.0	2640.0
6123.0	11125.0	12281.0	17603.0
6114.0	16894.0	17564.0	18122.0
4607.0	9468.0	10864.0	13275.0
6505.0	4891.0	5023.0	5501.0
5020.0	10705.0	11058.0	12100.0
6113.0	25186.0	27453.0	28658.0
5010.0	8550.0	8776.0	9081.0
6020.0	11369.0	12715.0	15789.0
4900.0	8844.0	12344.0	15322.0
6010.0	8016.0	9198.0	10362.0
4400.0	9458.0	9615.0	9562.0
9900.0	4157.0	4759.0	5241.0
9904.0	5623.0	6118.0	6945.0
9902.0	13382.0	14169.0	14740.0
4810.0	5361.0	5685.0	5708.0
5720.0	18811.0	19249.0	19329.0
9901.0	2930.0	3534.0	5268.0
5826.0	2739.0	2926.0	3098.0
5825.0	2265.0	2534.0	2619.0
5925.0	10464.0	10792.0	11583.0
9015.0	6025.0	6697.0	7400.0
4506.0	7155.0	7486.0	8340.0
4605.0	9925.0	10555.0	11544.0
9002.0	14302.0	16879.0	18491.0
4226.0	7201.0	7812.0	8154.0
4505.0	5466.0	5579.0	5699.0
4225.0	6749.0	7235.0	8144.0
5716.0	10828.0	11141.0	11911.0
5916.0	13916.0	14430.0	15718.0
4300.0	4997.0	5343.0	5881.0
5815.0	2131.0	2197.0	2398.0
9004.0	6991.0	7930.0	9727.0
5715.0	8183.0	8259.0	8306.0
3330.0	4941.0	5710.0	6425.0
6506.0	4849.0	5363.0	5985.0
5915.0	7838.0	8105.0	8514.0
3905.0	4314.0	4606.0	5081.0
4130.0	7958.0	8213.0	8600.0
6930.0	4540.0	4556.0	4596.0
3825.0	8051.0	8490.0	9244.0
4120.0	8758.0	9097.0	9771.0
3816.0	10021.0	10644.0	11674.0
4210.0	9488.0	10640.0	11735.0
9016.0	4580.0	5311.0	6368.0
4005.0	5987.0	6513.0	7518.0
4230.0	4118.0	4653.0	5011.0
3815.0	8383.0	8574.0	8718.0
3705.0	12812.0	13483.0	15397.0
3900.0	2844.0	3180.0	3556.0
4110.0	8349.0	9088.0	11515.0
3416.0	9195.0	9643.0	10920.0
3413.0	3448.0	4094.0	4553.0
3706.0	7144.0	7455.0	7688.0
3600.0	8662.0	9235.0	12265.0
3415.0	10442.0	11749.0	13362.0
3320.0	10399.0	11283.0	12232.0
3505.0	17349.0	18523.0	20165.0
3414.0	10022.0	10560.0	11191.0
6900.0	3261.0	3863.0	4674.0
2940.0	6657.0	8632.0	9825.0
2216.0	7284.0	7989.0	8809.0
3046.0	9988.0	11517.0	13967.0
2225.0	6336.0	7337.0	9502.0
3426.0	7433.0	8477.0	9292.0
3427.0	8514.0	9234.0	10034.0
3045.0	11198.0	11909.0	13011.0
3310.0	7381.0	8949.0	13195.0
3030.0	15132.0	18176.0	20080.0
3130.0	7199.0	7540.0	8349.0
3010.0	16631.0	17713.0	19256.0
3020.0	10240.0	10735.0	13343.0
3425.0	7464.0	8561.0	9374.0
2100.0	7513.0	7835.0	8360.0
1606.0	5545.0	5695.0	5896.0
2215.0	7279.0	7758.0	8234.0
1720.0	11637.0	12211.0	13359.0
3120.0	9637.0	10390.0	13370.0
1900.0	518.0	522.0	523.0
3110.0	3450.0	3646.0	3731.0
3200.0	7993.0	8867.0	10073.0
1605.0	7846.0	7955.0	8084.0
2000.0	4874.0	5520.0	6227.0
1820.0	4337.0	5586.0	7336.0
1200.0	6781.0	7388.0	7902.0
1710.0	9143.0	9893.0	12318.0
1810.0	2279.0	3914.0	6828.0
900.0	4450.0	4763.0	5173.0
806.0	11529.0	13716.0	16199.0
1506.0	9380.0	9756.0	10242.0
1410.0	5954.0	6361.0	7414.0
1505.0	7974.0	8250.0	8669.0
1330.0	7991.0	8589.0	8928.0
1000.0	4192.0	4409.0	4541.0
1320.0	7271.0	7341.0	7388.0
1420.0	5681.0	6201.0	8185.0
1130.0	2652.0	3010.0	3340.0
1116.0	7402.0	7884.0	8531.0
1310.0	10481.0	10773.0	10917.0
805.0	8032.0	9162.0	9359.0
1115.0	5398.0	6595.0	7015.0
205.0	4979.0	5072.0	5238.0
136.0	5009.0	5116.0	5247.0
1120.0	13618.0	15194.0	17319.0
705.0	6725.0	7958.0	12954.0
120.0	4845.0	5161.0	5391.0
325.0	9245.0	9967.0	10598.0
135.0	6818.0	7109.0	7231.0
706.0	4888.0	5574.0	6573.0
206.0	5906.0	6031.0	6160.0
2910.0	1341.0	1541.0	2058.0
315.0	5961.0	6165.0	6390.0
2935.0	6259.0	6482.0	6465.0
605.0	8772.0	10105.0	11372.0
606.0	8451.0	10537.0	12716.0
506.0	8974.0	10484.0	13876.0
110.0	2158.0	2203.0	2438.0
505.0	16857.0	20663.0	24333.0
2936.0	3113.0	3220.0	3652.0
405.0	8681.0	10301.0	11779.0
2926.0	9001.0	9705.0	10993.0
2925.0	6277.0	7117.0	9227.0
2927.0	2326.0	3217.0	5333.0
