faz_id,population_2000,population_2010,population_2011,population_2012,population_2013,population_2014,population_2015,population_2016,population_2017,population_2018,population_2019,population_2020,population_2021,population_2022,population_2023,population_2024,population_2025,population_2026,population_2027,population_2028,population_2029,population_2030,population_2031,population_2032,population_2033,population_2034,population_2035,population_2036,population_2037,population_2038,population_2039,population_2040
8935.0,8813.0,11751.0,11690.0,11776.0,11832.0,11885.0,12639.0,12514.0,12536.0,12578.0,12874.0,13381.0,13361.0,13422.0,13493.0,13490.0,14337.0,14448.0,14462.0,14509.0,14526.0,15322.0,15421.0,15475.0,15548.0,15665.0,16461.0,16676.0,16716.0,16755.0,16893.0,17772.0
8927.0,4838.0,5430.0,5411.0,5439.0,5482.0,5517.0,5717.0,5678.0,5732.0,5783.0,5738.0,5815.0,5768.0,5794.0,5779.0,5779.0,5748.0,5771.0,5773.0,5814.0,5804.0,5793.0,5856.0,5901.0,5918.0,5967.0,5949.0,6039.0,6079.0,6130.0,6262.0,6235.0
8926.0,11809.0,13603.0,13520.0,13646.0,13792.0,13963.0,14580.0,14678.0,14835.0,14930.0,14820.0,15113.0,15123.0,15180.0,15263.0,15372.0,15378.0,15476.0,15528.0,15695.0,15689.0,15776.0,15991.0,16080.0,16205.0,16332.0,16354.0,16692.0,16816.0,17069.0,17297.0,17272.0
8936.0,14660.0,17058.0,17047.0,17185.0,17367.0,17503.0,17989.0,17881.0,18026.0,18035.0,18902.0,19076.0,19035.0,19069.0,19127.0,19197.0,19244.0,19349.0,19434.0,19497.0,19476.0,19603.0,19779.0,19816.0,19936.0,20022.0,20085.0,20293.0,20374.0,20504.0,20636.0,20587.0
8500.0,11897.0,17792.0,17817.0,18016.0,18298.0,18679.0,19520.0,19523.0,19662.0,19862.0,19836.0,21091.0,20976.0,21007.0,21010.0,21021.0,22237.0,22327.0,22413.0,22446.0,22440.0,23147.0,23146.0,23231.0,23372.0,23507.0,24021.0,24263.0,24562.0,24951.0,25640.0,24603.0
8406.0,1367.0,1502.0,1480.0,1484.0,1492.0,1495.0,1522.0,1532.0,1547.0,1554.0,1540.0,1558.0,1593.0,1604.0,1633.0,1641.0,1634.0,1658.0,1663.0,1682.0,1696.0,1707.0,1728.0,1768.0,1837.0,1907.0,1904.0,2002.0,2059.0,2087.0,2162.0,2077.0
8320.0,11000.0,11796.0,11825.0,11928.0,12052.0,12057.0,12403.0,12313.0,12328.0,12377.0,12787.0,12801.0,12773.0,12795.0,12826.0,12923.0,13179.0,13197.0,13195.0,13221.0,13227.0,13543.0,13555.0,13575.0,13610.0,13702.0,14028.0,14041.0,14074.0,14222.0,14380.0,14533.0
8925.0,10876.0,13610.0,13573.0,13647.0,13782.0,13854.0,14746.0,14742.0,14855.0,14916.0,14826.0,16179.0,16202.0,16237.0,16309.0,16334.0,17522.0,17601.0,17601.0,17675.0,17681.0,18933.0,19190.0,19293.0,19433.0,19562.0,20638.0,20905.0,20951.0,20986.0,21181.0,22705.0
8937.0,8978.0,9904.0,9911.0,9982.0,10116.0,10335.0,12342.0,12806.0,13219.0,13670.0,13738.0,14004.0,14309.0,14620.0,14976.0,15222.0,15169.0,15470.0,15730.0,15905.0,16013.0,15933.0,16261.0,16471.0,16696.0,17019.0,16937.0,17464.0,17783.0,18217.0,18681.0,18574.0
8405.0,10538.0,15276.0,15270.0,15489.0,15750.0,16055.0,16787.0,16704.0,16862.0,17035.0,18018.0,18033.0,18063.0,18151.0,18398.0,18504.0,18958.0,19044.0,19077.0,19210.0,19283.0,20362.0,20534.0,20579.0,20677.0,20901.0,21842.0,22007.0,22133.0,22219.0,22485.0,22819.0
8310.0,26209.0,28898.0,28821.0,29283.0,29692.0,30088.0,31299.0,31082.0,31433.0,31734.0,31987.0,31998.0,32032.0,32247.0,32522.0,32747.0,33449.0,33501.0,33544.0,33688.0,33721.0,34752.0,34963.0,34994.0,35071.0,35225.0,35998.0,36083.0,36314.0,36628.0,37011.0,37505.0
8910.0,12561.0,14476.0,14406.0,14555.0,14658.0,14726.0,15371.0,15361.0,15514.0,15677.0,15843.0,16037.0,16091.0,16225.0,16357.0,16410.0,16565.0,16763.0,16881.0,17069.0,17075.0,17290.0,17581.0,17699.0,17932.0,18185.0,18401.0,18909.0,19077.0,19360.0,19793.0,19731.0
7905.0,15580.0,21227.0,21159.0,21376.0,21746.0,22044.0,24196.0,24164.0,24454.0,24792.0,26593.0,26225.0,26378.0,26736.0,27154.0,27432.0,27701.0,27967.0,28086.0,28401.0,28493.0,29198.0,29379.0,29601.0,29897.0,30148.0,30882.0,31168.0,31387.0,31788.0,32236.0,33138.0
