faz_id,population_2000,population_2010,population_2020,population_2030,population_2040
4900.0,1854.0,6490.0,14655.0,20275.0,24598.0
6010.0,6069.0,10290.0,13527.0,16207.0,18022.0
4400.0,21758.0,22375.0,24917.0,25160.0,25253.0
9900.0,6675.0,6935.0,8321.0,10479.0,12064.0
9904.0,9681.0,10495.0,12759.0,14330.0,15716.0
9902.0,20858.0,21738.0,27401.0,30728.0,33173.0
4810.0,8848.0,9796.0,11281.0,11789.0,12328.0
5720.0,33888.0,36027.0,39637.0,40600.0,40819.0
9901.0,6573.0,6112.0,7609.0,9807.0,13231.0
5826.0,3975.0,4799.0,5680.0,6188.0,6377.0
5825.0,3343.0,3856.0,4785.0,5088.0,5009.0
5925.0,22727.0,23205.0,24764.0,25514.0,25940.0
9015.0,13421.0,14742.0,15871.0,17800.0,19375.0
4506.0,15692.0,16291.0,17967.0,18965.0,20081.0
4605.0,20314.0,24246.0,26826.0,28620.0,29966.0
9002.0,21887.0,23678.0,34028.0,41250.0,46213.0
4226.0,14656.0,15873.0,18459.0,20435.0,21263.0
4505.0,15374.0,15568.0,16385.0,16765.0,16771.0
4225.0,11135.0,17200.0,18339.0,19397.0,21468.0
5716.0,24127.0,24927.0,26807.0,26877.0,27525.0
5916.0,33462.0,35523.0,37329.0,37504.0,38270.0
4300.0,10197.0,10137.0,11554.0,12772.0,13580.0
5815.0,4783.0,4984.0,5190.0,5289.0,5374.0
9004.0,14346.0,17132.0,18323.0,21470.0,25491.0
5715.0,17030.0,17524.0,18729.0,18916.0,19078.0
3330.0,11609.0,11992.0,12872.0,14448.0,16454.0
6506.0,11422.0,11570.0,12770.0,14341.0,15477.0
5915.0,19004.0,19397.0,20731.0,21223.0,21122.0
3905.0,7848.0,8425.0,10754.0,11871.0,12426.0
4130.0,12377.0,16551.0,18141.0,18700.0,18996.0
6930.0,10267.0,10868.0,11161.0,11244.0,11304.0
3825.0,16430.0,17236.0,20795.0,22205.0,23284.0
4120.0,16699.0,18685.0,20753.0,21897.0,22969.0
3816.0,22637.0,21910.0,25589.0,27007.0,28144.0
4210.0,15797.0,23258.0,25872.0,29162.0,31331.0
9016.0,9932.0,10956.0,12246.0,14498.0,16974.0
