building_type_id,residential_VR_2000,residential_VR_2040
1.0,0.0,0.0
2.0,0.014150943396226415,0.0
3.0,0.03789279112754159,0.0014677103718199608
4.0,0.15580578543541507,0.056365492833398589
5.0,0.0064935064935064939,0.0064935064935064939
6.0,0.067314667053532576,0.1611802488960257
7.0,0.042735042735042736,0.0085470085470085479
8.0,0.024390243902439025,0.0
9.0,0.0,0.0
10.0,0.03265044814340589,0.0
11.0,0.01981941478400959,0.0036359179671541795
12.0,0.15658728259637544,0.067213965269936213
13.0,0.28277817150956769,0.0030280090840272521
14.0,0.11368015414258188,0.0059171597633136093
15.0,nan,nan
16.0,0.14000000000000001,0.0
17.0,0.020121665886757137,0.035983749274521186
18.0,0.027777777777777776,0.003968253968253968
19.0,0.041892787419626383,0.035107378901342433
20.0,0.01507537688442211,0.011627906976744186
21.0,0.0080000000000000002,0.0068728522336769758
22.0,0.10124569308242777,0.0065645514223194746
