faz_id	households_2000	households_2010	households_2020	households_2025	households_2030	households_2035	households_2040
8935.0	3283.0	3702.0	4584.0	4869.0	5282.0	6032.0	6870.0
8927.0	1666.0	1863.0	2055.0	2172.0	2304.0	2625.0	2859.0
8926.0	4308.0	4713.0	5567.0	5990.0	6582.0	7462.0	8366.0
8936.0	5348.0	6043.0	6645.0	6923.0	7229.0	7628.0	8140.0
8500.0	4570.0	5357.0	6636.0	7012.0	7549.0	8668.0	11175.0
8406.0	502.0	563.0	699.0	809.0	982.0	1224.0	1361.0
8320.0	3761.0	3939.0	4368.0	4591.0	4932.0	5742.0	7676.0
8925.0	3888.0	4494.0	5478.0	5911.0	6515.0	7439.0	8920.0
8937.0	3315.0	4015.0	5636.0	6413.0	7498.0	8952.0	10988.0
8405.0	3383.0	4140.0	5490.0	6184.0	7025.0	7954.0	8997.0
8310.0	10159.0	11039.0	12386.0	12784.0	13230.0	13997.0	15765.0
8910.0	4679.0	5030.0	6027.0	6554.0	7289.0	8285.0	9233.0
7905.0	5382.0	6495.0	8649.0	9508.0	10254.0	11136.0	13300.0
7606.0	531.0	1013.0	1646.0	1858.0	1986.0	2105.0	2249.0
7805.0	5189.0	6007.0	7994.0	8630.0	9226.0	9940.0	10737.0
8220.0	7009.0	7538.0	7870.0	8124.0	8721.0	9860.0	10744.0
8000.0	4097.0	5127.0	5820.0	5980.0	6186.0	6280.0	6787.0
8906.0	2622.0	2849.0	3140.0	3306.0	3485.0	3720.0	3889.0
8210.0	3743.0	4436.0	5005.0	5669.0	6741.0	7910.0	8055.0
9020.0	4910.0	5645.0	7384.0	8028.0	8629.0	9288.0	10063.0
8125.0	6191.0	6985.0	7902.0	8094.0	8447.0	8910.0	9488.0
8126.0	4755.0	5251.0	5844.0	6223.0	6801.0	7681.0	8514.0
8905.0	2718.0	3075.0	3542.0	3707.0	3901.0	4200.0	4451.0
7806.0	1406.0	1660.0	2335.0	2704.0	3080.0	3673.0	4306.0
7700.0	3199.0	3564.0	3607.0	3622.0	3636.0	3680.0	3716.0
7526.0	5074.0	5445.0	5842.0	5932.0	6056.0	6275.0	6663.0
7340.0	7173.0	8661.0	9934.0	10290.0	10619.0	11291.0	12304.0
7605.0	634.0	669.0	717.0	730.0	769.0	801.0	813.0
7537.0	7062.0	7847.0	11666.0	12012.0	12352.0	12782.0	13994.0
8115.0	10196.0	10615.0	13782.0	14190.0	14747.0	15778.0	17748.0
7335.0	10953.0	12277.0	13886.0	14368.0	14901.0	15554.0	17205.0
8600.0	4919.0	5472.0	6763.0	7225.0	7635.0	8114.0	8841.0
7425.0	5817.0	8387.0	10017.0	10596.0	11131.0	11848.0	12694.0
7535.0	5540.0	6889.0	12271.0	12779.0	13288.0	13939.0	15947.0
7525.0	5107.0	5469.0	5884.0	6137.0	6526.0	7444.0	8669.0
7436.0	1915.0	2054.0	2192.0	2237.0	2275.0	2323.0	2348.0
9019.0	5069.0	5527.0	6218.0	6649.0	7304.0	8180.0	9164.0
7026.0	3661.0	4026.0	4237.0	4267.0	4308.0	4357.0	4383.0
7205.0	5304.0	5572.0	5920.0	6026.0	6194.0	6613.0	6946.0
7515.0	1323.0	1726.0	2109.0	2178.0	2279.0	2385.0	2723.0
7320.0	7911.0	9479.0	10740.0	11203.0	11569.0	12474.0	14148.0
7206.0	6972.0	7618.0	7896.0	7931.0	8101.0	8522.0	9032.0
7315.0	5359.0	5969.0	6850.0	7197.0	7574.0	8140.0	9325.0
7435.0	2529.0	2755.0	3019.0	3126.0	3268.0	3419.0	3542.0
7316.0	6288.0	7061.0	8032.0	8362.0	8565.0	8761.0	9007.0
7025.0	8475.0	9648.0	10088.0	10226.0	10427.0	10596.0	10736.0
7415.0	2503.0	3361.0	4333.0	4648.0	4888.0	5160.0	5527.0
7100.0	7850.0	8296.0	12351.0	13192.0	13924.0	14594.0	15612.0
7015.0	6611.0	7386.0	7626.0	7681.0	7769.0	7928.0	8285.0
9908.0	1183.0	1095.0	1075.0	1065.0	1060.0	1054.0	1047.0
6410.0	13727.0	15555.0	17509.0	18788.0	20944.0	23752.0	26684.0
6420.0	12319.0	13926.0	14981.0	15641.0	17327.0	20720.0	22867.0
5535.0	7834.0	9736.0	11909.0	12540.0	13433.0	15032.0	17650.0
5600.0	5004.0	5714.0	6596.0	6766.0	6980.0	7344.0	7966.0
5546.0	5393.0	6268.0	7201.0	7536.0	7884.0	8277.0	8722.0
4706.0	3540.0	4747.0	5040.0	5163.0	5322.0	5509.0	5673.0
6605.0	3289.0	3576.0	4158.0	4453.0	4829.0	5453.0	6073.0
6910.0	1234.0	1443.0	1870.0	2104.0	2325.0	2643.0	2961.0
6606.0	1737.0	1848.0	2098.0	2321.0	2564.0	2999.0	3465.0
9909.0	1492.0	1693.0	2094.0	2311.0	2530.0	2795.0	3869.0
9011.0	2992.0	3306.0	4369.0	4755.0	5195.0	5698.0	6785.0
5525.0	4883.0	5495.0	6159.0	6451.0	6821.0	7255.0	7535.0
5515.0	9064.0	10483.0	11689.0	11908.0	12218.0	12505.0	12913.0
6326.0	10358.0	11710.0	12108.0	12148.0	12114.0	12424.0	12826.0
9914.0	5468.0	6215.0	7269.0	7751.0	8159.0	8526.0	8751.0
5545.0	3750.0	4893.0	5898.0	6178.0	6517.0	6715.0	7113.0
6223.0	11610.0	13119.0	13363.0	13456.0	13766.0	14233.0	14423.0
5306.0	9358.0	10487.0	11021.0	11139.0	11295.0	11433.0	11763.0
6325.0	15100.0	16453.0	16709.0	16876.0	17029.0	17119.0	17119.0
9009.0	1588.0	1738.0	1962.0	2111.0	2261.0	2405.0	2542.0
9006.0	3047.0	3525.0	4320.0	4895.0	5514.0	6044.0	6478.0
6225.0	8755.0	10077.0	10717.0	10929.0	10621.0	10908.0	11346.0
9018.0	5450.0	5692.0	8329.0	9011.0	9574.0	10137.0	10776.0
5425.0	14197.0	15598.0	17434.0	17948.0	18467.0	19103.0	20196.0
5305.0	10271.0	11893.0	12823.0	13018.0	13214.0	13434.0	13706.0
5426.0	4804.0	6968.0	8164.0	8475.0	8680.0	9157.0	9963.0
6226.0	12686.0	14344.0	14653.0	14795.0	14878.0	14994.0	15113.0
6126.0	5369.0	5988.0	6033.0	6026.0	6068.0	6127.0	6287.0
6224.0	10110.0	11085.0	11241.0	11325.0	11351.0	11366.0	11348.0
6216.0	6162.0	6819.0	6875.0	6977.0	7019.0	7042.0	7050.0
6316.0	13137.0	14921.0	15376.0	15587.0	15713.0	15723.0	15628.0
6215.0	10917.0	10992.0	11423.0	11689.0	11856.0	11869.0	11835.0
5100.0	2701.0	3077.0	3089.0	3075.0	3087.0	3100.0	3116.0
6213.0	8879.0	9834.0	10018.0	10187.0	10330.0	10372.0	10369.0
9005.0	1667.0	1857.0	2123.0	2339.0	2646.0	3116.0	3500.0
6124.0	13097.0	14309.0	14650.0	14837.0	14938.0	14967.0	14977.0
6125.0	4868.0	5427.0	5522.0	5635.0	5690.0	5692.0	5702.0
6214.0	213.0	236.0	238.0	237.0	238.0	238.0	238.0
5415.0	5284.0	6004.0	6472.0	6653.0	6855.0	6836.0	7787.0
5205.0	5388.0	5546.0	5740.0	5921.0	6136.0	6431.0	7021.0
9916.0	3553.0	3991.0	6179.0	6858.0	7290.0	7619.0	8236.0
9913.0	2509.0	2756.0	3173.0	3255.0	3372.0	3470.0	3539.0
9915.0	4990.0	5472.0	8646.0	9429.0	10170.0	11020.0	12149.0
4606.0	6865.0	8040.0	9182.0	9759.0	10294.0	10779.0	11504.0
