building_type_id,psrc_package_non_residential_VR_2000,psrc_package_non_residential_VR_2040
1.0,0.17203311867525298,0.30318091451292245
2.0,0.12444861567339277,0.00075485940743536515
3.0,0.1566172374459506,0.072810437603698777
4.0,0.54270903010033444,0.31699710403207843
5.0,0.12837829228201175,0.01944910652581696
6.0,0.38165680473372782,0.28916211293260474
7.0,0.11718674290144394,0.0
8.0,0.20908373718020962,0.13427787804288821
9.0,0.099547511312217188,0.0
10.0,0.11570811548079109,0.00030686612965093976
11.0,0.59824980111376291,0.52339377658383701
12.0,0.45327526987242395,0.26209296755012612
13.0,0.14066218537352576,0.062200336338915127
14.0,0.16064347175458288,0.11776859504132231
15.0,0.090909090909090912,0.003952569169960474
16.0,0.12295536456889382,0.013978088401964487
17.0,0.13183343201105191,0.010705431597926527
18.0,0.10713320724128614,0.012513591881116346
19.0,0.45766497222312369,0.34238802557963788
20.0,0.13222237399262396,0.14981921081590946
21.0,0.16323928304301202,0.026223496483685403
22.0,0.2592209892627701,0.07490930936481896
