faz_id	households_2020	households_2030	households_2040
8935.0	4792.0	5217.0	6850.0
8927.0	2075.0	2280.0	2862.0
8926.0	5506.0	6306.0	8226.0
8936.0	6757.0	7303.0	8303.0
8500.0	7643.0	8373.0	10643.0
8406.0	601.0	839.0	1314.0
8320.0	4738.0	5237.0	5932.0
8925.0	5532.0	6416.0	8745.0
8937.0	5184.0	6940.0	10022.0
8405.0	5636.0	6796.0	8941.0
8310.0	12974.0	14062.0	17208.0
8910.0	6272.0	7400.0	9697.0
7905.0	8771.0	10245.0	12651.0
7606.0	1587.0	1977.0	2213.0
7805.0	7395.0	8707.0	10302.0
8220.0	8796.0	10240.0	12640.0
8000.0	5831.0	6184.0	6673.0
8906.0	3162.0	3422.0	3833.0
8210.0	4712.0	5853.0	6515.0
9020.0	7303.0	8414.0	9928.0
8125.0	7763.0	8202.0	9029.0
8126.0	5368.0	6142.0	7565.0
8905.0	3590.0	3871.0	4383.0
7806.0	2398.0	3208.0	4425.0
7700.0	3678.0	3725.0	3748.0
7526.0	6177.0	6321.0	7116.0
7340.0	10160.0	10958.0	12489.0
7605.0	740.0	757.0	799.0
7537.0	11628.0	12565.0	14074.0
8115.0	13552.0	14632.0	17008.0
7335.0	14730.0	15601.0	18534.0
8600.0	6648.0	7631.0	8792.0
7425.0	10131.0	11113.0	12403.0
7535.0	12551.0	13709.0	15615.0
7525.0	6173.0	6707.0	8660.0
7436.0	2186.0	2287.0	2342.0
9019.0	6810.0	7909.0	9525.0
7026.0	4344.0	4399.0	4474.0
7205.0	5434.0	5730.0	6531.0
7515.0	2139.0	2299.0	2601.0
7320.0	11518.0	12233.0	14809.0
7206.0	7830.0	8015.0	8819.0
7315.0	6543.0	7230.0	8441.0
7435.0	2978.0	3221.0	3492.0
7316.0	8027.0	8519.0	9138.0
7025.0	10163.0	10643.0	10932.0
7415.0	4406.0	5044.0	6287.0
7100.0	10745.0	11812.0	14298.0
7015.0	7911.0	8104.0	8609.0
9908.0	1118.0	1110.0	1091.0
6410.0	17356.0	20021.0	25570.0
6420.0	15187.0	17107.0	21971.0
5535.0	12157.0	13662.0	17161.0
5600.0	6692.0	7212.0	8134.0
5546.0	6963.0	7616.0	8583.0
4706.0	5147.0	5303.0	5587.0
6605.0	4431.0	5037.0	6355.0
6910.0	2778.0	3075.0	4048.0
6606.0	2016.0	2219.0	2979.0
9909.0	2115.0	2592.0	3807.0
9011.0	4156.0	4744.0	6260.0
5525.0	6088.0	6720.0	7507.0
5515.0	10784.0	11413.0	12089.0
6326.0	12384.0	12543.0	13129.0
9914.0	7222.0	8141.0	8707.0
5545.0	5744.0	6413.0	7064.0
6223.0	13227.0	13869.0	14100.0
5306.0	11159.0	11437.0	12928.0
6325.0	16660.0	16931.0	16978.0
9009.0	2121.0	2309.0	2616.0
9006.0	4288.0	5333.0	6230.0
6225.0	10327.0	10908.0	12759.0
9018.0	7879.0	9089.0	10360.0
5425.0	18172.0	19879.0	22575.0
5305.0	12854.0	13295.0	14409.0
5426.0	8167.0	8753.0	9813.0
6226.0	14396.0	14625.0	14870.0
6126.0	5688.0	5791.0	6000.0
6224.0	10234.0	10347.0	11167.0
6216.0	6811.0	6910.0	6912.0
6316.0	16596.0	16926.0	16872.0
6215.0	12860.0	13094.0	13567.0
5100.0	3512.0	3540.0	3538.0
6213.0	9810.0	10134.0	10142.0
9005.0	2230.0	2627.0	3484.0
6124.0	15198.0	15477.0	15453.0
6125.0	5328.0	5433.0	5434.0
6214.0	235.0	238.0	237.0
5415.0	6695.0	8075.0	9805.0
5205.0	5855.0	8135.0	11672.0
9916.0	5690.0	6797.0	7664.0
9913.0	3394.0	3479.0	3559.0
9915.0	8342.0	10112.0	11541.0
4606.0	9071.0	10194.0	11331.0
6115.0	11715.0	11993.0	12557.0
4820.0	3228.0	3297.0	3357.0
9017.0	1813.0	1987.0	2531.0
6123.0	11495.0	13018.0	17526.0
6114.0	17268.0	17894.0	18124.0
4607.0	9508.0	10862.0	13085.0
6505.0	4948.0	5343.0	6246.0
5020.0	10995.0	11482.0	12099.0
6113.0	25966.0	27588.0	28487.0
5010.0	8678.0	8915.0	9092.0
6020.0	12793.0	15042.0	16193.0
4900.0	5173.0	8827.0	15190.0
6010.0	8583.0	9724.0	10842.0
4400.0	9653.0	9735.0	9638.0
9900.0	3500.0	4324.0	5219.0
9904.0	5781.0	6307.0	6947.0
9902.0	11575.0	13314.0	14791.0
4810.0	4996.0	5227.0	5538.0
5720.0	19038.0	19481.0	19481.0
9901.0	2877.0	3642.0	5258.0
5826.0	2753.0	3040.0	3170.0
5825.0	2314.0	2524.0	2533.0
5925.0	10561.0	11087.0	11666.0
9015.0	5946.0	6650.0	7408.0
