faz_id	jobs_2020	jobs_2030	jobs_2040
2225.0	7427.0	7639.0	8500.0
3426.0	2737.0	3127.0	3417.0
3427.0	6469.0	7397.0	8260.0
3045.0	4395.0	4632.0	5310.0
3310.0	3619.0	5784.0	6908.0
3030.0	10603.0	12153.0	14055.0
3130.0	23722.0	27185.0	31457.0
3010.0	11261.0	11724.0	12935.0
3020.0	22203.0	23104.0	26453.0
3425.0	3180.0	3442.0	3664.0
2100.0	1897.0	2039.0	2448.0
1606.0	3011.0	3627.0	3701.0
2215.0	6922.0	7606.0	8266.0
1720.0	6908.0	7085.0	7784.0
3120.0	16886.0	18567.0	20949.0
1900.0	14524.0	17086.0	19819.0
3110.0	2811.0	2947.0	3117.0
3200.0	7696.0	8210.0	8925.0
1605.0	7758.0	7999.0	8765.0
2000.0	14668.0	15534.0	16215.0
1820.0	22762.0	25956.0	36737.0
1200.0	5349.0	6176.0	7922.0
1710.0	13042.0	14003.0	15735.0
1810.0	14346.0	16567.0	22622.0
900.0	11418.0	11696.0	13035.0
806.0	4042.0	5081.0	5432.0
1506.0	4319.0	4822.0	5630.0
1410.0	15052.0	15806.0	18815.0
1505.0	5648.0	6606.0	7848.0
1330.0	5735.0	5948.0	6264.0
1000.0	3125.0	3244.0	3390.0
1320.0	4861.0	5050.0	5746.0
1420.0	15586.0	17407.0	22937.0
1130.0	2646.0	3965.0	4395.0
1116.0	8296.0	9296.0	10425.0
1310.0	6573.0	6866.0	7908.0
805.0	5145.0	5580.0	5892.0
1115.0	4613.0	5112.0	5570.0
205.0	13783.0	13983.0	14930.0
136.0	4464.0	4506.0	5281.0
1120.0	12995.0	14450.0	18080.0
705.0	2793.0	3682.0	5634.0
120.0	1525.0	1649.0	1745.0
325.0	5521.0	5939.0	6536.0
135.0	3013.0	3151.0	3321.0
706.0	3713.0	3952.0	4273.0
206.0	8203.0	8469.0	9280.0
2910.0	1027.0	1170.0	1322.0
315.0	6463.0	7719.0	8128.0
2935.0	20945.0	22364.0	23990.0
605.0	4541.0	5018.0	5968.0
606.0	3714.0	4096.0	4532.0
506.0	5817.0	7775.0	11637.0
110.0	1215.0	1342.0	1562.0
505.0	11718.0	15016.0	20687.0
2936.0	3683.0	4371.0	4801.0
405.0	4173.0	4799.0	5746.0
2926.0	2776.0	3226.0	3459.0
2925.0	2225.0	2566.0	2949.0
2927.0	1592.0	2001.0	2914.0
