faz_id	jobs_2020	jobs_2030	jobs_2040
8935.0	4574.0	5193.0	6062.0
8927.0	1137.0	1211.0	1283.0
8926.0	1694.0	2455.0	3589.0
8936.0	3337.0	3708.0	4276.0
8500.0	10145.0	12012.0	16106.0
8406.0	284.0	294.0	330.0
8320.0	8562.0	11294.0	14949.0
8925.0	2422.0	2860.0	3606.0
8937.0	8143.0	8786.0	9434.0
8405.0	861.0	997.0	1224.0
8310.0	9746.0	10383.0	11640.0
8910.0	2776.0	3057.0	3448.0
7905.0	4649.0	5155.0	6256.0
7606.0	768.0	827.0	891.0
7805.0	2918.0	3383.0	3942.0
8220.0	11552.0	12806.0	14902.0
8000.0	38433.0	38761.0	41189.0
8906.0	1264.0	1289.0	1393.0
8210.0	20410.0	24493.0	35718.0
9020.0	3676.0	4146.0	4924.0
8125.0	5792.0	6347.0	7352.0
8126.0	7526.0	8177.0	9665.0
8905.0	1018.0	1091.0	1200.0
7806.0	1471.0	1518.0	2151.0
7700.0	5446.0	5552.0	6355.0
7526.0	8878.0	9863.0	10742.0
7340.0	3592.0	4041.0	4225.0
7605.0	971.0	1216.0	1714.0
7537.0	15217.0	17025.0	18831.0
8115.0	9928.0	10788.0	13452.0
7335.0	10669.0	11359.0	12500.0
8600.0	10704.0	12216.0	14270.0
7425.0	3648.0	3865.0	4828.0
7535.0	5751.0	6448.0	8553.0
7525.0	2176.0	2285.0	2744.0
7436.0	2257.0	2429.0	2579.0
9019.0	4617.0	5053.0	5466.0
7026.0	1677.0	1746.0	1811.0
7205.0	7875.0	8524.0	9716.0
7515.0	7399.0	8170.0	8802.0
7320.0	7909.0	9254.0	11665.0
7206.0	17333.0	21040.0	31794.0
7315.0	4810.0	5171.0	6042.0
7435.0	4103.0	4656.0	5157.0
7316.0	4160.0	4319.0	4650.0
7025.0	11035.0	12003.0	13851.0
7415.0	13362.0	14322.0	15605.0
7100.0	9384.0	12871.0	13855.0
7015.0	5625.0	6108.0	7001.0
9908.0	4088.0	4298.0	4526.0
6410.0	15073.0	15417.0	18689.0
6420.0	8926.0	8795.0	8385.0
5535.0	5868.0	6001.0	6797.0
5600.0	14462.0	15543.0	17338.0
5546.0	13350.0	13632.0	14783.0
4706.0	2217.0	2298.0	2391.0
6605.0	2583.0	2700.0	2866.0
6910.0	853.0	964.0	1595.0
6606.0	1152.0	1239.0	1533.0
9909.0	1131.0	1182.0	1489.0
9011.0	6280.0	6435.0	6742.0
5525.0	6428.0	6482.0	6417.0
5515.0	5266.0	5435.0	5715.0
6326.0	11617.0	12470.0	13846.0
9914.0	3685.0	4145.0	4504.0
5545.0	4397.0	4494.0	4651.0
6223.0	8025.0	8564.0	11142.0
5306.0	18629.0	19742.0	28700.0
6325.0	7307.0	7360.0	8610.0
9009.0	2350.0	2399.0	2537.0
9006.0	1653.0	2228.0	3351.0
6225.0	15908.0	16263.0	19349.0
9018.0	10998.0	11737.0	12994.0
5425.0	30178.0	34535.0	49225.0
5305.0	22071.0	24534.0	29268.0
5426.0	15698.0	17250.0	26663.0
6226.0	7033.0	7366.0	8192.0
6126.0	2837.0	2950.0	3394.0
6224.0	7481.0	7600.0	8051.0
6216.0	8844.0	9727.0	10331.0
6316.0	19170.0	20460.0	24181.0
6215.0	15309.0	17469.0	20489.0
5100.0	1687.0	1775.0	1855.0
6213.0	15524.0	15612.0	16949.0
9005.0	507.0	541.0	638.0
6124.0	12920.0	12984.0	14224.0
6125.0	10383.0	11045.0	12048.0
6214.0	29707.0	30110.0	32459.0
5415.0	59909.0	62014.0	68641.0
5205.0	34953.0	38983.0	45380.0
9916.0	2314.0	2428.0	2533.0
9913.0	5636.0	6035.0	6652.0
9915.0	3248.0	3498.0	4342.0
4606.0	3365.0	3518.0	3611.0
6115.0	9302.0	9218.0	10239.0
4820.0	5942.0	6065.0	5950.0
9017.0	244.0	289.0	395.0
6123.0	55891.0	63934.0	70500.0
6114.0	20756.0	21592.0	24456.0
4607.0	6167.0	6902.0	8753.0
6505.0	3113.0	3201.0	4124.0
5020.0	8391.0	8982.0	9559.0
6113.0	39867.0	42048.0	45049.0
5010.0	13739.0	15142.0	14918.0
6020.0	56142.0	72359.0	76155.0
4900.0	52901.0	63920.0	95043.0
6010.0	114114.0	131761.0	140197.0
4400.0	9366.0	9847.0	10904.0
9900.0	1943.0	2067.0	2119.0
9904.0	7106.0	7233.0	8395.0
9902.0	21810.0	23175.0	27387.0
4810.0	7645.0	7914.0	8773.0
5720.0	11583.0	12178.0	14025.0
9901.0	4235.0	5007.0	6604.0
5826.0	7981.0	8470.0	10568.0
5825.0	48244.0	52508.0	57547.0
5925.0	19122.0	20139.0	23946.0
9015.0	1788.0	1936.0	2039.0
4506.0	31772.0	31897.0	34071.0
4605.0	18493.0	24909.0	34654.0
9002.0	9578.0	10173.0	11267.0
4226.0	3213.0	3726.0	3848.0
4505.0	1429.0	1492.0	1569.0
4225.0	3138.0	3278.0	4256.0
5716.0	8033.0	8553.0	10528.0
5916.0	8302.0	8427.0	9524.0
4300.0	16923.0	19991.0	28829.0
5815.0	27465.0	29154.0	31409.0
9004.0	4825.0	5701.0	7056.0
5715.0	2208.0	2285.0	2389.0
3330.0	2407.0	2517.0	2756.0
6506.0	7764.0	10093.0	13339.0
5915.0	5227.0	5662.0	6335.0
3905.0	19743.0	21112.0	23799.0
4130.0	23931.0	26184.0	33866.0
6930.0	3624.0	3835.0	4239.0
3825.0	7808.0	8186.0	8990.0
4120.0	3844.0	4425.0	4943.0
3816.0	4230.0	4400.0	4823.0
4210.0	5209.0	6269.0	7247.0
9016.0	1818.0	2022.0	2325.0
4005.0	2125.0	2250.0	2536.0
4230.0	1977.0	2066.0	2223.0
3815.0	10180.0	10793.0	13171.0
3705.0	35706.0	39431.0	46635.0
3900.0	25579.0	28888.0	44424.0
4110.0	36497.0	37976.0	41047.0
3416.0	3256.0	3361.0	3289.0
3413.0	1459.0	1643.0	1812.0
3706.0	4085.0	4366.0	5069.0
3600.0	54190.0	69404.0	81667.0
3415.0	4760.0	5140.0	5840.0
3320.0	5097.0	5823.0	7120.0
3505.0	20598.0	24074.0	28824.0
3414.0	3021.0	3184.0	3336.0
6900.0	1803.0	1978.0	2164.0
2940.0	3179.0	4049.0	4825.0
2216.0	4139.0	4566.0	5121.0
3046.0	8481.0	9223.0	12948.0
2225.0	7442.0	7655.0	8509.0
3426.0	2738.0	3130.0	3419.0
3427.0	6491.0	7419.0	8278.0
3045.0	4387.0	4624.0	5303.0
3310.0	3548.0	5710.0	6832.0
3030.0	9599.0	11105.0	12342.0
3130.0	24360.0	27824.0	32692.0
3010.0	11380.0	11837.0	13056.0
3020.0	21966.0	22869.0	26218.0
3425.0	3179.0	3438.0	3661.0
2100.0	2209.0	2363.0	2780.0
1606.0	3182.0	3799.0	4017.0
2215.0	6906.0	7589.0	8251.0
1720.0	6889.0	7064.0	7762.0
