commute_id	origin_district_id	destination_district_id	commute_trips
1001	1	1	33956
1002	1	2	8173
1003	1	3	19118
1004	1	4	4683
1005	1	5	2468
1006	1	6	4433
1007	1	7	292
1008	1	8	761
1009	1	9	510
1010	1	10	2051
1011	1	11	1279
1012	1	12	1025
1013	1	13	645
1014	1	14	57
1015	1	15	98
1016	1	16	44
1017	1	17	68
1018	1	18	23
1019	1	19	5940
2001	2	1	16878
2002	2	2	61535
2003	2	3	28688
2004	2	4	17195
2005	2	5	12207
2006	2	6	13771
2007	2	7	1435
2008	2	8	2841
2009	2	9	1704
2010	2	10	5312
2011	2	11	3442
2012	2	12	2583
2013	2	13	1645
2014	2	14	125
2015	2	15	194
2016	2	16	128
2017	2	17	166
2018	2	18	54
2019	2	19	1160
3001	3	1	10653
3002	3	2	9835
3003	3	3	40204
3004	3	4	7729
3005	3	5	3873
3006	3	6	6913
3007	3	7	462
3008	3	8	1159
3009	3	9	681
3010	3	10	3072
3011	3	11	2326
3012	3	12	1566
3013	3	13	946
3014	3	14	95
3015	3	15	115
3016	3	16	42
3017	3	17	75
3018	3	18	17
3019	3	19	1492
4001	4	1	2377
4002	4	2	6091
4003	4	3	7827
4004	4	4	26556
4005	4	5	9761
4006	4	6	15423
4007	4	7	1105
4008	4	8	2834
4009	4	9	1696
4010	4	10	5720
4011	4	11	4266
4012	4	12	3132
4013	4	13	1981
4014	4	14	175
4015	4	15	250
4016	4	16	107
4017	4	17	134
4018	4	18	49
4019	4	19	271
5001	5	1	1546
5002	5	2	5288
5003	5	3	4963
5004	5	4	11978
5005	5	5	39788
5006	5	6	24902
5007	5	7	4770
5008	5	8	7166
5009	5	9	4301
5010	5	10	8607
5011	5	11	5783
5012	5	12	4273
5013	5	13	2781
5014	5	14	244
5015	5	15	436
5016	5	16	287
5017	5	17	301
5018	5	18	151
5019	5	19	185
6001	6	1	499
6002	6	2	1259
6003	6	3	1815
6004	6	4	4090
6005	6	5	7257
6006	6	6	34263
6007	6	7	2163
6008	6	8	6586
6009	6	9	3997
6010	6	10	13607
6011	6	11	9396
6012	6	12	7116
6013	6	13	4414
6014	6	14	337
6015	6	15	616
6016	6	16	289
6017	6	17	349
6018	6	18	123
6019	6	19	158
7001	7	1	201
7002	7	2	668
7003	7	3	683
7004	7	4	1720
7005	7	5	3930
7006	7	6	10074
7007	7	7	21002
7008	7	8	15883
7009	7	9	13294
7010	7	10	6048
7011	7	11	6099
7012	7	12	4949
7013	7	13	3208
7014	7	14	291
7015	7	15	809
7016	7	16	686
7017	7	17	620
7018	7	18	468
7019	7	19	57
8001	8	1	56
8002	8	2	176
8003	8	3	225
8004	8	4	498
8005	8	5	1096
8006	8	6	4148
8007	8	7	2728
8008	8	8	29443
8009	8	9	10193
8010	8	10	4161
8011	8	11	6058
8012	8	12	4605
8013	8	13	3355
8014	8	14	297
8015	8	15	711
8016	8	16	565
