faz_id	population_2000	population_2010	population_2020	population_2025	population_2030	population_2035	population_2040
8935.0	9011.0	10236.0	12142.0	13028.0	14154.0	15725.0	17217.0
8927.0	4718.0	5193.0	5731.0	5986.0	6422.0	7134.0	7643.0
8926.0	11969.0	13244.0	15090.0	16459.0	18073.0	20228.0	21852.0
8936.0	14758.0	16714.0	18023.0	18715.0	19535.0	20682.0	21390.0
8500.0	12274.0	14080.0	16660.0	17885.0	19234.0	21048.0	25146.0
8406.0	1392.0	1632.0	1771.0	2131.0	2522.0	3219.0	3578.0
8320.0	11552.0	11726.0	12699.0	13228.0	14067.0	15824.0	20119.0
8925.0	11195.0	13073.0	15502.0	16952.0	18398.0	20558.0	23329.0
8937.0	9016.0	10906.0	15143.0	17607.0	20558.0	24141.0	28495.0
8405.0	10570.0	12733.0	15982.0	18030.0	20399.0	22700.0	24958.0
8310.0	26645.0	28590.0	31185.0	32105.0	32856.0	34169.0	37002.0
8910.0	12656.0	13838.0	16251.0	17682.0	19504.0	21576.0	23711.0
7905.0	15692.0	18842.0	23807.0	26207.0	28053.0	29995.0	33752.0
7606.0	1410.0	2875.0	4622.0	5187.0	5676.0	5979.0	6253.0
7805.0	15497.0	17348.0	22032.0	23937.0	25979.0	28080.0	29512.0
8220.0	16453.0	17070.0	17524.0	18023.0	19197.0	21066.0	22079.0
8000.0	11022.0	13377.0	15162.0	15654.0	16036.0	16019.0	17114.0
8906.0	7869.0	8622.0	9351.0	9765.0	10332.0	10809.0	11025.0
8210.0	7665.0	9259.0	10185.0	11656.0	13506.0	15074.0	14915.0
9020.0	12685.0	14925.0	19070.0	20941.0	22642.0	24146.0	25398.0
8125.0	15712.0	17784.0	19698.0	20280.0	20929.0	21823.0	22664.0
8126.0	11598.0	12956.0	14225.0	14832.0	16079.0	17478.0	18950.0
8905.0	8012.0	9176.0	10068.0	10545.0	11162.0	11876.0	12252.0
7806.0	3987.0	4677.0	6595.0	7730.0	9064.0	10540.0	11626.0
7700.0	7866.0	8628.0	8709.0	8744.0	8735.0	8762.0	8772.0
7526.0	14008.0	14826.0	15586.0	15960.0	16144.0	16402.0	17127.0
