faz_id	singlefamily_households_2000	singlefamily_households_2010	singlefamily_households_2020	singlefamily_households_2025	singlefamily_households_2030	singlefamily_households_2035	singlefamily_households_2040
8935.0	3206.0	3564.0	4242.0	4539.0	4904.0	5481.0	5975.0
8927.0	1664.0	1818.0	2038.0	2146.0	2295.0	2574.0	2832.0
8926.0	4296.0	4704.0	5485.0	5953.0	6520.0	7421.0	8297.0
8936.0	5242.0	5793.0	6314.0	6510.0	6801.0	7250.0	7594.0
8500.0	4198.0	4720.0	5328.0	5628.0	5962.0	6231.0	6718.0
8406.0	500.0	545.0	598.0	717.0	858.0	1119.0	1282.0
8320.0	3223.0	3340.0	3811.0	4012.0	4296.0	4999.0	6782.0
8925.0	3856.0	4420.0	5337.0	5766.0	6280.0	7095.0	8093.0
8937.0	3306.0	3915.0	5583.0	6400.0	7435.0	8832.0	10830.0
8405.0	3334.0	4051.0	5348.0	6035.0	6884.0	7788.0	8768.0
8310.0	7776.0	8449.0	9651.0	9908.0	10125.0	10364.0	10750.0
8910.0	4616.0	4990.0	5972.0	6435.0	7094.0	7895.0	8825.0
7905.0	4708.0	5808.0	7884.0	8680.0	9302.0	10037.0	10890.0
7606.0	515.0	966.0	1600.0	1783.0	1927.0	2035.0	2181.0
7805.0	4870.0	5505.0	7420.0	8035.0	8740.0	9566.0	10271.0
8220.0	4004.0	4010.0	4037.0	3999.0	3987.0	3956.0	3963.0
8000.0	3504.0	3995.0	4544.0	4628.0	4675.0	4742.0	4923.0
8906.0	2600.0	2835.0	3152.0	3288.0	3502.0	3716.0	3859.0
8210.0	1746.0	1773.0	1798.0	1741.0	1696.0	1670.0	1659.0
9020.0	4878.0	5617.0	6949.0	7508.0	8043.0	8571.0	9093.0
8125.0	4393.0	4976.0	5743.0	5865.0	6008.0	6185.0	6465.0
8126.0	3588.0	3836.0	4227.0	4264.0	4307.0	4359.0	4595.0
8905.0	2665.0	3030.0	3455.0	3610.0	3841.0	4140.0	4387.0
7806.0	1375.0	1565.0	2319.0	2702.0	3147.0	3714.0	4232.0
7700.0	2442.0	2581.0	2678.0	2678.0	2680.0	2705.0	2722.0
7526.0	3974.0	4134.0	4419.0	4509.0	4564.0	4628.0	4793.0
7340.0	6720.0	7866.0	8926.0	9322.0	9691.0	10092.0	10526.0
7605.0	624.0	665.0	712.0	726.0	748.0	781.0	799.0
7537.0	2617.0	2940.0	3339.0	3523.0	3684.0	3993.0	4238.0
8115.0	5285.0	5458.0	5103.0	5123.0	5179.0	5231.0	5272.0
7335.0	8993.0	9924.0	10741.0	10920.0	11150.0	11317.0	11406.0
8600.0	3949.0	4487.0	5643.0	6199.0	6594.0	6955.0	7557.0
7425.0	5712.0	8142.0	9611.0	10198.0	10769.0	11346.0	11938.0
7535.0	3922.0	4750.0	4777.0	4901.0	5006.0	5088.0	5189.0
7525.0	4304.0	4551.0	4878.0	4943.0	5045.0	5028.0	5051.0
7436.0	1878.0	2010.0	2152.0	2193.0	2236.0	2286.0	2310.0
9019.0	5047.0	5476.0	6258.0	6718.0	7279.0	8090.0	8860.0
7026.0	3552.0	3837.0	4076.0	4100.0	4133.0	4171.0	4200.0
7205.0	3894.0	4028.0	4217.0	4217.0	4241.0	4274.0	4298.0
7515.0	989.0	1179.0	1401.0	1421.0	1435.0	1444.0	1452.0
7320.0	7064.0	8082.0	9225.0	9593.0	9971.0	10361.0	10843.0
7206.0	3625.0	3733.0	3908.0	3907.0	3937.0	3978.0	4019.0
7315.0	5018.0	5536.0	6284.0	6550.0	6780.0	6966.0	7092.0
7435.0	2497.0	2726.0	3006.0	3115.0	3241.0	3392.0	3507.0
7316.0	5889.0	6496.0	7474.0	7712.0	7875.0	8032.0	8196.0
7025.0	5332.0	5746.0	5869.0	5881.0	5929.0	5943.0	5958.0
7415.0	2439.0	3284.0	4186.0	4547.0	4776.0	4992.0	5215.0
7100.0	6365.0	6554.0	6446.0	6454.0	6478.0	6544.0	6559.0
7015.0	4929.0	5318.0	5505.0	5526.0	5560.0	5566.0	5636.0
9908.0	1183.0	1090.0	1069.0	1061.0	1050.0	1033.0	1029.0
6410.0	10794.0	11678.0	12223.0	12195.0	12167.0	12081.0	12143.0
6420.0	9644.0	10306.0	10848.0	10844.0	10817.0	10644.0	10630.0
5535.0	5635.0	6849.0	8660.0	9052.0	9326.0	9479.0	9612.0
5600.0	2970.0	3527.0	4149.0	4236.0	4330.0	4352.0	4371.0
5546.0	4357.0	4805.0	5615.0	5793.0	5893.0	5975.0	6112.0
4706.0	3523.0	4655.0	4887.0	4997.0	5143.0	5311.0	5457.0
6605.0	3205.0	3427.0	3990.0	4306.0	4687.0	5219.0	5776.0
6910.0	1164.0	1339.0	1807.0	2030.0	2237.0	2508.0	2843.0
6606.0	1671.0	1745.0	2056.0	2224.0	2506.0	2919.0	3347.0
9909.0	1478.0	1657.0	2047.0	2252.0	2501.0	2798.0	2993.0
9011.0	2793.0	3009.0	3475.0	3810.0	4204.0	4679.0	5490.0
5525.0	3127.0	3460.0	3962.0	4125.0	4270.0	4459.0	4470.0
5515.0	7009.0	7719.0	8508.0	8751.0	9021.0	9234.0	9434.0
6326.0	5950.0	6342.0	6549.0	6560.0	6615.0	6644.0	6662.0
9914.0	5455.0	6121.0	7221.0	7695.0	8155.0	8500.0	8664.0
5545.0	3318.0	4223.0	5274.0	5524.0	5744.0	5974.0	6219.0
6223.0	7052.0	7273.0	7391.0	7379.0	7392.0	7396.0	7408.0
5306.0	4873.0	5313.0	5552.0	5614.0	5680.0	5715.0	5758.0
