commute_id	origin_district_id	destination_district_id	commute_trips
1001	1	1	39667
1002	1	2	8910
1003	1	3	22064
1004	1	4	5504
1005	1	5	3012
1006	1	6	4893
1007	1	7	492
1008	1	8	975
1009	1	9	646
1010	1	10	2225
1011	1	11	1538
1012	1	12	1146
1013	1	13	728
1014	1	14	66
1015	1	15	120
1016	1	16	54
1017	1	17	65
1018	1	18	29
1019	1	19	6742
2001	2	1	21677
2002	2	2	80826
2003	2	3	37931
2004	2	4	23147
2005	2	5	17154
2006	2	6	17872
2007	2	7	2708
2008	2	8	4661
2009	2	9	2598
2010	2	10	6473
2011	2	11	4943
2012	2	12	3418
2013	2	13	2005
2014	2	14	143
2015	2	15	297
2016	2	16	172
2017	2	17	187
2018	2	18	74
2019	2	19	1359
3001	3	1	11401
3002	3	2	10066
3003	3	3	43342
3004	3	4	8294
3005	3	5	4467
3006	3	6	7330
3007	3	7	666
3008	3	8	1362
3009	3	9	782
3010	3	10	3066
3011	3	11	2566
3012	3	12	1595
3013	3	13	968
3014	3	14	83
3015	3	15	134
3016	3	16	53
3017	3	17	78
3018	3	18	24
3019	3	19	1410
4001	4	1	2638
4002	4	2	6797
4003	4	3	8811
4004	4	4	31428
4005	4	5	11488
4006	4	6	17517
4007	4	7	1642
4008	4	8	3638
4009	4	9	2181
4010	4	10	6177
4011	4	11	4913
4012	4	12	3439
4013	4	13	2072
4014	4	14	177
4015	4	15	294
4016	4	16	134
4017	4	17	140
4018	4	18	59
4019	4	19	299
5001	5	1	1738
5002	5	2	5949
5003	5	3	5751
5004	5	4	14589
5005	5	5	50176
5006	5	6	28857
5007	5	7	7110
5008	5	8	9420
5009	5	9	5618
5010	5	10	9577
5011	5	11	7130
5012	5	12	5139
5013	5	13	3073
5014	5	14	251
5015	5	15	528
5016	5	16	358
5017	5	17	326
5018	5	18	174
5019	5	19	206
6001	6	1	523
6002	6	2	1295
6003	6	3	1865
6004	6	4	4602
6005	6	5	8214
6006	6	6	38539
6007	6	7	2979
6008	6	8	7786
6009	6	9	4670
6010	6	10	14580
6011	6	11	11115
6012	6	12	8070
6013	6	13	4762
6014	6	14	357
6015	6	15	678
6016	6	16	318
6017	6	17	380
6018	6	18	127
6019	6	19	141
7001	7	1	223
7002	7	2	753
7003	7	3	714
7004	7	4	2028
7005	7	5	4672
7006	7	6	11141
7007	7	7	29411
7008	7	8	18622
7009	7	9	16220
7010	7	10	6506
7011	7	11	6870
7012	7	12	5418
7013	7	13	3379
7014	7	14	295
7015	7	15	891
7016	7	16	792
7017	7	17	630
7018	7	18	480
7019	7	19	66
8001	8	1	57
8002	8	2	172
8003	8	3	240
8004	8	4	535
8005	8	5	1227
8006	8	6	4361
8007	8	7	3398
8008	8	8	32638
8009	8	9	11831
8010	8	10	4334
8011	8	11	7515
8012	8	12	5041
8013	8	13	3532
8014	8	14	316
8015	8	15	730
8016	8	16	674
8017	8	17	518
8018	8	18	262
8019	8	19	86
9001	9	1	79
9002	9	2	231
9003	9	3	283
9004	9	4	717
9005	9	5	1437
9006	9	6	5042
9007	9	7	5971
9008	9	8	24047
9009	9	9	81607
9010	9	10	4845
9011	9	11	8403
9012	9	12	7242
9013	9	13	8012
9014	9	14	1644
9015	9	15	5693
9016	9	16	5162
9017	9	17	4032
9018	9	18	2461
9019	9	19	105
10001	10	1	329
10002	10	2	449
10003	10	3	950
10004	10	4	1521
10005	10	5	2557
10006	10	6	13034
10007	10	7	1460
10008	10	8	6132
10009	10	9	3556
10010	10	10	35463
10011	10	11	17590
10012	10	12	11020
10013	10	13	6178
10014	10	14	481
10015	10	15	820
10016	10	16	274
10017	10	17	357
10018	10	18	120
10019	10	19	347
11001	11	1	8
11002	11	2	14
11003	11	3	30
11004	11	4	61
11005	11	5	84
11006	11	6	400
11007	11	7	91
11008	11	8	409
11009	11	9	321
11010	11	10	951
11011	11	11	17254
11012	11	12	3047
11013	11	13	795
11014	11	14	46
11015	11	15	78
11016	11	16	22
11017	11	17	31
11018	11	18	7
11019	11	19	64
12001	12	1	77
12002	12	2	134
12003	12	3	232
12004	12	4	472
12005	12	5	725
12006	12	6	3789
12007	12	7	850
12008	12	8	4851
12009	12	9	3889
12010	12	10	7251
12011	12	11	30257
12012	12	12	36388
12013	12	13	9091
12014	12	14	673
12015	12	15	1023
12016	12	16	322
12017	12	17	447
12018	12	18	137
12019	12	19	220
13001	13	1	105
13002	13	2	193
13003	13	3	411
13004	13	4	670
13005	13	5	1136
13006	13	6	5704
13007	13	7	1299
13008	13	8	8405
13009	13	9	8322
13010	13	10	9709
13011	13	11	23714
13012	13	12	19734
13013	13	13	55168
13014	13	14	2977
13015	13	15	4642
13016	13	16	1527
13017	13	17	1899
13018	13	18	578
13019	13	19	320
14001	14	1	32
14002	14	2	57
14003	14	3	95
14004	14	4	200
14005	14	5	320
14006	14	6	1624
14007	14	7	401
14008	14	8	2550
14009	14	9	3799
14010	14	10	2726
14011	14	11	5568
14012	14	12	4801
14013	14	13	7257
14014	14	14	5871
14015	14	15	4401
14016	14	16	1341
14017	14	17	1863
14018	14	18	551
14019	14	19	98
15001	15	1	22
15002	15	2	95
15003	15	3	163
15004	15	4	294
15005	15	5	569
15006	15	6	2454
15007	15	7	930
15008	15	8	5651
15009	15	9	10311
15010	15	10	4024
15011	15	11	8355
15012	15	12	6963
15013	15	13	10015
15014	15	14	3331
15015	15	15	35850
15016	15	16	6302
15017	15	17	14902
15018	15	18	3734
15019	15	19	258
16001	16	1	33
16002	16	2	77
16003	16	3	139
16004	16	4	295
16005	16	5	587
16006	16	6	2107
16007	16	7	1776
16008	16	8	9266
16009	16	9	18177
16010	16	10	2738
16011	16	11	4780
16012	16	12	4493
16013	16	13	7117
16014	16	14	2023
16015	16	15	12433
16016	16	16	21674
16017	16	17	14031
16018	16	18	6767
16019	16	19	80
17001	17	1	7
17002	17	2	16
17003	17	3	29
17004	17	4	73
17005	17	5	108
17006	17	6	533
17007	17	7	280
17008	17	8	1717
17009	17	9	3456
17010	17	10	767
17011	17	11	1826
17012	17	12	1432
17013	17	13	1983
17014	17	14	637
17015	17	15	5900
17016	17	16	2609
17017	17	17	21362
17018	17	18	4275
17019	17	19	30
18001	18	1	20
18002	18	2	67
18003	18	3	87
18004	18	4	175
18005	18	5	413
18006	18	6	1482
18007	18	7	1495
18008	18	8	6025
18009	18	9	12545
18010	18	10	1807
18011	18	11	3265
18012	18	12	2958
18013	18	13	4512
18014	18	14	1341
18015	18	15	11106
18016	18	16	8134
18017	18	17	26753
18018	18	18	54257
18019	18	19	65
19001	19	1	7707
19002	19	2	2965
19003	19	3	10097
19004	19	4	2471
19005	19	5	1619
19006	19	6	2909
19007	19	7	441
19008	19	8	1483
19009	19	9	1192
19010	19	10	3757
19011	19	11	18831
19012	19	12	5353
19013	19	13	2381
19014	19	14	631
19015	19	15	2713
19016	19	16	598
19017	19	17	810
19018	19	18	206
19019	19	19	92188
