large_area_id,jobs_2000,jobs_2010,jobs_2020,jobs_2025,jobs_2030,jobs_2035,jobs_2040
1.0,8733.0,12966.0,14187.0,14783.0,15754.0,16850.0,17997.0
2.0,124189.0,128834.0,154054.0,162274.0,172225.0,193631.0,221247.0
3.0,97104.0,98419.0,127984.0,135969.0,144278.0,159077.0,179093.0
4.0,14929.0,15269.0,20768.0,22300.0,23609.0,24709.0,26904.0
5.0,20274.0,20473.0,23329.0,23275.0,23175.0,23920.0,25893.0
6.0,538039.0,515703.0,618242.0,651823.0,683035.0,713758.0,745724.0
7.0,325888.0,317560.0,422840.0,441526.0,465540.0,501932.0,556807.0
8.0,104435.0,102247.0,122674.0,127030.0,130595.0,135650.0,143209.0
9.0,206035.0,187495.0,234188.0,250578.0,274195.0,301436.0,335571.0
10.0,36670.0,37614.0,47896.0,50133.0,53063.0,55941.0,60070.0
11.0,11152.0,11078.0,14808.0,16047.0,18220.0,20348.0,24181.0
12.0,123503.0,124600.0,147577.0,153696.0,162450.0,180715.0,207123.0
13.0,49948.0,57730.0,69019.0,71810.0,73296.0,75679.0,78037.0
14.0,84314.0,83889.0,106112.0,108701.0,117471.0,130355.0,149496.0
15.0,13175.0,13917.0,17362.0,17707.0,18293.0,18801.0,19326.0
16.0,13233.0,13897.0,17485.0,18231.0,18731.0,19862.0,20961.0
17.0,50527.0,54492.0,63099.0,65018.0,67904.0,71890.0,76923.0
18.0,18212.0,18443.0,22625.0,23793.0,24573.0,26043.0,26907.0
