large_area_id,multifamily_households_2000,multifamily_households_2010,multifamily_households_2020,multifamily_households_2025,multifamily_households_2030,multifamily_households_2035,multifamily_households_2040
1.0,194.0,395.0,708.0,746.0,811.0,934.0,1428.0
2.0,23067.0,26803.0,36016.0,38574.0,42322.0,48152.0,57889.0
3.0,19269.0,24219.0,35940.0,38278.0,41159.0,46070.0,57194.0
4.0,1152.0,1313.0,1560.0,1603.0,1668.0,1851.0,2445.0
5.0,5608.0,7506.0,9493.0,11669.0,15473.0,21943.0,26975.0
6.0,122876.0,157511.0,171105.0,179464.0,185308.0,191082.0,194358.0
7.0,56066.0,68923.0,77007.0,81073.0,85337.0,93119.0,105608.0
8.0,34240.0,39733.0,42594.0,43366.0,44642.0,47301.0,54000.0
9.0,36418.0,41067.0,43162.0,43807.0,45399.0,47509.0,53647.0
10.0,11690.0,14028.0,15249.0,15477.0,16071.0,17399.0,20444.0
11.0,1176.0,1793.0,1901.0,1900.0,1926.0,2004.0,2255.0
12.0,23734.0,29175.0,30922.0,31813.0,33908.0,39078.0,44884.0
13.0,18250.0,20612.0,21291.0,21418.0,21629.0,22004.0,22853.0
14.0,19211.0,24321.0,26050.0,26060.0,26660.0,28144.0,31990.0
15.0,2099.0,2762.0,2813.0,2827.0,2853.0,2868.0,2908.0
16.0,771.0,893.0,4159.0,4273.0,4363.0,4539.0,5994.0
17.0,3707.0,4297.0,11701.0,12234.0,12769.0,13696.0,16966.0
18.0,356.0,672.0,1953.0,2142.0,2300.0,2549.0,3193.0
