large_area_id,population_2000,population_2010,population_2020,population_2025,population_2030,population_2035,population_2040
1.0,37503.0,43049.0,51039.0,55336.0,60669.0,67682.0,74745.0
2.0,213635.0,237207.0,279430.0,296492.0,315140.0,337289.0,365365.0
3.0,280176.0,322925.0,366919.0,381653.0,395674.0,410306.0,432686.0
4.0,65811.0,73543.0,84747.0,91644.0,98884.0,107324.0,115702.0
5.0,65155.0,74276.0,80531.0,85191.0,92818.0,104097.0,112209.0
6.0,532312.0,618160.0,640677.0,656015.0,666356.0,673274.0,674043.0
7.0,426098.0,508101.0,559503.0,582786.0,604193.0,627572.0,655380.0
8.0,250152.0,268480.0,292327.0,301967.0,310506.0,318767.0,330580.0
9.0,163566.0,183740.0,204512.0,211457.0,219242.0,227336.0,242316.0
10.0,211249.0,241903.0,280163.0,296148.0,312359.0,328891.0,344279.0
11.0,43888.0,53765.0,60266.0,64479.0,69741.0,75720.0,81278.0
12.0,189123.0,206397.0,217249.0,222271.0,228667.0,238046.0,247438.0
13.0,123252.0,127679.0,134791.0,137411.0,139600.0,140815.0,142011.0
14.0,311643.0,356561.0,426437.0,465766.0,504931.0,543521.0,585413.0
15.0,54129.0,61822.0,71932.0,78262.0,84793.0,91008.0,97529.0
16.0,59594.0,67440.0,82668.0,90239.0,97614.0,104739.0,111738.0
17.0,111675.0,123033.0,156336.0,169734.0,180568.0,190287.0,201750.0
18.0,53227.0,61244.0,73239.0,79543.0,85822.0,91760.0,97212.0
