large_area_id,households_2000,households_2010,households_2020,households_2025,households_2030,households_2035,households_2040
1.0,13612.0,16501.0,19035.0,20602.0,22589.0,25439.0,29035.0
2.0,81769.0,96571.0,113553.0,120627.0,128994.0,140324.0,156646.0
3.0,106365.0,128022.0,145143.0,150513.0,155810.0,163469.0,177179.0
4.0,23134.0,27640.0,30922.0,33238.0,35996.0,39950.0,44138.0
5.0,26046.0,26941.0,32018.0,34402.0,38411.0,45061.0,49893.0
6.0,257817.0,281691.0,309200.0,314751.0,319008.0,323379.0,326639.0
7.0,169614.0,197233.0,221810.0,229502.0,237409.0,247692.0,264419.0
8.0,97005.0,98858.0,114316.0,118581.0,122568.0,127162.0,135311.0
9.0,68768.0,74492.0,85033.0,87911.0,91352.0,95729.0,106200.0
10.0,74323.0,88374.0,101279.0,107184.0,113656.0,120944.0,130169.0
11.0,15962.0,20393.0,22735.0,23987.0,25850.0,28227.0,30949.0
12.0,77244.0,81710.0,89933.0,92528.0,96010.0,102065.0,107760.0
13.0,48775.0,50242.0,54872.0,55864.0,56853.0,57876.0,59186.0
14.0,113618.0,143005.0,163769.0,176296.0,189349.0,205719.0,228472.0
15.0,20528.0,24432.0,27741.0,29756.0,32192.0,35143.0,38288.0
16.0,21960.0,25618.0,32185.0,34792.0,37805.0,41332.0,45319.0
17.0,43317.0,46373.0,62909.0,67878.0,72178.0,76775.0,84539.0
18.0,20948.0,25320.0,29319.0,31224.0,33494.0,36001.0,38893.0
