large_area_id,jobs_2000,jobs_2010,jobs_2020,jobs_2025,jobs_2030,jobs_2035,jobs_2040
1.0,8733.0,14945.0,16774.0,17653.0,18943.0,20696.0,22627.0
2.0,124189.0,127375.0,154968.0,161935.0,169920.0,189087.0,215612.0
3.0,97104.0,100555.0,128749.0,134904.0,142750.0,154124.0,176072.0
4.0,14929.0,15731.0,19551.0,20481.0,21982.0,23825.0,25465.0
5.0,20274.0,20972.0,24606.0,24212.0,25040.0,25990.0,30196.0
6.0,538039.0,493070.0,632694.0,671961.0,703723.0,738889.0,776270.0
7.0,325888.0,326923.0,401695.0,421216.0,451979.0,490183.0,554055.0
8.0,104435.0,95165.0,120133.0,124383.0,129778.0,136913.0,142971.0
9.0,206035.0,188680.0,222961.0,233177.0,250413.0,275363.0,299480.0
10.0,36670.0,42770.0,53459.0,56005.0,58999.0,62345.0,66028.0
11.0,11152.0,13194.0,15894.0,16818.0,18309.0,20979.0,23531.0
12.0,123503.0,115077.0,149553.0,158168.0,167063.0,184982.0,209541.0
13.0,49948.0,52718.0,64809.0,67012.0,69656.0,73069.0,76115.0
14.0,84314.0,97068.0,113429.0,117810.0,124727.0,135985.0,152732.0
15.0,13175.0,17242.0,20161.0,20836.0,21816.0,22672.0,23647.0
16.0,13233.0,14494.0,18673.0,19189.0,19756.0,20509.0,21434.0
17.0,50527.0,53094.0,61685.0,63768.0,65775.0,68257.0,71951.0
18.0,18212.0,20811.0,24454.0,25165.0,25777.0,26728.0,27741.0
