tract10_id	jobs_2000	jobs_2010	jobs_2020	jobs_2025	jobs_2030	jobs_2035	jobs_2040
32307.0	1316.0	1099.0	1224.0	1252.0	1255.0	1303.0	1324.0
28802.0	2896.0	6908.0	7336.0	7262.0	7020.0	6999.0	7392.0
20100.0	487.0	681.0	706.0	713.0	716.0	724.0	740.0
25101.0	1162.0	1015.0	1557.0	2187.0	2401.0	2570.0	2721.0
29601.0	783.0	972.0	1240.0	1435.0	1557.0	1598.0	1762.0
26200.0	47561.0	41705.0	56169.0	58261.0	60664.0	65307.0	77959.0
8600.0	4669.0	4900.0	5934.0	5904.0	5918.0	5921.0	6077.0
8100.0	75022.0	56770.0	70740.0	75489.0	80834.0	83369.0	83890.0
30503.0	2175.0	3103.0	3161.0	3172.0	3325.0	3330.0	3349.0
30501.0	12700.0	12991.0	16605.0	17789.0	19616.0	20984.0	22863.0
29101.0	167.0	279.0	897.0	1254.0	1254.0	2245.0	2257.0
29102.0	331.0	307.0	790.0	798.0	816.0	832.0	855.0
10900.0	18198.0	16816.0	19742.0	20352.0	20752.0	21370.0	21701.0
10402.0	409.0	491.0	604.0	623.0	637.0	649.0	663.0
9300.0	45884.0	40253.0	48081.0	50200.0	52629.0	54615.0	56657.0
10001.0	3886.0	4255.0	4991.0	5105.0	5143.0	5387.0	5709.0
11002.0	636.0	691.0	998.0	1027.0	993.0	1013.0	1262.0
26400.0	3168.0	3939.0	4320.0	4454.0	4533.0	4805.0	5038.0
26300.0	12560.0	8669.0	10496.0	10896.0	11365.0	12575.0	13369.0
26100.0	613.0	862.0	1128.0	1141.0	1171.0	1276.0	1360.0
26002.0	931.0	914.0	1409.0	1431.0	1545.0	1560.0	1813.0
28600.0	826.0	1025.0	1170.0	1188.0	1208.0	1239.0	1261.0
30504.0	1272.0	865.0	1551.0	1557.0	1592.0	1602.0	1583.0
29700.0	5905.0	5656.0	7233.0	7526.0	7846.0	10043.0	13057.0
28300.0	5667.0	5275.0	6505.0	10338.0	18874.0	24347.0	26450.0
29206.0	38890.0	35690.0	44275.0	45901.0	47251.0	48786.0	49955.0
27200.0	6608.0	7331.0	7506.0	7644.0	7985.0	8197.0	8196.0
11700.0	3014.0	1865.0	3042.0	3129.0	3423.0	3591.0	3995.0
9500.0	3918.0	2570.0	3189.0	3487.0	3859.0	4377.0	4805.0
29205.0	1475.0	1134.0	1661.0	1667.0	1681.0	1702.0	1739.0
