city_id	households_2000	households_2010	households_2020	households_2025	households_2030	households_2035	households_2040
1.0	814.0	943.0	1143.0	1172.0	1177.0	1180.0	1190.0
2.0	4343.0	6440.0	7160.0	7439.0	7790.0	8492.0	10426.0
3.0	20745.0	23342.0	27205.0	28914.0	30326.0	32186.0	36050.0
4.0	7977.0	9286.0	10621.0	11152.0	11635.0	12054.0	12321.0
5.0	112.0	108.0	114.0	114.0	115.0	115.0	115.0
6.0	48699.0	52715.0	58234.0	60472.0	62938.0	66445.0	71047.0
7.0	1449.0	1822.0	2551.0	2655.0	3850.0	5208.0	7187.0
8.0	3971.0	5929.0	7579.0	8592.0	9105.0	9686.0	10420.0
9.0	5553.0	6933.0	7752.0	8049.0	8363.0	8685.0	9403.0
10.0	14762.0	15444.0	19742.0	20321.0	20838.0	21467.0	22546.0
11.0	2179.0	2219.0	2546.0	2662.0	2733.0	2866.0	2967.0
12.0	1364.0	1557.0	1663.0	1764.0	1893.0	2034.0	2172.0
13.0	18737.0	19145.0	22027.0	22450.0	22777.0	23292.0	23603.0
14.0	254.0	250.0	256.0	275.0	292.0	338.0	389.0
15.0	604.0	611.0	691.0	712.0	731.0	771.0	806.0
16.0	1013.0	1038.0	1112.0	1110.0	1119.0	1119.0	1124.0
17.0	4382.0	5654.0	6105.0	6192.0	6407.0	6630.0	6793.0
18.0	418.0	544.0	573.0	594.0	617.0	693.0	821.0
19.0	11790.0	11975.0	13390.0	13677.0	14035.0	14272.0	14883.0
20.0	932.0	1791.0	2512.0	2623.0	2700.0	2792.0	3063.0
21.0	1652.0	2026.0	2248.0	2356.0	2472.0	2614.0	2971.0
22.0	629.0	951.0	999.0	1002.0	1020.0	1058.0	1187.0
23.0	3426.0	3537.0	4197.0	4473.0	4732.0	4860.0	4900.0
24.0	16565.0	16181.0	19394.0	19656.0	19986.0	20365.0	20625.0
25.0	4488.0	4564.0	5174.0	5411.0	5716.0	6163.0	6677.0
26.0	36507.0	41212.0	47798.0	50096.0	53567.0	57848.0	61905.0
27.0	32304.0	33505.0	37019.0	38170.0	39333.0	41061.0	44885.0
28.0	2192.0	3624.0	3810.0	3889.0	3930.0	4022.0	4298.0
29.0	2532.0	2700.0	2898.0	2903.0	2916.0	2917.0	2932.0
30.0	2883.0	3367.0	3730.0	3980.0	4349.0	4847.0	5427.0
31.0	664.0	774.0	886.0	939.0	972.0	1043.0	1139.0
32.0	738.0	1167.0	1355.0	1409.0	1518.0	1675.0	2175.0
33.0	203.0	201.0	252.0	255.0	255.0	255.0	256.0
34.0	73.0	88.0	92.0	91.0	90.0	91.0	92.0
35.0	7769.0	12690.0	13867.0	14268.0	14732.0	15326.0	16186.0
36.0	7050.0	8176.0	10249.0	10824.0	11548.0	12898.0	15805.0
37.0	39609.0	42926.0	50359.0	52806.0	54577.0	56281.0	60051.0
38.0	40444.0	44910.0	48746.0	50576.0	53153.0	56582.0	60119.0
39.0	32394.0	34601.0	39542.0	40421.0	41073.0	42099.0	43067.0
40.0	32384.0	36865.0	39810.0	41597.0	44163.0	47557.0	50191.0
41.0	5051.0	5186.0	5967.0	6034.0	6111.0	6161.0	6215.0
42.0	7360.0	9483.0	10883.0	11613.0	12454.0	13487.0	14525.0
43.0	23738.0	24050.0	26506.0	26898.0	27262.0	27512.0	28080.0
44.0	13265.0	13843.0	15338.0	15611.0	15951.0	16575.0	17751.0
45.0	4975.0	6859.0	7708.0	8033.0	8404.0	8782.0	9196.0
46.0	16863.0	20913.0	24131.0	25795.0	27452.0	30175.0	36298.0
47.0	1108.0	1142.0	1268.0	1274.0	1278.0	1280.0	1278.0
48.0	8442.0	8670.0	9655.0	9695.0	9742.0	9772.0	9676.0
49.0	5351.0	7358.0	7548.0	7652.0	7842.0	8172.0	8822.0
50.0	317.0	384.0	453.0	530.0	635.0	725.0	775.0
51.0	4186.0	4794.0	5640.0	6007.0	6345.0	6687.0	7114.0
52.0	7602.0	8011.0	11795.0	12711.0	13585.0	14620.0	16534.0
53.0	6727.0	7899.0	8367.0	8411.0	8492.0	8632.0	8815.0
54.0	3095.0	4020.0	4588.0	4826.0	5031.0	5271.0	5488.0
55.0	2606.0	2607.0	2864.0	2912.0	2960.0	2982.0	3012.0
56.0	2265.0	2225.0	2518.0	2623.0	2706.0	2898.0	3236.0
57.0	1271.0	2042.0	2177.0	2364.0	2262.0	2389.0	2550.0
58.0	2013.0	2255.0	2670.0	2847.0	2970.0	3057.0	3107.0
59.0	49461.0	55922.0	61100.0	63662.0	67363.0	72486.0	80897.0
60.0	3837.0	4674.0	7797.0	8256.0	8768.0	9665.0	11598.0
61.0	2877.0	3881.0	4663.0	5076.0	5664.0	6515.0	7829.0
62.0	13204.0	14989.0	17835.0	18924.0	19987.0	21001.0	22295.0
63.0	18983.0	22237.0	24571.0	25438.0	26210.0	27397.0	30279.0
64.0	30225.0	36690.0	41158.0	42802.0	44360.0	46459.0	50278.0
65.0	253.0	313.0	326.0	330.0	352.0	380.0	456.0
66.0	320.0	338.0	369.0	406.0	450.0	509.0	596.0
67.0	10987.0	14713.0	17198.0	18266.0	19322.0	20362.0	21811.0
68.0	9328.0	9832.0	10935.0	11341.0	11606.0	12322.0	14181.0
69.0	257968.0	284825.0	315211.0	324252.0	331367.0	337074.0	340743.0
70.0	20667.0	22172.0	26159.0	28237.0	31712.0	38146.0	43188.0
71.0	6563.0	7364.0	10562.0	11891.0	13038.0	14326.0	16328.0
72.0	124.0	125.0	156.0	174.0	226.0	269.0	337.0
73.0	3493.0	3665.0	4313.0	4525.0	4853.0	5319.0	5882.0
74.0	38701.0	43308.0	48394.0	50844.0	54530.0	60293.0	67103.0
75.0	1028.0	3379.0	3473.0	3494.0	3601.0	3726.0	3998.0
76.0	177.0	200.0	235.0	255.0	287.0	331.0	456.0
77.0	1415.0	2282.0	2574.0	2633.0	2700.0	2911.0	3521.0
78.0	2600.0	2579.0	2816.0	2887.0	2963.0	3060.0	3121.0
79.0	1174.0	1512.0	1666.0	1744.0	1869.0	2136.0	2511.0
80.0	3514.0	3912.0	4386.0	4599.0	4859.0	5163.0	5577.0
81.0	75450.0	78656.0	85842.0	87394.0	89982.0	95596.0	101867.0
82.0	7168.0	7465.0	9210.0	9613.0	10254.0	11130.0	11874.0
83.0	11972.0	12745.0	13919.0	14271.0	14641.0	15044.0	15425.0
84.0	137.0	156.0	190.0	221.0	248.0	279.0	293.0
85.0	4235.0	4785.0	6052.0	6603.0	7175.0	7978.0	8739.0
86.0	348.0	431.0	507.0	511.0	516.0	518.0	520.0
87.0	373.0	409.0	445.0	448.0	448.0	448.0	450.0
