faz_id	population_2000	population_2010	population_2020	population_2025	population_2030	population_2035	population_2040
8935.0	9015.0	11482.0	12483.0	12998.0	13776.0	15145.0	16919.0
8927.0	4841.0	5422.0	5635.0	5860.0	6284.0	7038.0	7628.0
8926.0	11969.0	13475.0	14776.0	15768.0	17125.0	19104.0	21386.0
8936.0	14754.0	16374.0	18097.0	18752.0	19573.0	20515.0	21466.0
8500.0	12161.0	17533.0	19170.0	20042.0	21077.0	22523.0	25707.0
8406.0	1382.0	1542.0	1648.0	1889.0	2312.0	3040.0	3495.0
8320.0	11102.0	11151.0	11865.0	12297.0	12695.0	13509.0	15202.0
8925.0	11037.0	13421.0	15141.0	16276.0	17808.0	19834.0	22839.0
8937.0	9016.0	10278.0	13938.0	16239.0	19253.0	23074.0	27892.0
8405.0	10589.0	15272.0	16707.0	18496.0	20053.0	22364.0	24779.0
8310.0	27095.0	29047.0	32776.0	34127.0	35397.0	37170.0	41952.0
8910.0	12728.0	14151.0	15975.0	17151.0	19016.0	21570.0	23907.0
7905.0	15867.0	21067.0	24478.0	26729.0	28706.0	30893.0	34240.0
7606.0	1451.0	3454.0	4430.0	5092.0	5613.0	6002.0	6170.0
7805.0	15008.0	19245.0	21385.0	23084.0	25270.0	27364.0	28717.0
8220.0	17831.0	17784.0	19250.0	20173.0	22120.0	24780.0	25717.0
8000.0	11008.0	12581.0	14805.0	15216.0	15577.0	15609.0	16401.0
8906.0	7860.0	8443.0	8970.0	9290.0	9729.0	10304.0	10608.0
8210.0	6980.0	7855.0	9404.0	10466.0	12282.0	13141.0	12945.0
9020.0	12677.0	14876.0	18309.0	20129.0	21710.0	23437.0	24824.0
8125.0	15721.0	16698.0	19462.0	20162.0	20766.0	21482.0	22160.0
8126.0	10930.0	11372.0	13090.0	14036.0	14937.0	16166.0	17394.0
8905.0	7943.0	9417.0	10144.0	10505.0	11044.0	11698.0	12140.0
7806.0	4180.0	4706.0	6567.0	7768.0	9075.0	10678.0	12051.0
7700.0	8098.0	8175.0	8977.0	9007.0	9115.0	9103.0	9115.0
7526.0	13906.0	15553.0	16022.0	16272.0	16434.0	16658.0	16881.0
7340.0	21035.0	25870.0	28793.0	29904.0	30926.0	32039.0	33211.0
7605.0	1805.0	1923.0	2006.0	2018.0	2080.0	2127.0	2132.0
7537.0	17694.0	20192.0	26373.0	27397.0	28325.0	29225.0	30518.0
8115.0	24796.0	26461.0	30944.0	32377.0	33175.0	34902.0	37789.0
7335.0	28889.0	34048.0	36788.0	37988.0	39271.0	40680.0	42846.0
8600.0	14103.0	16047.0	18399.0	19875.0	21193.0	22425.0	23598.0
7425.0	18154.0	29073.0	30512.0	31896.0	33150.0	34645.0	35949.0
7535.0	12742.0	20502.0	28405.0	29934.0	31213.0	32086.0	34997.0
7525.0	14461.0	15362.0	16543.0	17103.0	17853.0	19325.0	21403.0
7436.0	5670.0	5832.0	6139.0	6294.0	6532.0	6601.0	6600.0
9019.0	13579.0	15966.0	17540.0	18639.0	20466.0	22389.0	23924.0
7026.0	10105.0	10445.0	11644.0	11744.0	11878.0	12032.0	12042.0
7205.0	12883.0	12405.0	13505.0	13915.0	14224.0	14842.0	15532.0
7515.0	3226.0	4863.0	5449.0	5601.0	5771.0	5961.0	6274.0
7320.0	20913.0	28125.0	30519.0	31662.0	32626.0	33894.0	36309.0
7206.0	16395.0	16599.0	17794.0	17909.0	18184.0	18530.0	19402.0
7315.0	15206.0	15463.0	18080.0	19214.0	20063.0	21189.0	22463.0
7435.0	7493.0	7939.0	8604.0	8917.0	9327.0	9830.0	9995.0
7316.0	17560.0	19865.0	21791.0	22587.0	23445.0	23992.0	24475.0
7025.0	19033.0	17674.0	23490.0	24092.0	24617.0	25061.0	25001.0
7415.0	6700.0	10362.0	12083.0	13284.0	13961.0	14469.0	15052.0
7100.0	19732.0	20161.0	27873.0	30001.0	31971.0	33673.0	36911.0
7015.0	16025.0	16627.0	18901.0	19148.0	19426.0	19837.0	20327.0
9908.0	4286.0	3874.0	3631.0	3612.0	3572.0	3564.0	3510.0
6410.0	34260.0	36044.0	42221.0	45027.0	49056.0	55293.0	59757.0
