FAZ00	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
1606	9746	9963	10180	10396	10613	10830	11047	11264	11480	11697	11914	11934	11953	11973	11992	12012	12031	12051	12070	12090	12109	12100	12092	12083	12074	12066	12057	12048	12039	12031	12022
1710	19286	19317	19348	19380	19411	19442	19473	19504	19536	19567	19598	19684	19771	19857	19943	20030	20116	20202	20288	20375	20461	20478	20496	20513	20530	20548	20565	20582	20599	20617	20634
1720	25216	25162	25109	25055	25001	24948	24894	24840	24786	24733	24679	24597	24515	24433	24351	24269	24187	24105	24023	23941	23859	23826	23792	23759	23725	23692	23658	23625	23591	23558	23524
1810	3098	3088	3077	3067	3056	3046	3036	3025	3015	3004	2994	3000	3005	3011	3017	3023	3028	3034	3040	3045	3051	3093	3135	3177	3219	3262	3304	3346	3388	3430	3472
1820	5137	5136	5134	5133	5132	5131	5129	5128	5127	5125	5124	5157	5190	5223	5256	5289	5322	5355	5388	5421	5454	5531	5607	5684	5760	5837	5914	5990	6067	6143	6220
1900	533	504	475	446	417	388	358	329	300	271	242	253	264	275	286	298	309	320	331	342	353	384	414	445	476	507	537	568	599	629	660
2000	3784	3961	4139	4316	4494	4671	4848	5026	5203	5381	5558	5634	5711	5787	5864	5940	6016	6093	6169	6246	6322	6754	7186	7618	8050	8483	8915	9347	9779	10211	10643
2100	6171	6588	7004	7421	7837	8254	8670	9087	9503	9920	10336	11066	11795	12525	13254	13984	14714	15443	16173	16902	17632	17733	17834	17935	18036	18137	18238	18339	18440	18541	18642
2215	7150	7513	7877	8240	8604	8967	9330	9694	10057	10421	10784	11183	11582	11981	12380	12780	13179	13578	13977	14376	14775	14952	15128	15305	15481	15658	15835	16011	16188	16364	16541
2216	9001	9347	9692	10038	10383	10729	11075	11420	11766	12111	12457	12767	13077	13386	13696	14006	14316	14626	14935	15245	15555	15791	16026	16262	16498	16734	16969	17205	17441	17676	17912
2225	5642	5874	6107	6339	6572	6804	7036	7269	7501	7734	7966	8298	8630	8963	9295	9627	9959	10291	10624	10956	11288	11455	11621	11788	11955	12122	12288	12455	12622	12788	12955
2910	1115	1209	1302	1396	1489	1583	1677	1770	1864	1957	2051	2077	2102	2128	2153	2179	2204	2230	2255	2281	2306	2411	2515	2620	2724	2829	2934	3038	3143	3247	3352
2925	5716	6007	6299	6590	6881	7173	7464	7755	8046	8338	8629	9037	9445	9853	10261	10669	11076	11484	11892	12300	12708	12961	13215	13468	13722	13975	14228	14482	14735	14989	15242
2926	9249	9829	10409	10989	11569	12149	12728	13308	13888	14468	15048	15862	16676	17490	18304	19118	19931	20745	21559	22373	23187	23357	23528	23698	23868	24039	24209	24379	24549	24720	24890
