FAZ00	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
1710	7825	8074	8323	8572	8821	9071	9320	9569	9818	10067	10316	10424	10531	10639	10746	10854	10961	11069	11176	11284	11391	11245	11098	10952	10805	10659	10513	10366	10220	10073	9927
1720	2290	2537	2783	3030	3276	3523	3770	4016	4263	4509	4756	4912	5069	5225	5382	5538	5694	5851	6007	6164	6320	6303	6286	6269	6252	6236	6219	6202	6185	6168	6151
1810	11664	11865	12065	12266	12467	12668	12868	13069	13270	13470	13671	13384	13097	12809	12522	12235	11948	11661	11373	11086	10799	10983	11166	11350	11533	11717	11900	12084	12267	12451	12634
1820	16997	17501	18006	18510	19014	19519	20023	20527	21031	21536	22040	21875	21710	21545	21380	21216	21051	20886	20721	20556	20391	20175	19959	19743	19527	19311	19094	18878	18662	18446	18230
1900	13197	13204	13211	13218	13225	13232	13238	13245	13252	13259	13266	13285	13304	13324	13343	13362	13381	13400	13420	13439	13458	13084	12709	12335	11960	11586	11211	10837	10462	10088	9713
2000	5292	5665	6038	6410	6783	7156	7529	7902	8274	8647	9020	9431	9841	10252	10662	11073	11483	11894	12304	12715	13125	13089	13053	13018	12982	12946	12910	12874	12839	12803	12767
2100	503	555	608	660	712	765	817	869	921	974	1026	1130	1234	1338	1442	1546	1649	1753	1857	1961	2065	2063	2061	2059	2057	2056	2054	2052	2050	2048	2046
2215	1445	1514	1583	1653	1722	1791	1860	1929	1999	2068	2137	2416	2694	2973	3252	3531	3809	4088	4367	4645	4924	4997	5071	5144	5218	5291	5364	5438	5511	5585	5658
2216	1007	1043	1078	1114	1149	1185	1220	1256	1291	1327	1362	1492	1623	1753	1883	2014	2144	2274	2404	2535	2665	2714	2763	2812	2861	2910	2958	3007	3056	3105	3154
2225	1419	1587	1754	1922	2089	2257	2425	2592	2760	2927	3095	3156	3216	3277	3338	3399	3459	3520	3581	3641	3702	3935	4167	4400	4633	4866	5098	5331	5564	5796	6029
2910	109	138	167	197	226	255	284	313	343	372	401	476	550	625	700	775	849	924	999	1073	1148	1091	1033	976	918	861	803	746	688	631	573
2925	716	721	726	731	736	741	745	750	755	760	765	864	962	1061	1159	1258	1357	1455	1554	1652	1751	1768	1786	1803	1821	1838	1855	1873	1890	1908	1925
2926	784	821	857	894	930	967	1003	1040	1076	1113	1149	1237	1326	1414	1503	1591	1679	1768	1856	1945	2033	2033	2032	2032	2031	2031	2030	2030	2029	2029	2028
2927	534	563	591	620	648	677	705	734	762	791	819	871	923	974	1026	1078	1130	1182	1233	1285	1337	1348	1358	1369	1379	1390	1401	1411	1422	1432	1443
2935	40393	40064	39734	39405	39075	38746	38417	38087	37758	37428	37099	34499	31898	29298	26697	24097	21497	18896	16296	13695	11095	11697	12298	12900	13501	14103	14704	15306	15907	16509	17110
2936	32	30	28	26	24	22	20	18	16	14	12	275	538	801	1064	1328	1591	1854	2117	2380	2643	2618	2592	2567	2542	2517	2491	2466	2441	2415	2390
2940	1503	1464	1425	1386	1347	1308	1269	1230	1191	1152	1113	1190	1267	1344	1421	1499	1576	1653	1730	1807	1884	1936	1987	2039	2091	2143	2194	2246	2298	2349	2401
3010	1747	1950	2152	2355	2557	2760	2962	3165	3367	3570	3772	4187	4603	5018	5433	5849	6264	6679	7094	7510	7925	7959	7992	8026	8059	8093	8127	8160	8194	8227	8261
3020	10222	11206	12190	13174	14158	15143	16127	17111	18095	19079	20063	19952	19841	19730	19619	19508	19397	19286	19175	19064	18953	18824	18695	18566	18437	18308	18179	18050	17921	17792	17663
