FAZ00	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
6506	2482	2493	2503	2514	2524	2535	2545	2556	2566	2577	2587	2700	2812	2925	3037	3150	3263	3375	3488	3600	3713	3847	3981	4114	4248	4382	4516	4650	4783	4917	5051
6605	631	699	766	834	901	969	1036	1104	1171	1239	1306	1362	1418	1473	1529	1585	1641	1697	1752	1808	1864	1907	1949	1992	2035	2078	2120	2163	2206	2248	2291
6606	398	459	521	582	643	705	766	827	888	950	1011	1034	1057	1080	1103	1126	1149	1172	1195	1218	1241	1223	1204	1186	1167	1149	1131	1112	1094	1075	1057
6900	524	553	581	610	638	667	695	724	752	781	809	922	1035	1149	1262	1375	1488	1601	1715	1828	1941	1885	1829	1773	1717	1661	1604	1548	1492	1436	1380
6910	762	797	831	866	900	935	970	1004	1039	1073	1108	1074	1041	1007	974	940	906	873	839	806	772	757	742	726	711	696	681	666	650	635	620
6930	1416	1504	1591	1679	1766	1854	1942	2029	2117	2204	2292	2369	2445	2522	2599	2676	2752	2829	2906	2982	3059	3070	3081	3091	3102	3113	3124	3135	3145	3156	3167
7015	2008	2142	2275	2409	2542	2676	2810	2943	3077	3210	3344	3430	3515	3601	3686	3772	3857	3943	4028	4114	4199	4133	4066	4000	3934	3868	3801	3735	3669	3602	3536
7025	5266	5372	5479	5585	5691	5798	5904	6010	6116	6223	6329	6501	6673	6845	7017	7190	7362	7534	7706	7878	8050	8068	8086	8104	8122	8140	8158	8176	8194	8212	8230
7026	376	388	400	413	425	437	449	461	474	486	498	547	596	646	695	744	793	842	892	941	990	1001	1013	1024	1035	1047	1058	1069	1080	1092	1103
7100	2273	2580	2887	3194	3501	3808	4114	4421	4728	5035	5342	5565	5787	6010	6232	6455	6677	6900	7122	7345	7567	7490	7413	7335	7258	7181	7104	7027	6949	6872	6795
7205	3860	4088	4315	4543	4770	4998	5225	5453	5680	5908	6135	6128	6121	6114	6107	6100	6093	6086	6079	6072	6065	5993	5920	5848	5775	5703	5631	5558	5486	5413	5341
7206	7908	8374	8840	9305	9771	10237	10703	11169	11634	12100	12566	12709	12851	12994	13137	13280	13422	13565	13708	13850	13993	13783	13572	13362	13151	12941	12731	12520	12310	12099	11889
7315	1220	1287	1353	1420	1486	1553	1619	1686	1752	1819	1885	1979	2072	2166	2259	2353	2447	2540	2634	2727	2821	2889	2957	3026	3094	3162	3230	3298	3367	3435	3503
7316	640	761	882	1002	1123	1244	1365	1486	1606	1727	1848	1954	2059	2165	2270	2376	2481	2587	2692	2798	2903	2927	2951	2975	2999	3023	3047	3071	3095	3119	3143
7320	1950	2174	2398	2622	2846	3071	3295	3519	3743	3967	4191	4388	4584	4781	4977	5174	5370	5567	5763	5960	6156	6211	6265	6320	6374	6429	6483	6538	6592	6647	6701
7335	1408	1617	1826	2036	2245	2454	2663	2872	3082	3291	3500	3922	4344	4766	5188	5610	6031	6453	6875	7297	7719	7780	7842	7903	7964	8026	8087	8148	8209	8271	8332
7340	782	843	905	966	1027	1089	1150	1211	1272	1334	1395	1507	1620	1732	1844	1957	2069	2181	2293	2406	2518	2553	2587	2622	2657	2692	2726	2761	2796	2830	2865
7415	1039	1377	1714	2052	2389	2727	3065	3402	3740	4077	4415	4887	5360	5832	6304	6777	7249	7721	8193	8666	9138	9296	9453	9611	9768	9926	10084	10241	10399	10556	10714
7425	469	533	598	662	727	791	855	920	984	1049	1113	1205	1297	1390	1482	1574	1666	1758	1851	1943	2035	2160	2285	2409	2534	2659	2784	2909	3033	3158	3283
7435	1107	1199	1292	1384	1477	1569	1661	1754	1846	1939	2031	2119	2207	2294	2382	2470	2558	2646	2733	2821	2909	2902	2894	2887	2879	2872	2864	2857	2849	2842	2834
7436	903	979	1055	1131	1207	1283	1359	1435	1511	1587	1663	1672	1680	1689	1697	1706	1714	1723	1731	1740	1748	1751	1753	1756	1759	1762	1764	1767	1770	1772	1775
7515	2550	2835	3119	3404	3688	3973	4257	4542	4826	5111	5395	5441	5488	5534	5580	5627	5673	5719	5765	5812	5858	5919	5979	6040	6100	6161	6222	6282	6343	6403	6464
7525	500	552	603	655	706	758	810	861	913	964	1016	1084	1152	1220	1288	1356	1423	1491	1559	1627	1695	1702	1710	1717	1725	1732	1739	1747	1754	1762	1769
7526	1404	1664	1923	2183	2442	2702	2962	3221	3481	3740	4000	4215	4430	4644	4859	5074	5289	5504	5718	5933	6148	6304	6460	6616	6772	6928	7083	7239	7395	7551	7707
7535	2543	2653	2763	2872	2982	3092	3202	3312	3421	3531	3641	3736	3831	3926	4021	4117	4212	4307	4402	4497	4592	4593	4593	4594	4595	4596	4596	4597	4598	4598	4599
7537	8148	8404	8659	8915	9171	9427	9682	9938	10194	10449	10705	11013	11321	11630	11938	12246	12554	12862	13171	13479	13787	13737	13687	13638	13588	13538	13488	13438	13389	13339	13289
7605	249	284	320	355	390	426	461	496	531	567	602	616	629	643	657	671	684	698	712	725	739	760	782	803	824	846	867	888	909	931	952
7606	74	101	128	154	181	208	235	262	288	315	342	360	379	397	416	434	452	471	489	508	526	548	571	593	615	638	660	682	704	727	749
7700	2528	2672	2816	2959	3103	3247	3391	3535	3678	3822	3966	4004	4042	4080	4118	4156	4194	4232	4270	4308	4346	4288	4230	4172	4114	4056	3998	3940	3882	3824	3766
7805	919	1031	1142	1254	1365	1477	1588	1700	1811	1923	2034	2045	2057	2068	2079	2091	2102	2113	2124	2136	2147	2146	2145	2144	2143	2143	2142	2141	2140	2139	2138
7806	240	249	259	268	277	287	296	305	314	324	333	372	411	450	489	528	567	606	645	684	723	781	840	898	957	1015	1073	1132	1190	1249	1307
7905	1583	1644	1705	1765	1826	1887	1948	2009	2069	2130	2191	2261	2331	2400	2470	2540	2610	2680	2749	2819	2889	2972	3055	3139	3222	3305	3388	3471	3555	3638	3721
8000	17684	18529	19375	20220	21065	21911	22756	23601	24446	25292	26137	26534	26931	27328	27725	28122	28518	28915	29312	29709	30106	30771	31436	32100	32765	33430	34095	34760	35424	36089	36754
8115	3305	3791	4276	4762	5248	5734	6219	6705	7191	7676	8162	8259	8357	8454	8552	8649	8746	8844	8941	9039	9136	9126	9116	9107	9097	9087	9077	9067	9058	9048	9038
8125	3018	3148	3277	3407	3537	3667	3796	3926	4056	4185	4315	4329	4343	4357	4371	4386	4400	4414	4428	4442	4456	4416	4377	4337	4298	4258	4218	4179	4139	4100	4060
8126	4955	5218	5481	5743	6006	6269	6532	6795	7057	7320	7583	7464	7346	7227	7109	6990	6871	6753	6634	6516	6397	6287	6176	6066	5956	5846	5735	5625	5515	5404	5294
8210	12632	13027	13421	13816	14210	14605	15000	15394	15789	16183	16578	16473	16367	16262	16156	16051	15946	15840	15735	15629	15524	15436	15348	15259	15171	15083	14995	14907	14818	14730	14642
8220	6546	6617	6688	6759	6830	6901	6972	7043	7114	7185	7256	7578	7900	8222	8544	8867	9189	9511	9833	10155	10477	10456	10435	10415	10394	10373	10352	10331	10311	10290	10269
8310	3839	4102	4364	4627	4889	5152	5415	5677	5940	6202	6465	6623	6781	6939	7097	7256	7414	7572	7730	7888	8046	8005	7963	7922	7881	7840	7798	7757	7716	7674	7633
8320	1445	1553	1661	1769	1877	1985	2092	2200	2308	2416	2524	2787	3050	3313	3576	3840	4103	4366	4629	4892	5155	5210	5265	5319	5374	5429	5484	5539	5593	5648	5703
8405	686	661	635	610	584	559	533	508	482	457	431	434	436	439	442	445	447	450	453	455	458	487	517	546	575	605	634	663	692	722	751
8406	91	93	95	96	98	100	102	104	105	107	109	122	135	148	161	174	187	200	213	226	239	232	225	219	212	205	198	191	185	178	171
8500	3605	3899	4194	4488	4782	5077	5371	5665	5959	6254	6548	6797	7046	7295	7544	7793	8042	8291	8540	8789	9038	8860	8682	8504	8326	8149	7971	7793	7615	7437	7259
8600	3089	3217	3344	3472	3599	3727	3854	3982	4109	4237	4364	4771	5178	5585	5992	6399	6806	7213	7620	8027	8434	8443	8453	8462	8471	8481	8490	8499	8508	8518	8527
8905	189	222	255	289	322	355	388	421	455	488	521	538	554	571	587	604	621	637	654	670	687	715	743	771	799	827	855	883	911	939	967
8906	413	458	502	547	591	636	680	725	769	814	858	883	909	934	960	985	1010	1036	1061	1087	1112	1118	1123	1129	1135	1141	1146	1152	1158	1163	1169
8910	1023	1082	1141	1199	1258	1317	1376	1435	1493	1552	1611	1627	1643	1659	1675	1691	1706	1722	1738	1754	1770	1795	1821	1846	1872	1897	1922	1948	1973	1999	2024
8925	776	833	890	947	1004	1062	1119	1176	1233	1290	1347	1382	1417	1452	1487	1522	1556	1591	1626	1661	1696	1704	1713	1721	1730	1738	1746	1755	1763	1772	1780
8926	658	729	800	870	941	1012	1083	1154	1224	1295	1366	1352	1339	1325	1312	1298	1284	1271	1257	1244	1230	1245	1259	1274	1288	1303	1317	1332	1346	1361	1375
8927	181	183	186	188	191	193	195	198	200	203	205	224	244	263	283	302	321	341	360	380	399	475	551	627	703	779	855	931	1007	1083	1159
8935	1533	1615	1697	1778	1860	1942	2024	2106	2187	2269	2351	2477	2604	2730	2857	2983	3109	3236	3362	3489	3615	3643	3672	3700	3729	3757	3785	3814	3842	3871	3899
8936	1358	1428	1497	1567	1637	1707	1776	1846	1916	1985	2055	2025	1995	1965	1935	1906	1876	1846	1816	1786	1756	1829	1903	1976	2050	2123	2196	2270	2343	2417	2490
8937	954	1096	1237	1379	1521	1663	1804	1946	2088	2229	2371	2430	2489	2549	2608	2667	2726	2785	2845	2904	2963	3417	3871	4326	4780	5234	5688	6142	6597	7051	7505
9002	4131	4322	4513	4704	4895	5086	5277	5468	5659	5850	6041	6186	6330	6475	6620	6765	6909	7054	7199	7343	7488	7519	7550	7582	7613	7644	7675	7706	7738	7769	7800
9004	922	1003	1084	1164	1245	1326	1407	1488	1568	1649	1730	1849	1967	2086	2205	2324	2442	2561	2680	2798	2917	3000	3083	3165	3248	3331	3414	3497	3579	3662	3745
9005	39	57	74	92	109	127	144	162	179	197	214	225	236	247	258	269	280	291	302	313	324	327	330	334	337	340	343	346	350	353	356
9006	172	246	319	393	467	541	614	688	762	835	909	924	938	953	968	983	997	1012	1027	1041	1056	1065	1073	1082	1090	1099	1107	1116	1124	1133	1141
9009	3361	3459	3557	3655	3753	3851	3948	4046	4144	4242	4340	4076	3813	3549	3285	3022	2758	2494	2230	1967	1703	1757	1811	1866	1920	1974	2028	2082	2137	2191	2245
9011	2247	2388	2529	2670	2811	2953	3094	3235	3376	3517	3658	3860	4063	4265	4467	4670	4872	5074	5276	5479	5681	5641	5601	5560	5520	5480	5440	5400	5359	5319	5279
9015	350	371	392	414	435	456	477	498	520	541	562	650	738	826	914	1002	1090	1178	1266	1354	1442	1438	1435	1431	1428	1424	1420	1417	1413	1410	1406
9016	244	276	308	340	372	404	436	468	500	532	564	646	728	811	893	975	1057	1139	1222	1304	1386	1402	1417	1433	1449	1465	1480	1496	1512	1527	1543
9017	44	57	71	84	97	111	124	137	150	164	177	179	182	184	187	189	191	194	196	199	201	199	198	196	195	193	191	190	188	187	185
9018	4129	4389	4648	4908	5167	5427	5687	5946	6206	6465	6725	6995	7265	7536	7806	8076	8346	8616	8887	9157	9427	9515	9603	9691	9779	9868	9956	10044	10132	10220	10308
9019	667	751	835	918	1002	1086	1170	1254	1337	1421	1505	1630	1754	1879	2004	2129	2253	2378	2503	2627	2752	2907	3061	3216	3370	3525	3680	3834	3989	4143	4298
9020	872	931	989	1048	1106	1165	1224	1282	1341	1399	1458	1577	1696	1814	1933	2052	2171	2290	2408	2527	2646	2690	2735	2779	2823	2868	2912	2956	3000	3045	3089
9900	851	890	929	968	1007	1047	1086	1125	1164	1203	1242	1249	1257	1264	1271	1279	1286	1293	1300	1308	1315	1329	1342	1356	1369	1383	1397	1410	1424	1437	1451
9901	1915	1980	2045	2110	2175	2240	2304	2369	2434	2499	2564	2666	2768	2870	2972	3075	3177	3279	3381	3483	3585	3560	3535	3509	3484	3459	3434	3409	3383	3358	3333
9902	29052	29241	29430	29620	29809	29998	30187	30376	30566	30755	30944	29813	28682	27551	26420	25289	24158	23027	21896	20765	19634	19638	19642	19646	19650	19654	19657	19661	19665	19669	19673
9904	4194	4336	4478	4619	4761	4903	5045	5187	5328	5470	5612	5673	5733	5794	5854	5915	5976	6036	6097	6157	6218	6148	6079	6009	5939	5870	5800	5730	5660	5591	5521
9908	2348	3039	3731	4422	5114	5805	6496	7188	7879	8571	9262	8555	7848	7141	6434	5727	5019	4312	3605	2898	2191	2363	2535	2706	2878	3050	3222	3394	3565	3737	3909
9909	329	358	386	415	443	472	500	529	557	586	614	627	640	653	666	679	691	704	717	730	743	776	809	842	875	908	941	974	1007	1040	1073
9913	1701	1756	1812	1867	1922	1978	2033	2088	2143	2199	2254	2461	2669	2876	3084	3291	3498	3706	3913	4121	4328	4366	4404	4442	4480	4518	4555	4593	4631	4669	4707
9914	990	1066	1143	1219	1296	1372	1448	1525	1601	1678	1754	1859	1964	2069	2174	2280	2385	2490	2595	2700	2805	2868	2932	2995	3059	3122	3185	3249	3312	3376	3439
9915	933	954	975	997	1018	1039	1060	1081	1103	1124	1145	1274	1402	1531	1659	1788	1916	2045	2173	2302	2430	2471	2511	2552	2593	2634	2674	2715	2756	2796	2837
9916	417	446	475	504	533	562	590	619	648	677	706	805	905	1004	1104	1203	1302	1402	1501	1601	1700	1740	1779	1819	1858	1898	1938	1977	2017	2056	2096
