tract10_id	2000	2010
100	3406	1771
200	1020	1208
300	670	643
401	2260	1395
402	1710	1458
500	389	408
600	5769	5272
700	1483	1507
800	346	134
900	256	199
1000	1037	892
1100	448	219
1200	6071	6041
1300	2843	2582
1400	691	584
1500	251	225
1600	1039	1025
1701	1158	1042
1702	696	715
1800	617	401
1900	4627	4483
2000	788	780
2100	935	710
2200	708	625
2400	695	561
2500	597	742
2600	1179	1155
2700	1061	977
2800	885	974
2900	730	789
3000	1092	865
3100	594	619
3200	2379	2305
3300	965	1439
3400	422	634
3500	990	1472
3600	2712	2413
3800	648	796
3900	452	415
4000	1508	1697
4100	4685	6973
4200	1432	1548
4301	2496	2884
4302	351	493
4400	1912	1388
4500	351	383
4600	547	602
4700	8844	10110
4800	1922	1944
4900	4738	5878
5000	2622	1962
5100	1426	1088
5200	2691	1719
5301	6888	3372
5302	23683	26162
5400	4133	4174
5600	1248	1252
5700	1483	1680
5801	4921	3649
5802	4821	3376
5900	3274	3853
6000	3192	2590
6100	4709	3270
6200	840	1025
6300	2152	2023
6400	455	525
6500	1051	801
6600	7779	8511
6700	7744	5691
6800	1871	2036
6900	635	723
7000	2473	2278
7100	12401	11869
7200	23278	15639
7300	22086	19452
7401	780	679
7402	1060	860
7500	6194	4120
7600	3008	1205
7700	1013	1000
7800	1146	1779
7900	1628	1948
8001	12705	10499
8002	6423	6729
8100	69988	56064
8200	26631	23920
8300	6987	7369
8400	5076	13345
8500	22755	15480
8600	4513	4982
8700	3713	1535
8800	588	477
8900	1991	2136
9000	6150	3822
9100	2471	3102
9200	4742	3707
9300	45579	40153
9400	6823	7700
9500	3982	2383
9600	1608	1542
9701	1002	905
9702	595	717
9800	1417	2030
9900	7745	5780
10001	3992	4260
10002	600	598
10100	1687	1964
10200	375	508
10300	1897	2255
10401	344	564
10402	373	520
10500	3225	3361
10600	1251	1022
10701	343	354
10702	241	416
10800	2296	2402
10900	18433	17139
11001	496	790
11002	505	719
11101	504	253
11102	724	936
11200	6144	5805
11300	2342	2160
11401	356	329
11402	1006	1395
11500	264	570
11600	1048	1139
11700	3109	1624
11800	1611	1448
11900	425	237
12000	235	236
12100	185	346
20100	639	783
20200	1670	1601
20300	2328	2441
20401	799	953
20402	911	641
20500	1507	1544
20600	498	391
20700	2554	2365
20800	649	558
20900	3632	2992
21000	1621	1715
21100	2004	2428
21300	741	941
21400	922	922
21500	681	536
21600	1399	1378
21700	2304	1765
21802	7390	8858
21803	2358	2269
21804	1201	1422
21903	7896	7964
21904	2524	2047
21905	1136	847
21906	3714	3626
22001	1011	696
22003	1261	1069
22005	4581	3254
22006	672	859
22101	1280	649
22102	806	812
22201	684	543
22202	1099	1269
22203	790	998
22300	364	844
22400	3827	2569
22500	9405	6656
22603	1395	1881
22604	2191	2403
22605	5882	5476
22606	972	659
22701	6060	4917
22702	896	1063
22703	818	1047
22801	2065	2586
22802	611	2926
22803	39196	42345
22901	573	595
22902	671	703
23000	2089	2368
23100	176	233
23201	890	1509
23202	2592	2159
23300	1454	1013
23401	11166	8015
23403	6115	8706
23404	102	185
23500	605	528
23601	10983	7034
23603	2395	2229
23604	1394	998
23700	29208	22684
23801	6573	5970
23803	7983	8183
23804	23773	31714
23900	737	825
24000	5950	4656
24100	854	1114
24200	516	489
24300	4778	4349
24400	1106	1051
24500	791	1015
24601	621	794
24602	679	712
24701	612	596
24702	830	1197
24800	8453	11559
24901	498	775
24902	252	216
24903	508	591
25001	712	1134
25003	1052	859
25005	741	1044
25006	96	664
25101	1215	981
25102	1027	993
25200	464	931
25301	7926	6789
25302	16692	14575
25400	1866	1436
25500	423	468
25601	1199	1119
25602	493	569
25701	1304	641
25702	129	187
25803	447	595
25804	550	581
25805	464	446
25806	3283	4214
26001	826	793
26002	868	814
26100	665	861
26200	47821	41404
26300	12723	8937
26400	3204	4962
26500	735	824
26600	628	720
26700	627	435
26801	726	830
26802	863	665
27000	710	207
27100	663	721
27200	6210	7623
27300	1549	933
27400	1685	1610
27500	1370	1089
27600	745	559
27701	2589	2702
27702	983	713
27800	292	265
27900	6902	5756
28000	1275	1180
28100	1656	889
28200	1079	1290
28300	5603	5370
28402	20588	10390
28403	3137	2651
28500	2054	1268
28600	935	1113
28700	589	451
28801	3483	3217
28802	2517	7246
28901	1600	1668
28902	1229	1297
29001	931	728
29003	1315	1198
29004	1400	1388
29101	248	321
29102	208	265
29203	3501	3614
29204	1332	1424
29205	989	1010
29206	39154	37008
29303	2127	1719
29304	440	337
29305	334	389
29306	449	874
29307	494	658
29403	478	482
29405	315	322
29406	351	405
29407	857	824
29408	288	214
29502	1208	881
29503	2655	2869
29504	1061	1035
29601	800	1023
29602	260	561
29700	6010	5808
29801	1814	1496
29802	939	745
29901	553	448
29902	3047	2418
30003	1502	1229
30004	337	325
30005	454	485
30006	3552	2996
30100	854	790
30201	852	570
30202	2307	2238
30304	2099	2425
30305	588	714
30306	475	533
30308	548	807
30309	2125	1854
30310	1015	1159
30311	687	470
30312	575	475
30313	7687	7799
30314	5150	4128
30401	3887	3846
30403	263	110
30404	465	479
30501	12795	13347
30503	2188	4069
30504	1276	708
30600	2410	2188
30700	1340	1558
30801	14660	9932
30802	438	447
30901	1445	1666
30902	993	1034
31000	618	672
31100	2600	1229
31202	1431	1990
31204	742	674
31205	515	841
31206	1055	1057
31301	754	598
31302	972	927
31400	3389	3462
31501	399	424
31502	1779	1006
31601	675	630
31603	860	1112
31604	369	670
31605	233	475
31703	646	690
31704	636	962
31705	274	497
31706	1674	3133
31800	848	945
31903	963	808
31904	733	995
31906	454	521
31907	418	723
31908	1025	923
31909	529	331
32002	472	474
32003	1290	1193
32005	859	1137
32006	525	605
32007	767	686
32008	216	163
32010	775	1210
32011	457	531
32102	642	770
32103	7791	6977
32104	1822	1238
32203	1121	946
32207	726	543
32208	7347	10872
32210	2152	2995
32211	1149	1243
32212	785	922
32213	185	221
32214	992	1536
32215	281	605
32307	1498	1099
32309	18328	15337
32311	738	855
32313	11405	10228
32315	763	727
32316	574	545
32317	1661	401
32318	893	988
32319	9531	7338
32320	1194	1005
32321	1367	1097
32322	379	200
32323	1009	1071
32324	642	484
32325	454	418
32326	758	658
32327	414	633
32328	568	749
32329	141	1128
32401	1393	1297
32402	677	897
32500	1447	1023
32601	618	920
32602	864	2718
32702	615	645
32703	1166	1432
32704	2682	3303
32800	747	389
40100	6384	6779
40200	1076	1093
40300	623	536
40400	1896	1675
40500	660	676
40700	7801	8469
40800	6233	5633
40900	274	320
41000	4299	3825
41100	1768	2028
41201	125	143
41202	1947	1900
41301	1877	2099
41303	962	1429
41304	26796	33643
41400	1706	1167
41500	310	337
41601	740	554
41605	785	904
41606	593	606
41607	195	184
41608	516	668
41701	2137	1947
41703	340	506
41704	2086	3386
41805	5400	5186
41806	1377	1581
41808	968	1060
41809	101	376
41810	516	586
41811	1970	2226
41812	1148	701
41901	7646	7028
41903	2871	3313
41904	1824	1224
41905	1143	1704
42001	567	926
42003	185	306
42004	564	875
42005	2535	2516
42006	3123	4397
50101	245	181
50102	773	495
50200	631	877
50300	454	574
50401	1402	1496
50402	2614	3454
50500	4025	3351
50600	156	244
50700	1565	1128
50800	892	1162
50900	1617	1236
51000	4735	4825
51100	1314	810
51200	557	370
51300	732	758
51400	7399	6649
51500	3955	3572
51601	933	1173
51602	882	649
51701	2562	2465
51702	3263	2856
51802	5472	6507
51803	867	687
51804	144	1105
51905	2070	3056
51912	2069	2468
51913	349	355
51914	332	313
51915	824	609
51916	673	824
51917	537	418
51918	1137	1230
