tract10_id	2000	2010
100	2573	3146
200	3361	3499
300	1067	1090
401	2669	3134
402	2148	2317
500	1343	1289
600	3172	3345
700	2030	2114
800	1036	1033
900	867	836
1000	707	765
1100	1057	1058
1200	3300	3418
1300	2020	2131
1400	2139	2172
1500	1027	1072
1600	1753	1777
1701	1404	1931
1702	2014	1911
1800	1879	2136
1900	1580	1889
2000	1489	1568
2100	1637	1678
2200	2131	2131
2400	1252	1244
2500	1156	1245
2600	1923	1940
2700	2198	2257
2800	2064	2114
2900	1835	1843
3000	2378	2407
3100	2596	2638
3200	3776	4021
3300	2915	3071
3400	1476	1468
3500	1766	1818
3600	2713	3134
3800	794	912
3900	1148	1148
4000	1161	1230
4100	3026	3038
4200	3132	3137
4301	1943	1448
4302	656	1495
4400	2482	2567
4500	948	1003
4600	1371	1406
4700	2850	4020
4800	2140	2163
4900	3335	3509
5000	1698	1930
5100	1589	1620
5200	2607	2872
5301	2346	2824
5302	222	196
5400	2259	2620
5600	2687	2596
5700	2711	2703
5801	2475	2520
5802	2417	2505
5900	2543	2561
6000	2445	2506
6100	2602	2789
6200	1542	1520
6300	2672	2526
6400	1257	1244
6500	2290	2294
6600	1834	2047
6700	3195	3993
6800	1227	1341
6900	2081	2076
7000	4844	4878
7100	1302	2004
7200	2150	3740
7300	1035	3066
7401	3227	2940
7402	3101	3416
7500	3647	4114
7600	1752	1902
7700	1915	2152
7800	2107	2102
7900	2393	2893
8001	2359	3929
8002	1907	2003
8100	1962	2521
8200	1961	2279
8300	1737	1788
8400	2643	2707
8500	1569	1555
8600	1272	2006
8700	1507	1678
8800	1459	1493
8900	1863	2080
9000	888	1492
9100	975	1470
9200	1162	1703
9300	994	994
9400	2048	2402
9500	2313	2418
9600	2598	2730
9701	2858	2798
9702	2209	2201
9800	2782	2861
9900	2110	2403
10001	2072	1455
10002	872	1711
10100	2163	2533
10200	1879	1910
10300	2219	2323
10401	1313	1412
10402	1460	1568
10500	2664	3310
10600	3524	3605
10701	1371	1280
10702	740	1344
10800	1415	1667
10900	585	619
11001	727	1556
11002	1137	1248
11101	1393	1431
11102	1413	1497
11200	1233	1317
11300	2189	2368
11401	1660	1679
11402	1597	1744
11500	1931	1900
11600	2805	2908
11700	1577	1639
11800	2659	2678
11900	2467	2425
12000	1421	1448
12100	1192	1164
20100	1219	1252
20200	2136	2187
20300	2519	2874
20401	1372	1408
20402	2152	2157
20500	2574	2679
20600	1307	1307
20700	1407	1478
20800	1756	1747
20900	1294	1396
21000	2093	2170
21100	1574	1586
21300	1653	1653
21400	1400	1396
21500	1620	1646
21600	1750	1760
21700	2415	3174
21802	1735	2103
21803	1705	1824
21804	1670	1680
21903	2428	2445
21904	1636	1757
21905	1877	2033
21906	1465	1569
22001	1433	2016
22003	1923	1951
22005	1979	2132
22006	1620	1649
22101	1746	1808
22102	1951	2154
22201	1682	1677
22202	2836	3169
22203	1662	1844
22300	984	1047
22400	3353	3584
22500	3249	3717
22603	1884	2218
22604	1521	1671
22605	2236	2369
22606	2361	2341
22701	1507	1480
22702	1272	1335
22703	817	888
22801	3707	3704
22802	1872	1958
22803	1741	2083
22901	1015	1009
22902	2511	2546
23000	1874	1854
23100	1427	1404
23201	2453	2586
23202	1808	1844
23300	2198	2186
23401	1473	1456
23403	1772	1562
23404	961	1171
23500	1477	1500
23601	1679	1662
23603	2437	2491
23604	2508	2420
23700	1699	1668
23801	1212	1196
23803	493	2244
23804	1066	2397
23900	2797	2777
24000	3327	3343
24100	1596	1553
24200	1106	1054
24300	2805	3294
24400	1138	1360
24500	1721	1659
24601	1564	1549
24602	1209	1247
24701	1485	1423
24702	2352	2728
24800	2207	2246
24901	1783	1762
24902	1307	1326
24903	2158	2326
25001	1759	1727
25003	2422	2539
25005	438	1805
25006	1275	1990
25101	1935	2032
25102	1748	2558
25200	2611	3039
25301	1727	2396
25302	1796	2516
25400	2821	2872
25500	1890	1853
25601	898	1914
25602	1616	1864
25701	2584	2693
25702	1135	1278
25803	1621	1718
25804	1295	1273
25805	1463	1864
25806	1791	1738
26001	1944	1966
26002	2353	2907
26100	2382	2463
26200	2416	2263
26300	531	579
26400	2345	2268
26500	1407	1258
26600	759	836
26700	2096	2041
26801	1968	1993
26802	1749	1615
27000	1117	1161
27100	1262	1248
27200	819	866
27300	1963	1932
27400	1795	1816
27500	1796	1753
27600	1664	1674
27701	2196	2433
27702	1997	2173
27800	1445	1405
27900	2990	2988
28000	1580	1456
28100	797	822
28200	1792	1855
28300	1179	1683
28402	1788	1784
28403	2259	2239
28500	1583	1575
28600	2558	2564
28700	1906	1854
28801	1025	826
28802	2386	2152
28901	1485	1559
28902	2523	2366
29001	1758	1895
29003	2040	2033
29004	1346	1311
29101	1056	1195
29102	814	1477
29203	1125	1178
29204	2101	2434
29205	410	2152
29206	3783	1832
29303	2107	2993
29304	1649	1724
29305	1231	1270
29306	1018	1219
29307	1279	1288
29403	1869	1912
29405	1707	1792
29406	1286	1619
29407	1597	1590
29408	1549	1547
29502	1745	2035
29503	2896	2961
29504	1881	2131
29601	2106	2110
29602	985	1585
29700	2661	2883
29801	2958	3007
29802	2341	2973
29901	1469	1522
29902	1298	1498
30003	2218	2292
30004	2982	3084
30005	1783	1776
30006	1628	1541
30100	2803	2828
30201	1929	1953
30202	2363	2390
30304	886	989
30305	1886	2013
30306	1961	1911
30308	2304	2191
30309	2432	2338
30310	1706	1871
30311	1675	1608
30312	1836	1689
30313	2011	1657
30314	1258	1821
30401	2087	2871
30403	1529	1566
30404	1187	1460
30501	1071	848
30503	1644	1906
30504	1989	1846
30600	2081	2100
30700	1573	1489
30801	2227	2292
30802	1369	1336
30901	997	1124
30902	1686	1940
31000	1008	1201
31100	2625	2530
31202	1995	2120
31204	1987	2177
31205	1303	2239
31206	1487	1777
31301	900	938
31302	1702	1730
31400	2381	2413
31501	1164	1341
31502	1492	1580
31601	1463	1812
31603	1188	1945
31604	399	1524
31605	1476	1282
31703	2453	2598
31704	1376	1783
31705	1108	1238
31706	915	2095
31800	1395	1685
31903	2162	2316
31904	1191	1194
31906	932	1260
31907	1995	2694
31908	1848	1846
31909	990	1094
32002	1056	1097
32003	1664	1784
32005	2239	2136
32006	1343	1582
32007	1126	1265
32008	1386	1435
32010	1134	1896
32011	791	1302
32102	1668	1758
32103	2032	1982
32104	2409	2424
32203	1828	2344
32207	945	1137
32208	1881	3725
32210	739	3864
32211	1636	1663
32212	2719	2777
32213	373	1388
32214	603	1952
32215	1445	1316
32307	2163	2184
32309	1769	2589
32311	1931	2001
32313	1688	2392
32315	1708	1879
32316	1433	1798
32317	2119	2119
32318	1485	1857
32319	1918	2253
32320	1333	1426
32321	1022	1607
32322	1112	1129
32323	1839	2059
32324	2006	2103
32325	2184	2339
32326	638	1334
32327	985	1791
32328	664	1080
32329	755	2362
32401	1607	2029
32402	1688	2081
32500	1733	1906
32601	1036	1057
32602	888	3657
32702	2266	2405
32703	732	768
32704	2329	2319
32800	1042	1156
40100	1715	1714
40200	2093	2527
40300	1333	1285
40400	1865	1830
40500	951	929
40700	1760	1830
40800	1032	1134
40900	1206	1160
41000	2212	2350
41100	1744	1836
41201	1146	1198
41202	2093	2255
41301	1934	2099
41303	587	1772
41304	1577	1099
41400	1999	2124
41500	541	532
41601	1401	1926
41605	1877	2016
41606	1256	1831
41607	835	1184
41608	1691	2076
41701	1940	1998
41703	1016	1778
41704	1111	2169
41805	2193	2307
41806	2878	3034
41808	1533	1707
41809	1963	1989
41810	1625	2230
41811	1860	2277
41812	1062	2380
41901	1076	1448
41903	2695	2884
41904	1752	2076
41905	1536	2152
42001	2046	2257
42003	1129	1182
42004	1307	1507
42005	1582	1772
42006	1446	2124
50101	899	922
50102	1768	2162
50200	1510	1562
50300	2086	2088
50401	3003	2900
50402	2265	2319
50500	3207	3558
50600	328	437
50700	2515	2528
50800	2414	2500
50900	1351	1472
51000	1728	1814
51100	1512	1527
51200	1774	1716
51300	2832	2967
51400	3019	3156
51500	2191	2240
51601	1593	1682
51602	1581	1547
51701	2410	2420
51702	1540	1791
51802	1326	1907
51803	1058	2532
51804	1559	1351
51905	2548	2948
51912	793	831
51913	1376	1462
51914	1411	1520
51915	1808	2348
51916	1245	1297
51917	1441	1566
51918	1754	2011
51921	960	1592
51922	1492	1613
51923	1689	1778
51924	1206	2357
51925	1207	2431
51926	1275	1530
51927	1735	1566
51928	866	1808
52003	344	2338
52004	2165	2371
52005	2380	2469
52006	1373	1417
52007	1113	1534
52104	533	1165
52105	633	706
52107	1039	1375
52108	1914	2084
52112	872	926
52113	851	1033
52114	2287	1528
52115	1074	2212
52118	1102	2258
52203	1119	1703
52204	1530	1633
52206	1132	1530
52207	1584	1912
52208	446	1574
52209	1823	899
52301	1467	1681
52302	1154	1312
52401	1507	1556
52402	1695	1731
52502	1405	1572
52503	1894	2335
