faz_id	multifamily_households_2000	multifamily_households_2010	multifamily_households_2020	multifamily_households_2025	multifamily_households_2030	multifamily_households_2035	multifamily_households_2040
8935.0	77.0	197.0	390.0	420.0	453.0	488.0	942.0
8927.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
8926.0	12.0	17.0	19.0	17.0	17.0	19.0	19.0
8936.0	106.0	419.0	500.0	533.0	580.0	641.0	715.0
8500.0	372.0	1287.0	1787.0	1881.0	2093.0	2823.0	4357.0
8406.0	2.0	34.0	43.0	48.0	50.0	52.0	50.0
8320.0	538.0	734.0	760.0	779.0	804.0	878.0	1148.0
8925.0	32.0	149.0	278.0	288.0	311.0	419.0	844.0
8937.0	9.0	12.0	12.0	13.0	12.0	13.0	13.0
8405.0	49.0	94.0	99.0	99.0	106.0	141.0	336.0
8310.0	2383.0	2908.0	3122.0	3226.0	3353.0	3810.0	5017.0
8910.0	63.0	95.0	96.0	100.0	114.0	193.0	339.0
7905.0	674.0	739.0	739.0	765.0	781.0	994.0	2347.0
7606.0	16.0	45.0	58.0	54.0	56.0	60.0	64.0
7805.0	319.0	400.0	388.0	387.0	400.0	445.0	471.0
8220.0	3005.0	3706.0	4208.0	4616.0	5199.0	6354.0	6997.0
8000.0	593.0	1094.0	1311.0	1385.0	1499.0	1719.0	1856.0
8906.0	22.0	29.0	29.0	29.0	29.0	29.0	29.0
8210.0	1997.0	2503.0	3266.0	3920.0	4841.0	6273.0	6227.0
9020.0	32.0	35.0	475.0	548.0	615.0	689.0	982.0
8125.0	1798.0	1949.0	2091.0	2128.0	2260.0	2499.0	2624.0
8126.0	1167.0	1420.0	1751.0	2044.0	2580.0	3521.0	3936.0
8905.0	53.0	70.0	68.0	68.0	66.0	66.0	66.0
7806.0	31.0	75.0	97.0	99.0	103.0	105.0	105.0
7700.0	757.0	884.0	959.0	957.0	967.0	972.0	974.0
7526.0	1100.0	1602.0	1660.0	1677.0	1703.0	1827.0	1895.0
7340.0	453.0	1125.0	1270.0	1285.0	1316.0	1444.0	1901.0
7605.0	10.0	15.0	15.0	15.0	15.0	15.0	15.0
7537.0	4445.0	5115.0	8483.0	8873.0	9057.0	9167.0	9903.0
8115.0	4911.0	5575.0	8765.0	9334.0	9909.0	10920.0	12700.0
7335.0	1960.0	3544.0	4116.0	4363.0	4683.0	5314.0	6441.0
8600.0	970.0	1063.0	1167.0	1178.0	1191.0	1223.0	1293.0
7425.0	105.0	292.0	328.0	334.0	385.0	473.0	704.0
7535.0	1618.0	3390.0	7689.0	8266.0	8700.0	9280.0	10992.0
