commute_id	origin_district_id	destination_district_id	commute_trips
1001	1	1	31455
1002	1	2	8268
1003	1	3	16215
1004	1	4	4165
1005	1	5	2571
1006	1	6	4171
1007	1	7	375
1008	1	8	950
1009	1	9	696
1010	1	10	2062
1011	1	11	1435
1012	1	12	1093
1013	1	13	820
1014	1	14	90
1015	1	15	248
1016	1	16	112
1017	1	17	176
1018	1	18	115
1019	1	19	6157
2001	2	1	16104
2002	2	2	64155
2003	2	3	25920
2004	2	4	15996
2005	2	5	12741
2006	2	6	14034
2007	2	7	1922
2008	2	8	4042
2009	2	9	3285
2010	2	10	6161
2011	2	11	4702
2012	2	12	3466
2013	2	13	2729
2014	2	14	331
2015	2	15	962
2016	2	16	560
2017	2	17	897
2018	2	18	631
2019	2	19	2057
3001	3	1	9923
3002	3	2	10919
3003	3	3	35061
3004	3	4	6966
3005	3	5	4034
3006	3	6	6530
3007	3	7	579
3008	3	8	1245
3009	3	9	754
3010	3	10	2974
3011	3	11	2210
3012	3	12	1391
3013	3	13	1023
3014	3	14	106
3015	3	15	161
3016	3	16	81
3017	3	17	117
3018	3	18	64
3019	3	19	1499
4001	4	1	2286
4002	4	2	6613
4003	4	3	6980
4004	4	4	24038
4005	4	5	9877
4006	4	6	13984
4007	4	7	1277
4008	4	8	2973
4009	4	9	1861
4010	4	10	5314
4011	4	11	4025
4012	4	12	2891
4013	4	13	1991
4014	4	14	195
4015	4	15	362
4016	4	16	175
4017	4	17	254
4018	4	18	120
4019	4	19	406
5001	5	1	1748
5002	5	2	6002
5003	5	3	4773
5004	5	4	10988
5005	5	5	38810
5006	5	6	22633
5007	5	7	4950
5008	5	8	7455
5009	5	9	4870
5010	5	10	8162
5011	5	11	5819
5012	5	12	4228
5013	5	13	3020
5014	5	14	346
5015	5	15	769
5016	5	16	454
5017	5	17	682
5018	5	18	384
5019	5	19	658
6001	6	1	514
6002	6	2	1484
6003	6	3	1633
6004	6	4	3735
6005	6	5	7213
6006	6	6	30583
6007	6	7	2288
6008	6	8	6631
6009	6	9	3901
6010	6	10	12295
6011	6	11	8458
6012	6	12	6034
6013	6	13	4025
6014	6	14	329
6015	6	15	661
6016	6	16	367
6017	6	17	396
6018	6	18	161
6019	6	19	247
7001	7	1	546
7002	7	2	1035
7003	7	3	1071
7004	7	4	1776
7005	7	5	4223
7006	7	6	9352
7007	7	7	20597
7008	7	8	15547
7009	7	9	12924
7010	7	10	5946
7011	7	11	5879
7012	7	12	4629
7013	7	13	3303
7014	7	14	367
7015	7	15	1081
7016	7	16	872
7017	7	17	919
7018	7	18	726
7019	7	19	505
8001	8	1	151
8002	8	2	292
8003	8	3	330
8004	8	4	542
8005	8	5	1148
8006	8	6	3754
8007	8	7	2655
8008	8	8	27793
8009	8	9	9643
8010	8	10	3804
8011	8	11	5414
8012	8	12	3927
8013	8	13	3118
8014	8	14	283
8015	8	15	748
8016	8	16	640
8017	8	17	535
8018	8	18	303
8019	8	19	188
9001	9	1	336
9002	9	2	519
9003	9	3	578
9004	9	4	829
9005	9	5	1562
9006	9	6	4538
9007	9	7	4253
9008	9	8	19591
9009	9	9	65245
9010	9	10	4168
9011	9	11	6988
9012	9	12	5652
9013	9	13	7095
9014	9	14	1483
9015	9	15	4912
9016	9	16	4734
9017	9	17	3707
9018	9	18	2298
9019	9	19	446
10001	10	1	370
10002	10	2	643
10003	10	3	927
10004	10	4	1385
10005	10	5	2527
10006	10	6	11550
10007	10	7	1325
10008	10	8	5730
10009	10	9	3232
10010	10	10	32402
10011	10	11	14874
10012	10	12	9292
10013	10	13	5812
10014	10	14	539
10015	10	15	867
10016	10	16	341
10017	10	17	434
10018	10	18	179
10019	10	19	481
11001	11	1	36
11002	11	2	51
11003	11	3	66
11004	11	4	64
11005	11	5	94
11006	11	6	360
11007	11	7	84
11008	11	8	381
11009	11	9	354
11010	11	10	707
11011	11	11	10048
11012	11	12	1929
11013	11	13	592
11014	11	14	48
11015	11	15	100
11016	11	16	44
11017	11	17	62
11018	11	18	27
11019	11	19	75
12001	12	1	72
12002	12	2	180
12003	12	3	240
12004	12	4	395
12005	12	5	735
12006	12	6	3494
12007	12	7	749
12008	12	8	4513
12009	12	9	3580
12010	12	10	6475
12011	12	11	23012
12012	12	12	29492
12013	12	13	8222
12014	12	14	694
12015	12	15	1040
12016	12	16	391
12017	12	17	449
12018	12	18	175
12019	12	19	274
13001	13	1	207
13002	13	2	352
13003	13	3	555
13004	13	4	718
13005	13	5	1249
13006	13	6	5616
13007	13	7	1104
13008	13	8	8233
13009	13	9	8096
13010	13	10	9404
13011	13	11	19325
13012	13	12	16856
13013	13	13	50928
13014	13	14	3101
13015	13	15	4446
13016	13	16	1823
13017	13	17	1961
13018	13	18	693
13019	13	19	524
14001	14	1	28
14002	14	2	66
14003	14	3	86
14004	14	4	149
14005	14	5	245
14006	14	6	1226
14007	14	7	252
14008	14	8	1978
14009	14	9	3116
14010	14	10	2082
14011	14	11	3821
14012	14	12	3418
14013	14	13	5916
14014	14	14	4747
14015	14	15	3544
14016	14	16	1280
14017	14	17	1582
14018	14	18	497
14019	14	19	88
15001	15	1	345
15002	15	2	387
15003	15	3	495
15004	15	4	485
15005	15	5	680
15006	15	6	2226
15007	15	7	660
15008	15	8	4271
15009	15	9	8250
15010	15	10	3193
15011	15	11	5875
15012	15	12	4973
15013	15	13	8177
15014	15	14	2975
15015	15	15	26798
15016	15	16	5179
15017	15	17	11965
15018	15	18	3153
15019	15	19	583
16001	16	1	401
16002	16	2	511
16003	16	3	627
16004	16	4	613
16005	16	5	863
16006	16	6	2405
16007	16	7	1283
16008	16	8	7259
16009	16	9	14523
16010	16	10	2750
16011	16	11	4002
16012	16	12	3767
16013	16	13	6116
16014	16	14	1917
16015	16	15	10298
16016	16	16	17771
16017	16	17	12026
16018	16	18	6023
16019	16	19	546
17001	17	1	36
17002	17	2	51
17003	17	3	59
17004	17	4	73
17005	17	5	97
17006	17	6	434
17007	17	7	173
17008	17	8	1165
17009	17	9	2659
17010	17	10	590
17011	17	11	1286
17012	17	12	996
17013	17	13	1541
17014	17	14	569
17015	17	15	4697
17016	17	16	2125
17017	17	17	17278
17018	17	18	3480
17019	17	19	50
18001	18	1	531
18002	18	2	626
18003	18	3	689
18004	18	4	597
18005	18	5	804
18006	18	6	2010
18007	18	7	1106
18008	18	8	4468
18009	18	9	9990
18010	18	10	2107
18011	18	11	2910
18012	18	12	2613
18013	18	13	4052
18014	18	14	1269
18015	18	15	8804
18016	18	16	6558
18017	18	17	20723
18018	18	18	39944
18019	18	19	688
19001	19	1	5118
19002	19	2	2022
19003	19	3	5628
19004	19	4	1548
19005	19	5	1150
19006	19	6	2249
19007	19	7	321
19008	19	8	1131
19009	19	9	1319
19010	19	10	3201
19011	19	11	9171
19012	19	12	3440
19013	19	13	1974
19014	19	14	540
19015	19	15	1863
19016	19	16	476
19017	19	17	812
19018	19	18	337
19019	19	19	70168
