commute_id	origin_district_id	destination_district_id	commute_trips
1001	1	1	29440
1002	1	2	8551
1003	1	3	18804
1004	1	4	4864
1005	1	5	2539
1006	1	6	4600
1007	1	7	266
1008	1	8	813
1009	1	9	509
1010	1	10	2033
1011	1	11	1527
1012	1	12	1007
1013	1	13	578
1014	1	14	47
1015	1	15	105
1016	1	16	41
1017	1	17	45
1018	1	18	9
1019	1	19	3884
2001	2	1	12258
2002	2	2	55741
2003	2	3	24278
2004	2	4	15531
2005	2	5	10858
2006	2	6	12430
2007	2	7	1193
2008	2	8	2725
2009	2	9	1516
2010	2	10	4615
2011	2	11	3769
2012	2	12	2316
2013	2	13	1406
2014	2	14	110
2015	2	15	183
2016	2	16	112
2017	2	17	129
2018	2	18	50
2019	2	19	867
3001	3	1	8310
3002	3	2	9178
3003	3	3	37037
3004	3	4	7221
3005	3	5	3641
3006	3	6	6280
3007	3	7	398
3008	3	8	1158
3009	3	9	642
3010	3	10	2811
3011	3	11	2572
3012	3	12	1449
3013	3	13	837
3014	3	14	71
3015	3	15	119
3016	3	16	40
3017	3	17	54
3018	3	18	22
3019	3	19	1186
4001	4	1	1889
4002	4	2	5517
4003	4	3	7003
4004	4	4	25713
4005	4	5	9187
4006	4	6	14279
4007	4	7	984
4008	4	8	2801
4009	4	9	1601
4010	4	10	5332
4011	4	11	4782
4012	4	12	2940
4013	4	13	1782
4014	4	14	155
4015	4	15	250
4016	4	16	107
4017	4	17	114
4018	4	18	56
4019	4	19	211
5001	5	1	1106
5002	5	2	4625
5003	5	3	4207
5004	5	4	10469
5005	5	5	37150
5006	5	6	22057
5007	5	7	4071
5008	5	8	6464
5009	5	9	3791
5010	5	10	7462
5011	5	11	6094
5012	5	12	3864
5013	5	13	2273
5014	5	14	217
5015	5	15	401
5016	5	16	239
5017	5	17	290
5018	5	18	119
5019	5	19	131
6001	6	1	370
6002	6	2	1078
6003	6	3	1556
6004	6	4	3607
6005	6	5	6443
6006	6	6	31450
6007	6	7	1747
6008	6	8	6000
6009	6	9	3489
6010	6	10	11872
6011	6	11	9543
6012	6	12	6092
6013	6	13	3429
6014	6	14	308
6015	6	15	537
6016	6	16	241
6017	6	17	292
6018	6	18	86
6019	6	19	124
7001	7	1	134
7002	7	2	505
7003	7	3	518
7004	7	4	1356
7005	7	5	3048
7006	7	6	8036
7007	7	7	17080
7008	7	8	12573
7009	7	9	10090
7010	7	10	4810
7011	7	11	5946
7012	7	12	4183
7013	7	13	2471
7014	7	14	225
7015	7	15	648
7016	7	16	475
7017	7	17	447
7018	7	18	322
7019	7	19	34
8001	8	1	46
8002	8	2	129
8003	8	3	183
8004	8	4	436
8005	8	5	953
8006	8	6	3632
8007	8	7	2076
8008	8	8	27812
8009	8	9	8081
8010	8	10	3604
8011	8	11	6174
8012	8	12	3879
8013	8	13	2532
8014	8	14	240
8015	8	15	619
8016	8	16	438
8017	8	17	409
8018	8	18	184
8019	8	19	43
9001	9	1	57
9002	9	2	181
9003	9	3	216
9004	9	4	524
9005	9	5	1165
9006	9	6	4178
9007	9	7	3293
9008	9	8	17981
9009	9	9	64173
9010	9	10	3957
9011	9	11	7762
9012	9	12	5774
9013	9	13	5860
9014	9	14	1260
9015	9	15	4248
9016	9	16	3435
9017	9	17	2880
9018	9	18	1699
9019	9	19	64
10001	10	1	217
10002	10	2	448
10003	10	3	835
10004	10	4	1168
10005	10	5	2153
10006	10	6	10628
10007	10	7	977
10008	10	8	5056
10009	10	9	2892
10010	10	10	32506
10011	10	11	16797
10012	10	12	9373
10013	10	13	4856
10014	10	14	426
10015	10	15	665
10016	10	16	209
10017	10	17	274
10018	10	18	94
10019	10	19	310
11001	11	1	0
11002	11	2	1
11003	11	3	3
11004	11	4	3
11005	11	5	9
11006	11	6	48
11007	11	7	11
11008	11	8	53
11009	11	9	41
11010	11	10	133
11011	11	11	7233
11012	11	12	600
11013	11	13	98
11014	11	14	8
11015	11	15	11
11016	11	16	3
11017	11	17	2
11018	11	18	1
11019	11	19	10
12001	12	1	41
12002	12	2	88
12003	12	3	181
12004	12	4	332
12005	12	5	496
12006	12	6	2789
12007	12	7	468
12008	12	8	3800
12009	12	9	2970
12010	12	10	5195
12011	12	11	23191
12012	12	12	30756
12013	12	13	6157
12014	12	14	544
12015	12	15	799
12016	12	16	243
12017	12	17	287
12018	12	18	89
12019	12	19	161
13001	13	1	90
13002	13	2	203
13003	13	3	362
13004	13	4	644
13005	13	5	1021
13006	13	6	5393
13007	13	7	907
13008	13	8	8227
13009	13	9	7238
13010	13	10	9228
13011	13	11	23428
13012	13	12	17979
13013	13	13	49265
13014	13	14	2807
13015	13	15	3870
13016	13	16	1117
13017	13	17	1483
13018	13	18	442
13019	13	19	307
14001	14	1	18
14002	14	2	49
14003	14	3	73
14004	14	4	146
14005	14	5	210
14006	14	6	1282
14007	14	7	214
14008	14	8	1946
14009	14	9	2914
14010	14	10	2209
14011	14	11	4468
14012	14	12	3740
14013	14	13	5458
14014	14	14	4971
14015	14	15	3171
14016	14	16	947
14017	14	17	1283
14018	14	18	385
14019	14	19	75
15001	15	1	21
15002	15	2	58
15003	15	3	106
15004	15	4	216
15005	15	5	369
15006	15	6	1884
15007	15	7	474
15008	15	8	4050
15009	15	9	7966
15010	15	10	2995
15011	15	11	6756
15012	15	12	5294
15013	15	13	7533
15014	15	14	2878
15015	15	15	27876
15016	15	16	4119
15017	15	17	10179
15018	15	18	2380
15019	15	19	208
16001	16	1	27
16002	16	2	59
16003	16	3	97
16004	16	4	207
16005	16	5	402
16006	16	6	1857
16007	16	7	1003
16008	16	8	6659
16009	16	9	13692
16010	16	10	2264
16011	16	11	3836
16012	16	12	3460
16013	16	13	5142
16014	16	14	1655
16015	16	15	9068
16016	16	16	15638
16017	16	17	10028
16018	16	18	4760
16019	16	19	70
17001	17	1	5
17002	17	2	13
17003	17	3	17
17004	17	4	37
17005	17	5	60
17006	17	6	463
17007	17	7	147
17008	17	8	1178
17009	17	9	2589
17010	17	10	643
17011	17	11	1471
17012	17	12	1168
17013	17	13	1403
17014	17	14	490
17015	17	15	4313
17016	17	16	1726
17017	17	17	16967
17018	17	18	2765
17019	17	19	19
18001	18	1	18
18002	18	2	36
18003	18	3	56
18004	18	4	143
18005	18	5	294
18006	18	6	1312
18007	18	7	844
18008	18	8	4174
18009	18	9	9775
18010	18	10	1384
18011	18	11	2356
18012	18	12	2136
18013	18	13	3258
18014	18	14	1127
18015	18	15	8345
18016	18	16	5614
18017	18	17	19408
18018	18	18	34970
18019	18	19	33
19001	19	1	3846
19002	19	2	2133
19003	19	3	6455
19004	19	4	1589
19005	19	5	821
19006	19	6	1595
19007	19	7	129
19008	19	8	578
19009	19	9	561
19010	19	10	2237
19011	19	11	9848
19012	19	12	3010
19013	19	13	1150
19014	19	14	416
19015	19	15	1504
19016	19	16	310
19017	19	17	458
19018	19	18	132
19019	19	19	65834
