district_id,at_home_workers_2000,at_home_workers_2010,at_home_workers_2020,at_home_workers_2025,at_home_workers_2030,at_home_workers_2035,at_home_workers_2040
1.0,4831.0,3869.0,5117.0,5440.0,5797.0,6273.0,6830.0
2.0,7589.0,8047.0,10833.0,12003.0,13203.0,14900.0,17249.0
3.0,5958.0,4490.0,5726.0,5901.0,6221.0,6724.0,7348.0
4.0,4557.0,3850.0,5193.0,5575.0,5978.0,6476.0,7259.0
5.0,6086.0,5796.0,7789.0,8378.0,9062.0,9922.0,11086.0
6.0,5346.0,4287.0,5929.0,6263.0,6621.0,7046.0,7797.0
7.0,5447.0,5066.0,6386.0,6832.0,7328.0,7957.0,8803.0
8.0,7143.0,4933.0,5815.0,6031.0,6262.0,6648.0,7198.0
9.0,10957.0,8218.0,10318.0,10682.0,11284.0,12238.0,13370.0
10.0,6555.0,5013.0,6321.0,6507.0,6759.0,7116.0,7456.0
11.0,3076.0,1932.0,2070.0,2139.0,2197.0,2241.0,2300.0
12.0,8131.0,5630.0,6888.0,7003.0,7125.0,7354.0,7609.0
13.0,9669.0,7262.0,8964.0,9168.0,9476.0,9893.0,10314.0
14.0,2152.0,1737.0,2361.0,2548.0,2830.0,3246.0,3752.0
15.0,5693.0,4599.0,6806.0,7101.0,7451.0,7968.0,8799.0
16.0,4328.0,4290.0,5624.0,5998.0,6343.0,6990.0,7881.0
17.0,3669.0,2445.0,3069.0,3156.0,3345.0,3670.0,3948.0
18.0,4937.0,5042.0,6729.0,7316.0,8025.0,9106.0,10869.0
19.0,6648.0,5660.0,8228.0,8929.0,9748.0,10790.0,12176.0
