faz_id	singlefamily_households_2000	singlefamily_households_2010	singlefamily_households_2020	singlefamily_households_2025	singlefamily_households_2030	singlefamily_households_2035	singlefamily_households_2040
6224.0	6538.0	6374.0	6586.0	6564.0	6563.0	6576.0	6577.0
6216.0	4993.0	4887.0	5226.0	5226.0	5230.0	5257.0	5261.0
6316.0	6068.0	5767.0	6034.0	5962.0	5901.0	5873.0	5871.0
6215.0	3656.0	3455.0	3460.0	3454.0	3462.0	3458.0	3458.0
5100.0	2690.0	2782.0	3070.0	3076.0	3083.0	3095.0	3104.0
6213.0	3122.0	2988.0	3057.0	3007.0	2986.0	2979.0	2981.0
9005.0	1666.0	2071.0	2196.0	2293.0	2514.0	2896.0	3414.0
6124.0	4493.0	4297.0	4486.0	4460.0	4455.0	4460.0	4463.0
6125.0	1527.0	1444.0	1509.0	1489.0	1482.0	1480.0	1482.0
6214.0	124.0	140.0	148.0	147.0	149.0	149.0	149.0
5415.0	3481.0	3513.0	3999.0	4082.0	4158.0	4223.0	4266.0
5205.0	1759.0	1724.0	1841.0	1848.0	1872.0	1880.0	1893.0
9916.0	3421.0	3812.0	4876.0	5519.0	5911.0	6170.0	6374.0
9913.0	2419.0	2883.0	2919.0	2929.0	2947.0	2990.0	3025.0
9915.0	4742.0	5007.0	6263.0	7081.0	7797.0	8445.0	8858.0
4606.0	6552.0	7393.0	8627.0	9230.0	9760.0	10229.0	10739.0
6115.0	5263.0	5059.0	5620.0	5627.0	5678.0	5732.0	5799.0
4820.0	1796.0	1847.0	1984.0	1991.0	1996.0	1996.0	2003.0
9017.0	1183.0	1225.0	1386.0	1462.0	1550.0	1680.0	1977.0
6123.0	1114.0	1086.0	1073.0	1060.0	1059.0	1060.0	1061.0
6114.0	6852.0	6698.0	7035.0	7004.0	6931.0	6872.0	6861.0
4607.0	3053.0	6865.0	7834.0	8455.0	9061.0	9830.0	11058.0
6505.0	1713.0	4055.0	4232.0	4319.0	4411.0	4573.0	4919.0
5020.0	6295.0	6075.0	6521.0	6537.0	6556.0	6575.0	6590.0
6113.0	423.0	351.0	325.0	316.0	314.0	309.0	309.0
5010.0	3320.0	3226.0	3515.0	3565.0	3588.0	3612.0	3635.0
6020.0	412.0	402.0	410.0	410.0	410.0	410.0	410.0
4900.0	69.0	70.0	71.0	70.0	71.0	71.0	71.0
6010.0	289.0	506.0	630.0	636.0	639.0	637.0	640.0
4400.0	6845.0	6932.0	7750.0	7756.0	7794.0	7811.0	7845.0
9900.0	2420.0	2534.0	3075.0	3272.0	3439.0	3567.0	3682.0
9904.0	3568.0	3804.0	4660.0	4955.0	5165.0	5338.0	5453.0
9902.0	7805.0	7958.0	8992.0	9425.0	9684.0	9835.0	9836.0
4810.0	2462.0	2427.0	2691.0	2709.0	2708.0	2737.0	2749.0
5720.0	10765.0	10251.0	10961.0	10919.0	10936.0	10956.0	10969.0
9901.0	2477.0	2403.0	2971.0	3275.0	3564.0	3974.0	4751.0
5826.0	1156.0	1118.0	1268.0	1289.0	1279.0	1261.0	1247.0
5825.0	340.0	383.0	449.0	450.0	463.0	463.0	463.0
5925.0	6580.0	6462.0	6872.0	6834.0	6783.0	6687.0	6665.0
9015.0	4597.0	5228.0	5646.0	5837.0	6123.0	6428.0	6649.0
4506.0	4360.0	4282.0	4709.0	4751.0	4770.0	4781.0	4814.0
4605.0	4610.0	5509.0	6320.0	6618.0	6906.0	7186.0	7436.0
9002.0	7838.0	8494.0	10144.0	11408.0	12445.0	13378.0	14260.0
4226.0	4764.0	4896.0	5638.0	5959.0	6272.0	6428.0	6585.0
4505.0	5172.0	5171.0	5723.0	5762.0	5832.0	5889.0	5947.0
4225.0	2717.0	4078.0	4430.0	4689.0	4904.0	5138.0	5403.0
5716.0	5737.0	5884.0	6341.0	6381.0	6383.0	6356.0	6358.0
5916.0	9151.0	9372.0	10149.0	10138.0	10165.0	10171.0	10209.0
4300.0	2218.0	2132.0	2486.0	2630.0	2726.0	2828.0	3001.0
5815.0	1183.0	1192.0	1270.0	1268.0	1252.0	1210.0	1188.0
9004.0	5122.0	6294.0	6873.0	7192.0	7767.0	8553.0	9629.0
5715.0	6601.0	6488.0	6936.0	6934.0	6958.0	6987.0	6997.0
3330.0	4335.0	4600.0	5061.0	5359.0	5739.0	6186.0	6733.0
6506.0	4557.0	4482.0	5082.0	5380.0	5669.0	6098.0	6685.0
5915.0	5426.0	5562.0	6156.0	6218.0	6265.0	6316.0	6347.0
3905.0	1672.0	1858.0	2589.0	2847.0	2970.0	2998.0	3020.0
4130.0	3003.0	3312.0	3666.0	3742.0	3757.0	3756.0	3834.0
6930.0	4061.0	4135.0	4161.0	4154.0	4154.0	4194.0	4209.0
3825.0	4186.0	4150.0	5267.0	5519.0	5613.0	5638.0	5687.0
4120.0	4059.0	4380.0	4961.0	5103.0	5164.0	5230.0	5290.0
3816.0	5255.0	4978.0	5748.0	5869.0	5929.0	5922.0	5962.0
4210.0	4484.0	6411.0	7376.0	7929.0	8397.0	8816.0	9194.0
9016.0	3632.0	4128.0	4652.0	5003.0	5500.0	6201.0	6939.0
4005.0	3550.0	3590.0	4611.0	4838.0	5046.0	5162.0	5188.0
4230.0	3325.0	3475.0	4053.0	4341.0	4567.0	4813.0	4995.0
3815.0	5373.0	5141.0	5537.0	5578.0	5594.0	5617.0	5613.0
3705.0	5787.0	5514.0	6174.0	6311.0	6443.0	6441.0	6426.0
3900.0	549.0	570.0	850.0	915.0	949.0	949.0	953.0
4110.0	3686.0	4143.0	4742.0	4963.0	5192.0	5549.0	6342.0
3416.0	5655.0	5888.0	6337.0	6465.0	6603.0	6840.0	7251.0
3413.0	2275.0	2755.0	3337.0	3629.0	3890.0	4217.0	4516.0
3706.0	4930.0	4792.0	5726.0	5936.0	6034.0	6091.0	6179.0
3600.0	2382.0	3147.0	3621.0	3828.0	4002.0	4083.0	4253.0
