large_area_id,households_2000,households_2010,households_2020,households_2025,households_2030,households_2035,households_2040
1.0,13612.0,16128.0,18501.0,19688.0,21240.0,23749.0,27863.0
2.0,81769.0,95615.0,113020.0,119432.0,126663.0,137857.0,153494.0
3.0,106365.0,124877.0,145670.0,151385.0,157247.0,165084.0,177760.0
4.0,23134.0,27066.0,30152.0,31881.0,34170.0,37429.0,42753.0
5.0,26046.0,27741.0,32551.0,34873.0,38869.0,45052.0,49853.0
6.0,257817.0,284687.0,317952.0,326330.0,333121.0,338694.0,341015.0
7.0,169614.0,196762.0,223126.0,232366.0,241782.0,254601.0,272287.0
8.0,97005.0,100443.0,114404.0,118704.0,122896.0,127422.0,135248.0
9.0,68768.0,75313.0,85764.0,88672.0,91956.0,96057.0,105120.0
10.0,74323.0,87750.0,100641.0,106082.0,112016.0,118611.0,128132.0
11.0,15962.0,20106.0,22031.0,23097.0,24477.0,26537.0,30018.0
12.0,77244.0,81939.0,90079.0,92363.0,95599.0,102029.0,108408.0
13.0,48775.0,48460.0,53716.0,54756.0,55861.0,57007.0,58323.0
14.0,113618.0,139539.0,158954.0,170385.0,183054.0,198847.0,221147.0
15.0,20528.0,23848.0,27242.0,29006.0,31209.0,33881.0,37119.0
16.0,21960.0,25128.0,31521.0,33763.0,36312.0,39300.0,43645.0
17.0,43317.0,46854.0,61719.0,66385.0,70625.0,75270.0,82864.0
18.0,20948.0,24949.0,28722.0,30462.0,32419.0,34858.0,37985.0
