city_id,jobs_2000,jobs_2010,jobs_2020,jobs_2025,jobs_2030,jobs_2035,jobs_2040
1.0,1749.0,1796.0,2048.0,2058.0,2265.0,2413.0,2442.0
2.0,9864.0,8347.0,12175.0,13199.0,14127.0,15835.0,18352.0
3.0,40572.0,35531.0,44014.0,46493.0,49135.0,51790.0,55322.0
4.0,7133.0,7924.0,9311.0,9547.0,9995.0,10458.0,10733.0
5.0,30.0,25.0,30.0,29.0,30.0,30.0,30.0
6.0,127738.0,124810.0,160404.0,166587.0,178586.0,194530.0,212192.0
7.0,678.0,599.0,1389.0,1827.0,2330.0,2915.0,4214.0
8.0,2708.0,4263.0,5465.0,6271.0,6623.0,6701.0,7011.0
9.0,10644.0,12587.0,14344.0,14550.0,15113.0,15930.0,16461.0
10.0,29059.0,28999.0,34836.0,36238.0,38105.0,40975.0,46233.0
11.0,580.0,537.0,787.0,811.0,832.0,868.0,901.0
12.0,2021.0,2054.0,2598.0,2662.0,2706.0,2795.0,2881.0
