commute_id	origin_district_id	destination_district_id	commute_trips
1001	1	1	41256
1002	1	2	9700
1003	1	3	21476
1004	1	4	5151
1005	1	5	3274
1006	1	6	4842
1007	1	7	515
1008	1	8	1087
1009	1	9	709
1010	1	10	2164
1011	1	11	1568
1012	1	12	1141
1013	1	13	778
1014	1	14	79
1015	1	15	206
1016	1	16	94
1017	1	17	155
1018	1	18	93
1019	1	19	6546
2001	2	1	21469
2002	2	2	90165
2003	2	3	37704
2004	2	4	21987
2005	2	5	18006
2006	2	6	17564
2007	2	7	3017
2008	2	8	4827
2009	2	9	3376
2010	2	10	6901
2011	2	11	5102
2012	2	12	3740
2013	2	13	2758
2014	2	14	257
2015	2	15	767
2016	2	16	452
2017	2	17	675
2018	2	18	446
2019	2	19	1887
3001	3	1	11830
3002	3	2	11704
3003	3	3	44490
3004	3	4	8175
3005	3	5	4869
3006	3	6	7322
3007	3	7	776
3008	3	8	1433
3009	3	9	857
3010	3	10	3110
3011	3	11	2454
3012	3	12	1540
3013	3	13	1065
3014	3	14	94
3015	3	15	154
3016	3	16	81
3017	3	17	96
3018	3	18	60
3019	3	19	1558
4001	4	1	2777
4002	4	2	7764
4003	4	3	8973
4004	4	4	31335
4005	4	5	12674
4006	4	6	17331
4007	4	7	1891
4008	4	8	3618
4009	4	9	2217
4010	4	10	6093
4011	4	11	4812
4012	4	12	3394
4013	4	13	2140
4014	4	14	182
4015	4	15	394
4016	4	16	194
4017	4	17	230
4018	4	18	111
4019	4	19	431
5001	5	1	1974
5002	5	2	6977
5003	5	3	5963
5004	5	4	14107
5005	5	5	53695
5006	5	6	28247
5007	5	7	7645
5008	5	8	9525
5009	5	9	5997
5010	5	10	9386
5011	5	11	6952
5012	5	12	5051
5013	5	13	3265
5014	5	14	302
5015	5	15	788
5016	5	16	487
5017	5	17	619
5018	5	18	335
5019	5	19	555
6001	6	1	610
6002	6	2	1652
6003	6	3	2036
6004	6	4	4770
6005	6	5	9386
6006	6	6	38890
6007	6	7	3479
