faz_id	jobs_2000	jobs_2010	jobs_2020	jobs_2025	jobs_2030	jobs_2035	jobs_2040
8935.0	3615.0	3958.0	4568.0	4816.0	5138.0	5917.0	6767.0
8927.0	399.0	1091.0	1133.0	1180.0	1216.0	1255.0	1315.0
8926.0	1230.0	1218.0	1678.0	1989.0	2236.0	3064.0	4057.0
8936.0	1756.0	2578.0	3309.0	3468.0	3761.0	4127.0	4254.0
8500.0	9038.0	7055.0	10705.0	11746.0	12533.0	14105.0	16010.0
8406.0	239.0	212.0	263.0	258.0	272.0	292.0	311.0
8320.0	5155.0	5552.0	8669.0	9776.0	11230.0	12672.0	14573.0
8925.0	1696.0	1718.0	2328.0	2538.0	2806.0	3040.0	3499.0
8937.0	2963.0	7382.0	7161.0	7283.0	7445.0	7834.0	8080.0
8405.0	458.0	675.0	836.0	871.0	945.0	1049.0	1154.0
8310.0	8046.0	7529.0	9772.0	9925.0	10304.0	10945.0	11771.0
8910.0	1770.0	1897.0	2793.0	2891.0	3082.0	3266.0	3451.0
7905.0	2889.0	3825.0	4670.0	4914.0	5090.0	5886.0	6218.0
7606.0	526.0	700.0	792.0	802.0	819.0	834.0	877.0
7805.0	2147.0	2344.0	2848.0	3019.0	3397.0	3600.0	3817.0
8220.0	10477.0	9456.0	11603.0	11717.0	12460.0	14218.0	17120.0
8000.0	30106.0	35819.0	38372.0	38425.0	38769.0	39164.0	39906.0
8906.0	1112.0	1006.0	1234.0	1261.0	1303.0	1375.0	1393.0
8210.0	15524.0	15073.0	20271.0	21644.0	25593.0	32746.0	44328.0
9020.0	2646.0	2626.0	3711.0	3837.0	4060.0	4448.0	4793.0
8125.0	4456.0	4269.0	5546.0	5914.0	6389.0	6879.0	7896.0
8126.0	6397.0	5533.0	7596.0	7745.0	8114.0	9096.0	9852.0
8905.0	687.0	882.0	1002.0	1041.0	1068.0	1111.0	1170.0
7806.0	723.0	1239.0	1500.0	1537.0	1610.0	1842.0	2037.0
7700.0	4346.0	3890.0	5541.0	5583.0	5684.0	6035.0	6408.0
7526.0	6148.0	7696.0	8745.0	9020.0	9686.0	10410.0	10765.0
7340.0	2518.0	2841.0	3660.0	3754.0	3822.0	3908.0	3974.0
7605.0	739.0	908.0	964.0	1082.0	1267.0	1639.0	2049.0
7537.0	13787.0	13222.0	15320.0	16170.0	17161.0	17501.0	17983.0
8115.0	9136.0	8439.0	10037.0	10943.0	11089.0	12688.0	13876.0
7335.0	7719.0	8702.0	10927.0	11481.0	11649.0	12107.0	12727.0
8600.0	8434.0	8540.0	10751.0	11215.0	11881.0	12800.0	13434.0
7425.0	2035.0	3158.0	3596.0	3643.0	3742.0	4104.0	4825.0
7535.0	4592.0	4698.0	5865.0	6179.0	6483.0	7414.0	8799.0
7525.0	1695.0	1676.0	2166.0	2295.0	2371.0	2511.0	2720.0
7436.0	1748.0	1711.0	2231.0	2278.0	2402.0	2433.0	2494.0
9019.0	2752.0	3887.0	4565.0	4779.0	4981.0	5211.0	5399.0
7026.0	990.0	1509.0	1684.0	1714.0	1744.0	1780.0	1810.0
7205.0	6065.0	5539.0	7821.0	8317.0	8776.0	9576.0	9981.0
