faz_id	households_2000	households_2010	households_2020	households_2025	households_2030	households_2035	households_2040
6216.0	6162.0	6409.0	6890.0	6922.0	6960.0	6983.0	6987.0
6316.0	13137.0	14441.0	15597.0	15758.0	15850.0	15863.0	15604.0
6215.0	10917.0	10974.0	11891.0	12167.0	12510.0	12549.0	12531.0
5100.0	2701.0	2792.0	3081.0	3087.0	3094.0	3106.0	3115.0
6213.0	8879.0	9312.0	10060.0	10197.0	10374.0	10425.0	10392.0
9005.0	1667.0	2072.0	2197.0	2294.0	2515.0	2897.0	3415.0
6124.0	13097.0	13517.0	14782.0	14861.0	14973.0	15012.0	15019.0
6125.0	4868.0	5092.0	5568.0	5601.0	5650.0	5673.0	5675.0
6214.0	213.0	229.0	237.0	235.0	238.0	238.0	238.0
5415.0	5284.0	5733.0	6472.0	6253.0	6469.0	7078.0	8112.0
5205.0	5388.0	5435.0	5762.0	5983.0	6291.0	6590.0	7095.0
9916.0	3553.0	3947.0	5830.0	6604.0	7140.0	7586.0	8173.0
9913.0	2509.0	3152.0	3409.0	3454.0	3482.0	3539.0	3604.0
9915.0	4990.0	5333.0	8024.0	8986.0	9858.0	10765.0	11992.0
4606.0	6865.0	7829.0	9127.0	9760.0	10315.0	10857.0	11501.0
6115.0	10042.0	10362.0	11689.0	11813.0	11932.0	12004.0	12063.0
4820.0	3295.0	3402.0	3710.0	3757.0	3792.0	3824.0	3838.0
9017.0	1228.0	1270.0	1433.0	1508.0	1597.0	1726.0	2024.0
6123.0	6909.0	9869.0	11826.0	12662.0	13484.0	13469.0	13405.0
6114.0	14210.0	16013.0	17535.0	17910.0	18266.0	18583.0	18637.0
4607.0	3175.0	8387.0	9542.0	10230.0	10883.0	11738.0	13065.0
6505.0	1923.0	4604.0	4779.0	4865.0	4959.0	5123.0	5469.0
5020.0	9722.0	9825.0	10382.0	10576.0	10908.0	11501.0	12035.0
6113.0	18606.0	21287.0	26006.0	27444.0	27742.0	28110.0	28543.0
5010.0	8095.0	8140.0	8786.0	8905.0	9014.0	9162.0	9678.0
6020.0	6775.0	11002.0	13659.0	15064.0	16045.0	16433.0	16513.0
4900.0	1548.0	4517.0	5995.0	8012.0	9873.0	12868.0	16122.0
6010.0	4463.0	6744.0	8819.0	9797.0	10146.0	10461.0	10990.0
4400.0	8442.0	8670.0	9661.0	9694.0	9747.0	9588.0	9746.0
9900.0	2890.0	2969.0	4267.0	4582.0	4818.0	5008.0	5331.0
9904.0	4465.0	4849.0	5771.0	6083.0	6322.0	6567.0	7176.0
9902.0	9212.0	9481.0	13407.0	13866.0	14163.0	14449.0	14894.0
4810.0	3979.0	4109.0	4661.0	4733.0	4791.0	4882.0	5025.0
5720.0	16633.0	17435.0	19228.0	19498.0	19676.0	19808.0	19743.0
9901.0	2552.0	2529.0	3109.0	3420.0	3726.0	4215.0	5284.0
5826.0	2105.0	2573.0	3121.0	3259.0	3286.0	3487.0	3520.0
5825.0	967.0	1195.0	1783.0	1926.0	2009.0	2007.0	1982.0
5925.0	9452.0	10237.0	11200.0	11436.0	11807.0	12284.0	12391.0
9015.0	4650.0	5284.0	5702.0	5891.0	6178.0	6484.0	6706.0
4506.0	6415.0	6643.0	7421.0	7570.0	7758.0	8126.0	8628.0
4605.0	7181.0	9133.0	10161.0	10513.0	10870.0	11264.0	11743.0
9002.0	8505.0	9368.0	14240.0	15618.0	16789.0	17933.0	20016.0
4226.0	5598.0	5976.0	6828.0	7178.0	7503.0	7679.0	7942.0
4505.0	5246.0	5376.0	5957.0	5998.0	6077.0	6149.0	6296.0
4225.0	4139.0	6259.0	6681.0	6996.0	7304.0	7657.0	8334.0
5716.0	8976.0	9938.0	10795.0	10976.0	11176.0	11759.0	11967.0
5916.0	11529.0	13134.0	14356.0	14605.0	14960.0	15589.0	15885.0
4300.0	4443.0	4427.0	5027.0	5222.0	5391.0	5633.0	5967.0
5815.0	1811.0	1982.0	2115.0	2168.0	2244.0	2405.0	2443.0
9004.0	5164.0	6339.0	6918.0	7242.0	7836.0	8663.0	9888.0
5715.0	7352.0	7527.0	8067.0	8089.0	8124.0	8165.0	8175.0
3330.0	4378.0	4665.0	5133.0	5432.0	5810.0	6257.0	6804.0
6506.0	5122.0	5165.0	5809.0	6133.0	6448.0	6910.0	7653.0
5915.0	6726.0	7066.0	7860.0	8002.0	8179.0	8407.0	8535.0
3905.0	3112.0	3361.0	4232.0	4500.0	4682.0	4811.0	4994.0
4130.0	5878.0	7647.0	8526.0	8726.0	8809.0	8968.0	9168.0
6930.0	4194.0	4510.0	4544.0	4536.0	4537.0	4579.0	4595.0
3825.0	6525.0	6777.0	8205.0	8558.0	8836.0	9116.0	9795.0
4120.0	7324.0	7838.0	8719.0	8919.0	9068.0	9437.0	9876.0
3816.0	7983.0	8002.0	9729.0	10140.0	10432.0	10815.0	11337.0
4210.0	6199.0	8498.0	9587.0	10184.0	10744.0	11272.0	11906.0
9016.0	3641.0	4137.0	4661.0	5012.0	5509.0	6220.0	7035.0
4005.0	4338.0	4704.0	5897.0	6137.0	6497.0	6833.0	7672.0
4230.0	3356.0	3524.0	4107.0	4394.0	4621.0	4874.0	5090.0
3815.0	7897.0	8082.0	8759.0	8841.0	8897.0	8997.0	9070.0
3705.0	11790.0	11735.0	13240.0	13615.0	13959.0	14497.0	15915.0
3900.0	2404.0	2418.0	2908.0	3034.0	3396.0	3617.0	3736.0
4110.0	6972.0	7578.0	8417.0	8683.0	9251.0	9975.0	12041.0
3416.0	7762.0	8627.0	9337.0	9496.0	9723.0	10135.0	10917.0
3413.0	2296.0	2875.0	3511.0	3813.0	4073.0	4403.0	4781.0
3706.0	6049.0	6078.0	7092.0	7311.0	7418.0	7478.0	7567.0
3600.0	7251.0	8352.0	9241.0	9546.0	9995.0	10473.0	11586.0
3415.0	7313.0	8508.0	10382.0	11010.0	11578.0	12199.0	13742.0
3320.0	8020.0	9477.0	10543.0	10896.0	11245.0	11653.0	12043.0
3505.0	13617.0	14640.0	17230.0	18056.0	18656.0	19367.0	20472.0
3414.0	8012.0	8535.0	10053.0	10506.0	10788.0	10962.0	11271.0
6900.0	2657.0	2915.0	3210.0	3390.0	3653.0	4045.0	4673.0
2940.0	4555.0	5457.0	6434.0	7197.0	8159.0	9371.0	10847.0
2216.0	5554.0	6415.0	7187.0	7526.0	7928.0	8332.0	8773.0
3046.0	9134.0	9372.0	10196.0	10354.0	10568.0	10853.0	11296.0
2225.0	4571.0	5440.0	6393.0	6805.0	7378.0	8197.0	9283.0
3426.0	4840.0	5721.0	7106.0	7880.0	8364.0	8784.0	9374.0
3427.0	5856.0	7646.0	8584.0	8963.0	9298.0	9578.0	10053.0
3045.0	9951.0	10146.0	11365.0	11793.0	12191.0	12582.0	12954.0
3310.0	4499.0	6245.0	7114.0	7353.0	8639.0	10328.0	12717.0
3030.0	9877.0	11759.0	14577.0	16020.0	17528.0	18840.0	20029.0
3130.0	6501.0	6727.0	7371.0	7526.0	7730.0	7957.0	8680.0
3010.0	14575.0	14443.0	16253.0	16824.0	17496.0	18151.0	19190.0
3020.0	9030.0	9539.0	10444.0	10712.0	11034.0	11514.0	13500.0
3425.0	4821.0	6188.0	7167.0	7803.0	8370.0	8940.0	9429.0
2100.0	6519.0	6771.0	7641.0	7843.0	8007.0	8258.0	8562.0
1606.0	5360.0	5352.0	5785.0	5864.0	5946.0	6025.0	6134.0
2215.0	5848.0	6536.0	7228.0	7478.0	7744.0	7981.0	8216.0
1720.0	10478.0	10426.0	11373.0	11554.0	11935.0	12931.0	13367.0
3120.0	8725.0	9034.0	9765.0	9948.0	10218.0	10936.0	13166.0
1900.0	159.0	480.0	554.0	553.0	554.0	553.0	553.0
3110.0	2646.0	3014.0	3458.0	3597.0	3654.0	3683.0	3729.0
3200.0	6971.0	7241.0	8017.0	8352.0	8763.0	9226.0	10005.0
1605.0	7656.0	7744.0	8164.0	8188.0	8241.0	8293.0	8357.0
2000.0	2729.0	4116.0	4774.0	5236.0	5651.0	5918.0	6380.0
1820.0	3936.0	4366.0	4700.0	4741.0	4898.0	5168.0	5003.0
1200.0	5563.0	6256.0	7057.0	7377.0	7667.0	7932.0	8253.0
1710.0	7792.0	8376.0	9212.0	9536.0	9958.0	11335.0	12721.0
1810.0	1455.0	1733.0	1851.0	1903.0	2147.0	2813.0	3412.0
900.0	3589.0	3950.0	4383.0	4598.0	4771.0	5028.0	5275.0
806.0	5464.0	10137.0	11421.0	12424.0	13374.0	14579.0	15993.0
1506.0	8479.0	8721.0	9514.0	9696.0	9906.0	10184.0	10354.0
1410.0	4407.0	4521.0	4859.0	4943.0	5135.0	5546.0	5733.0
1505.0	7455.0	8122.0	8939.0	9141.0	9366.0	9608.0	9883.0
1330.0	6925.0	7262.0	8095.0	8418.0	8724.0	8887.0	9051.0
1000.0	3449.0	3551.0	3823.0	3910.0	3988.0	4040.0	4119.0
1320.0	6637.0	6717.0	7329.0	7362.0	7363.0	7389.0	7408.0
1420.0	4211.0	4769.0	5365.0	5661.0	6325.0	8125.0	10902.0
1130.0	2006.0	2031.0	2446.0	2615.0	2834.0	3019.0	3298.0
1116.0	5667.0	5890.0	7304.0	7612.0	7859.0	8312.0	8664.0
1310.0	8980.0	9306.0	10377.0	10561.0	10715.0	10788.0	10825.0
805.0	5501.0	6478.0	7821.0	8500.0	9048.0	9667.0	10233.0
1115.0	3429.0	4222.0	5072.0	5616.0	6300.0	6798.0	7108.0
205.0	5216.0	5319.0	5789.0	5843.0	5933.0	5965.0	6042.0
136.0	4807.0	4607.0	5037.0	5088.0	5134.0	5196.0	5257.0
1120.0	10113.0	11394.0	13395.0	14325.0	15155.0	16040.0	17154.0
705.0	5093.0	6319.0	6896.0	7572.0	8061.0	9868.0	12180.0
120.0	4398.0	4389.0	4811.0	4937.0	5091.0	5268.0	5387.0
325.0	7485.0	8795.0	9492.0	9824.0	10364.0	10779.0	11103.0
135.0	5846.0	6016.0	6766.0	6954.0	7106.0	7186.0	7220.0
706.0	4079.0	4427.0	4780.0	4941.0	5227.0	5655.0	6482.0
206.0	5172.0	5331.0	5941.0	6005.0	6054.0	6102.0	6200.0
2910.0	599.0	1232.0	1294.0	1392.0	1502.0	1637.0	2002.0
315.0	5339.0	5388.0	6052.0	6158.0	6345.0	6547.0	6667.0
2935.0	4583.0	2172.0	2201.0	2219.0	2234.0	2254.0	2289.0
605.0	6750.0	7153.0	8433.0	9106.0	9942.0	10656.0	11246.0
606.0	4967.0	6840.0	8168.0	9316.0	10576.0	11718.0	13008.0
506.0	5011.0	7570.0	8998.0	9864.0	10608.0	11861.0	13825.0
110.0	1951.0	1938.0	2149.0	2177.0	2222.0	2262.0	2475.0
505.0	8818.0	14057.0	15806.0	17495.0	19458.0	21609.0	24647.0
2936.0	868.0	1845.0	2569.0	2696.0	2815.0	2982.0	3216.0
405.0	6570.0	7736.0	8981.0	9822.0	10882.0	11931.0	13088.0
2926.0	7780.0	8378.0	8884.0	9048.0	9399.0	9937.0	10911.0
2925.0	4380.0	5397.0	5729.0	5896.0	6237.0	7026.0	9334.0
2927.0	1966.0	2338.0	2719.0	2974.0	3457.0	4208.0	6557.0
