faz_id	households_2000	households_2010	households_2020	households_2025	households_2030	households_2035	households_2040
8935.0	3283.0	4446.0	4819.0	5036.0	5430.0	6083.0	6935.0
8927.0	1666.0	2002.0	2123.0	2207.0	2375.0	2680.0	2865.0
8926.0	4309.0	4969.0	5566.0	6050.0	6705.0	7642.0	8408.0
8936.0	5348.0	6127.0	6612.0	6893.0	7307.0	7751.0	8146.0
8500.0	4567.0	6768.0	7307.0	7589.0	8088.0	8997.0	11386.0
8406.0	505.0	644.0	705.0	790.0	946.0	1209.0	1356.0
8320.0	3761.0	4164.0	4502.0	4761.0	5084.0	5801.0	8079.0
8925.0	3887.0	5036.0	5573.0	5995.0	6664.0	7574.0	8925.0
8937.0	3315.0	3926.0	5394.0	6287.0	7488.0	8971.0	11203.0
8405.0	3383.0	5206.0	5844.0	6353.0	7180.0	8077.0	9117.0
8310.0	10159.0	11199.0	12246.0	12639.0	13058.0	13854.0	15718.0
8910.0	4679.0	5368.0	6008.0	6543.0	7294.0	8271.0	9247.0
7905.0	5382.0	7484.0	8825.0	9656.0	10443.0	11296.0	13190.0
7606.0	531.0	1167.0	1683.0	1925.0	2120.0	2238.0	2297.0
7805.0	5189.0	6949.0	7985.0	8709.0	9421.0	10173.0	10775.0
8220.0	7009.0	7318.0	7864.0	8097.0	8625.0	9888.0	10829.0
8000.0	4098.0	4978.0	5743.0	5932.0	6147.0	6316.0	6852.0
8906.0	2622.0	3006.0	3246.0	3359.0	3547.0	3788.0	3901.0
8210.0	3743.0	3862.0	4890.0	5374.0	6297.0	7661.0	7686.0
9020.0	4910.0	6013.0	7479.0	8100.0	8774.0	9464.0	10096.0
8125.0	6190.0	6448.0	7766.0	7955.0	8160.0	8535.0	9114.0
8126.0	4755.0	4999.0	5860.0	6144.0	6698.0	7500.0	8497.0
8905.0	2718.0	3459.0	3682.0	3774.0	4013.0	4282.0	4469.0
7806.0	1406.0	1581.0	2329.0	2779.0	3251.0	3787.0	4273.0
7700.0	3199.0	3283.0	3606.0	3613.0	3630.0	3655.0	3698.0
7526.0	5074.0	6168.0	6226.0	6295.0	6364.0	6512.0	6685.0
7340.0	7173.0	9075.0	9944.0	10405.0	10890.0	11440.0	12265.0
7605.0	634.0	730.0	760.0	763.0	779.0	800.0	816.0
7537.0	7062.0	8546.0	11687.0	12229.0	12612.0	13020.0	14069.0
8115.0	10196.0	11245.0	13769.0	14309.0	14936.0	15982.0	18060.0
7335.0	10953.0	13747.0	14464.0	14836.0	15249.0	15910.0	17424.0
8600.0	4919.0	5802.0	6807.0	7305.0	7767.0	8235.0	8902.0
