city_id	jobs_2000	jobs_2010	jobs_2020	jobs_2025	jobs_2030	jobs_2035	jobs_2040
1.0	1749.0	1631.0	1908.0	2004.0	2052.0	2118.0	2142.0
2.0	10119.0	8593.0	12982.0	14410.0	15435.0	17794.0	20905.0
3.0	43097.0	40144.0	48130.0	50129.0	52718.0	56242.0	59793.0
4.0	7133.0	8145.0	9396.0	9644.0	9946.0	10356.0	10521.0
5.0	30.0	26.0	27.0	27.0	28.0	28.0	28.0
6.0	129217.0	127902.0	163708.0	170842.0	180944.0	196985.0	215916.0
7.0	679.0	1039.0	1934.0	2071.0	2341.0	2943.0	4811.0
8.0	2722.0	5215.0	6184.0	6687.0	7065.0	7317.0	7473.0
9.0	10643.0	12199.0	14001.0	14467.0	14837.0	15612.0	16030.0
10.0	29584.0	29138.0	35406.0	36697.0	38556.0	41262.0	44712.0
11.0	587.0	685.0	811.0	835.0	876.0	913.0	946.0
12.0	2021.0	2186.0	2600.0	2618.0	2659.0	2727.0	2806.0
13.0	15465.0	15333.0	19444.0	19948.0	20605.0	21951.0	23452.0
14.0	38.0	38.0	57.0	60.0	64.0	67.0	66.0
15.0	800.0	702.0	1088.0	1130.0	1148.0	1228.0	1411.0
