faz_id	population_2000	population_2010	population_2020	population_2025	population_2030	population_2035	population_2040
6216.0	14804.0	15697.0	16540.0	16547.0	16677.0	16639.0	16511.0
6316.0	25145.0	28464.0	29695.0	29998.0	30141.0	30193.0	29783.0
6215.0	22123.0	24238.0	24033.0	24015.0	23959.0	23970.0	23806.0
5100.0	7331.0	7466.0	8693.0	8697.0	8729.0	8705.0	8686.0
6213.0	16189.0	18304.0	19166.0	19293.0	19458.0	19509.0	19373.0
9005.0	4689.0	5740.0	6216.0	6671.0	7434.0	8507.0	9211.0
6124.0	22732.0	24369.0	26817.0	27051.0	27355.0	27396.0	27248.0
6125.0	8758.0	9330.0	10258.0	10402.0	10510.0	10478.0	10460.0
6214.0	305.0	239.0	360.0	368.0	373.0	377.0	391.0
5415.0	12666.0	13998.0	15394.0	15843.0	16182.0	16943.0	18106.0
5205.0	11736.0	12397.0	12833.0	13140.0	13501.0	13974.0	14706.0
9916.0	9829.0	10941.0	15117.0	17018.0	18180.0	19005.0	19935.0
9913.0	5353.0	6924.0	7519.0	7590.0	7786.0	7938.0	7974.0
9915.0	13917.0	14422.0	20527.0	23343.0	25729.0	27168.0	29090.0
4606.0	20600.0	23857.0	26369.0	28236.0	29743.0	31160.0	32480.0
6115.0	19977.0	20877.0	23210.0	23391.0	23617.0	23690.0	23713.0
4820.0	6994.0	7624.0	8376.0	8495.0	8627.0	8723.0	8740.0
9017.0	3133.0	3130.0	3618.0	3925.0	4354.0	5048.0	5774.0
6123.0	10620.0	15844.0	18051.0	19332.0	20723.0	21429.0	21310.0
6114.0	29803.0	32762.0	34763.0	35538.0	36030.0	36540.0	36386.0
4607.0	10004.0	26198.0	28068.0	30039.0	32375.0	35098.0	37985.0
6505.0	5119.0	13950.0	14220.0	14295.0	14555.0	14941.0	15558.0
5020.0	24060.0	25463.0	25865.0	26143.0	26616.0	27178.0	28084.0
6113.0	26703.0	28801.0	37860.0	41011.0	42857.0	43719.0	44283.0
5010.0	17875.0	19067.0	20256.0	20557.0	20819.0	21049.0	21390.0
6020.0	8618.0	13619.0	16249.0	18416.0	19587.0	21226.0	21919.0
4900.0	2201.0	7115.0	8907.0	10840.0	12396.0	15908.0	19507.0
