faz_id	jobs_2000	jobs_2010	jobs_2020	jobs_2025	jobs_2030	jobs_2035	jobs_2040
6216.0	7079.0	9969.0	9599.0	9920.0	10197.0	10588.0	10860.0
6316.0	15324.0	16857.0	19721.0	19906.0	20992.0	22980.0	25407.0
6215.0	14345.0	11112.0	15191.0	15655.0	17527.0	19956.0	21211.0
5100.0	1538.0	1559.0	1810.0	1843.0	1878.0	1949.0	2008.0
6213.0	12077.0	13424.0	15951.0	15900.0	15937.0	16308.0	16544.0
9005.0	324.0	356.0	467.0	474.0	481.0	500.0	518.0
6124.0	10813.0	12152.0	13175.0	13271.0	13551.0	14219.0	14619.0
6125.0	10288.0	8432.0	11466.0	11911.0	12258.0	12533.0	13547.0
6214.0	22751.0	26178.0	29447.0	29870.0	30107.0	30664.0	31450.0
5415.0	38606.0	48724.0	62376.0	63588.0	62034.0	62721.0	65004.0
5205.0	32414.0	25794.0	35456.0	37212.0	39564.0	43824.0	49316.0
9916.0	1703.0	2096.0	2219.0	2246.0	2277.0	2325.0	2379.0
9913.0	4328.0	4706.0	5621.0	5658.0	5867.0	6213.0	6274.0
9915.0	2472.0	2896.0	3268.0	3287.0	3364.0	3471.0	3249.0
4606.0	3532.0	3151.0	3521.0	3508.0	3595.0	3699.0	3815.0
6115.0	9386.0	7567.0	9764.0	9790.0	9860.0	9986.0	10148.0
4820.0	5159.0	4200.0	5361.0	5456.0	5512.0	5514.0	5453.0
9017.0	449.0	404.0	583.0	595.0	611.0	658.0	672.0
6123.0	44347.0	38420.0	54254.0	58859.0	63626.0	68942.0	71164.0
6114.0	18816.0	13895.0	19608.0	20215.0	21320.0	22401.0	22770.0
4607.0	4000.0	5085.0	6105.0	6698.0	6961.0	7631.0	8913.0
6505.0	1686.0	3053.0	3235.0	3269.0	3315.0	3378.0	3484.0
5020.0	6960.0	7673.0	9215.0	9585.0	9698.0	9702.0	10460.0
6113.0	36081.0	40293.0	41214.0	41770.0	42468.0	43589.0	44768.0
5010.0	14967.0	10463.0	16191.0	16413.0	16562.0	16467.0	16004.0
6020.0	44308.0	37200.0	53633.0	65299.0	75892.0	79189.0	79811.0
4900.0	31036.0	38293.0	51139.0	55178.0	62033.0	73140.0	85469.0
6010.0	117772.0	93906.0	116745.0	125369.0	134225.0	137479.0	138306.0
4400.0	7823.0	7698.0	9411.0	9645.0	9741.0	10042.0	10398.0
9900.0	1315.0	1451.0	2041.0	2260.0	2405.0	2416.0	2570.0
9904.0	6215.0	5521.0	6944.0	7021.0	7058.0	7088.0	6970.0
9902.0	19634.0	19673.0	22484.0	23092.0	24141.0	25811.0	28017.0
4810.0	8392.0	8323.0	9095.0	9445.0	9886.0	10776.0	11262.0
5720.0	8643.0	9278.0	11777.0	12045.0	12676.0	14280.0	16101.0
9901.0	3358.0	3138.0	4074.0	4397.0	5018.0	5870.0	6488.0
5826.0	7501.0	5723.0	8044.0	8043.0	8602.0	9199.0	10182.0
5825.0	45363.0	40120.0	48963.0	51395.0	53680.0	54903.0	57263.0
5925.0	17470.0	17149.0	19691.0	20466.0	21499.0	22402.0	24183.0
9015.0	1476.0	1441.0	1912.0	1979.0	2028.0	2091.0	2216.0
4506.0	26195.0	28477.0	31737.0	31928.0	31991.0	31671.0	32037.0
4605.0	9475.0	13805.0	17692.0	20274.0	22581.0	24404.0	31179.0
9002.0	7536.0	7867.0	9851.0	10039.0	10152.0	10336.0	10536.0
4226.0	1779.0	2675.0	3230.0	3560.0	3617.0	3724.0	3863.0
4505.0	1077.0	1273.0	1451.0	1491.0	1559.0	1662.0	1734.0
4225.0	1875.0	2226.0	3302.0	3392.0	3464.0	3539.0	3532.0
5716.0	6414.0	7252.0	8055.0	8295.0	8725.0	9439.0	11092.0
5916.0	5475.0	6178.0	7992.0	8092.0	8214.0	8862.0	9456.0
4300.0	9328.0	8556.0	14918.0	16310.0	17773.0	21265.0	27472.0
5815.0	24386.0	22600.0	27120.0	27559.0	28096.0	28729.0	29609.0
9004.0	2869.0	3678.0	5126.0	5451.0	5963.0	6346.0	7182.0
5715.0	1408.0	2035.0	2318.0	2342.0	2402.0	2569.0	2638.0
3330.0	1579.0	1491.0	1702.0	1743.0	1806.0	1842.0	1906.0
6506.0	2662.0	3494.0	4079.0	4484.0	5229.0	6789.0	9391.0
5915.0	4838.0	3658.0	5272.0	5466.0	5705.0	6224.0	6624.0
3905.0	21269.0	18289.0	21299.0	22493.0	23327.0	24510.0	25310.0
4130.0	25120.0	21738.0	24385.0	25303.0	26272.0	28632.0	31375.0
6930.0	3059.0	3167.0	3560.0	3621.0	3724.0	3902.0	4247.0
3825.0	5629.0	7277.0	8560.0	8553.0	9362.0	9592.0	10181.0
4120.0	2766.0	2702.0	3481.0	3667.0	3745.0	4255.0	4771.0
3816.0	3564.0	3926.0	4675.0	4796.0	4870.0	5067.0	5557.0
4210.0	4124.0	3775.0	5354.0	6111.0	6206.0	6416.0	7771.0
9016.0	1352.0	1508.0	1819.0	1850.0	1949.0	1998.0	2021.0
4005.0	1777.0	1556.0	2027.0	2098.0	2169.0	2294.0	2366.0
4230.0	1501.0	1777.0	2067.0	2100.0	2163.0	2222.0	2309.0
3815.0	8604.0	7719.0	10069.0	10346.0	10588.0	11411.0	12277.0
3705.0	34633.0	26454.0	33373.0	34714.0	36596.0	38762.0	40905.0
3900.0	22511.0	18722.0	24390.0	25349.0	27185.0	30807.0	35882.0
4110.0	30316.0	28245.0	38153.0	38623.0	39480.0	40112.0	40628.0
3416.0	3005.0	2848.0	3320.0	3172.0	3251.0	3395.0	3552.0
3413.0	1119.0	1356.0	1492.0	1515.0	1580.0	1674.0	1767.0
3706.0	3439.0	2873.0	4102.0	4252.0	4368.0	4448.0	4642.0
3600.0	46524.0	43828.0	52851.0	57842.0	67190.0	74218.0	78454.0
3415.0	3462.0	3762.0	5043.0	5384.0	5448.0	5590.0	5598.0
3320.0	4085.0	5036.0	6385.0	6885.0	7214.0	7845.0	8125.0
3505.0	16028.0	16586.0	20418.0	22026.0	24226.0	27330.0	36244.0
3414.0	2021.0	2291.0	3069.0	3153.0	3219.0	3294.0	3418.0
6900.0	1938.0	1379.0	1960.0	1972.0	2018.0	2070.0	2114.0
2940.0	1884.0	2401.0	2990.0	3014.0	3087.0	3204.0	3313.0
2216.0	2665.0	3154.0	4168.0	4390.0	4625.0	4759.0	4963.0
3046.0	6437.0	6278.0	8174.0	8532.0	9521.0	10871.0	11530.0
2225.0	3695.0	6016.0	6655.0	6991.0	7096.0	7199.0	7327.0
3426.0	1804.0	2657.0	3134.0	3383.0	3542.0	3649.0	3927.0
3427.0	3338.0	5154.0	6119.0	6238.0	6322.0	6559.0	7095.0
3045.0	3325.0	2855.0	4585.0	4772.0	4866.0	4997.0	5164.0
3310.0	2268.0	2903.0	4177.0	4526.0	4881.0	5559.0	7509.0
3030.0	9431.0	9189.0	10989.0	11714.0	12753.0	13971.0	14308.0
3130.0	18054.0	20121.0	23570.0	24666.0	26261.0	28142.0	30085.0
3010.0	7827.0	8186.0	10981.0	11250.0	11434.0	11838.0	12222.0
3020.0	19153.0	17901.0	22829.0	23208.0	23511.0	24242.0	26750.0
3425.0	2438.0	2600.0	3298.0	3387.0	3506.0	3618.0	3762.0
2100.0	1802.0	1733.0	1973.0	2156.0	2198.0	2279.0	2388.0
1606.0	1605.0	1942.0	2793.0	3406.0	3643.0	3881.0	3933.0
2215.0	4931.0	5671.0	7093.0	7179.0	7227.0	7265.0	7291.0
1720.0	6335.0	6168.0	7293.0	7420.0	7598.0	7839.0	8275.0
3120.0	19677.0	14368.0	17330.0	17912.0	18679.0	19723.0	21065.0
1900.0	13475.0	9755.0	14670.0	16010.0	17061.0	19064.0	19884.0
3110.0	2095.0	2338.0	2757.0	2887.0	2998.0	3108.0	3183.0
3200.0	5906.0	7099.0	8687.0	9192.0	9417.0	9604.0	9914.0
1605.0	6456.0	6035.0	7517.0	7647.0	7868.0	8053.0	8225.0
2000.0	13167.0	12801.0	14726.0	15205.0	15436.0	15669.0	15873.0
1820.0	19759.0	17611.0	23133.0	25476.0	27761.0	33240.0	40229.0
1200.0	4066.0	4180.0	5538.0	5835.0	6120.0	6611.0	7443.0
1710.0	11435.0	9973.0	12205.0	12514.0	13185.0	13826.0	15054.0
1810.0	11488.0	13272.0	14454.0	15376.0	17369.0	20967.0	25410.0
900.0	8550.0	10613.0	11288.0	11657.0	11931.0	12585.0	13143.0
